,,,
10.各行业的人口数,,,
,,,
    行业别,  合计,    男,    女
总计,"    521,505,618","  293,661,280","    227,844,338"
一、农、牧、林、渔业,"    384,155,030",206503649,"    177,651,381"
二、矿业及木材采运业,"    8,401,845","    6,775,554",1626291
三、电力、煤气、自来水的生产和供应业,"    1,500,343","    1,111,140","    389,203"
四、制造业,"    61,668,204","    34,473,720","    27,194,484"
五、地质勘探和普查业,"    824,043","    642,140","    181,903"
六、建筑业,"    11,009,419","    8,932,095","    2,077,324"
七、交通运输、邮电通信业,"    8,980,972","    6,926,402","    2,054,570"
八、商业、饮食业、物资供销及仓储业,"    15,507,928","    8,801,616","    6,706,312"
九、住宅管理、公用事业管理和居民服务业,"    2,441,405","    1,346,065","    1,095,340"
十、卫生、体育和社会福利事业,"    4,101,355","    2,127,562","    1,973,793"
十一、教育、文化艺术事业,"    12,382,079","    8,001,574","    4,380,505"
十二、科学研究和综合技术服务事业,"    1,202,272","    761,770","    440,502"
十三、金融、保险业,"    1,022,975","    696,274","    326,701"
十四、国家机关、政党和群众团体,"    8,018,546","    6,378,798","    1,639,748"
十五、其他行业,"    289,202","    182,921",106281
