12.不在业人口状况,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,  待国家,,,
    地区别,    合计,在校学生,家务劳动,    待升学,,  市镇待业,  退休退职,  其他
,,,,,  统一分配,,,
(续),,,,,,,,
安徽省,"    5,691,995","    1,328,054","    3,075,076","    80,700","    8,069","    137,469","    320,570","    742,057"
  男,"    1,988,956","    932,030","    391,415","    55,595","    5,624",60158,"    233,529","    310,605"
  女,"    3,703,039","    396,024","    2,683,661","    25,105","    2,445",77311,"    87,041","    431,452"
福建省,"    4,680,740","    551,894","    2,999,688",45266,"    1,949","    110,236","    265,184","    706,523"
  男,"    1,200,626","    374,426","    207,210","    29,901","    1,209","    50,340","    179,858","    357,682"
  女,"    3,480,114","    177,468","    2,792,478","    15,365",    740,"    59,896","    85,326","    348,841"
江西省,"    4,744,401","    801,126","    2,785,184","    57,832","    3,413","    122,172","    324,827","    649,847"
  男,"    1,483,449","    545,833","    301,793","    36,666","    2,383","    53,369","    234,909","    308,496"
  女,"    3,260,952","    255,293","    2,483,391","    21,166","    1,030","    68,803","    89,918","    341,351"
山东省,"    11,224,180","    1,899,696","    6,738,947","    98,449",4430,"    49,497","    594,471","    1,838,690"
  男,"    3,499,020","    1,264,056","    755,592","    62,943","    2,616","    23,018","    468,948","    921,847"
  女,"    7,725,160","    635,640","    5,983,355","    35,506","    1,814","    26,479","    125,523","    916,843"
河南省,"    8,643,255","    1,848,590","    4,890,477","    69,977","    9,802","    171,376","    325,477","    1,327,556"
  男,"    2,878,982","    1,201,646","    730,313","    44,882","    6,255","    80,653","    247,810","    567,423"
  女,"    5,764,273","    646,944","    4,160,164","    25,095","    3,547","    90,723","    77,667","    760,133"
湖北省,"    6,419,593","    1,109,464","    3,832,472","    28,279","    3,908","    97,671","    518,078","    829,721"
  男,"    2,321,096","    743,458","    795,497","    17,908","    2,779","    48,532","    324,242","    388,680"
  女,"    4,098,497",366006,"    3,036,975","    10,371","    1,129","    49,139","    193,836","    441,041"
湖南省,"    7,403,343","    1,298,961","    4,174,121","    34,622","    4,334","    115,509","    512,931",1262865
  男,"    2,477,926","    846,882","    603,261","    22,741","    2,699","    55,971","    373,651","    572,721"
  女,"    4,925,417","    452,079","    3,570,860",11881,"    1,635","    59,538","    139,280","    690,144"
广东省,"    8,517,348","    1,600,841","    4,519,548","    52,175","    5,585","    406,374","    811,358","    1,121,467"
  男,"    3,128,727","    1,071,377","    877,916",36500,"    4,337","    209,226","    462,494","    466,877"
  女,"    5,388,621","    529,464","    3,641,632","    15,675","    1,248","    197,148","    348,864","    654,590"
广西壮族自治区,4167466,"    855,415","    2,584,176","    55,850","    1,385",132615,"    200,736","    337,289"
  男,"    1,776,733","    554,057","    825,680","    35,690",    849,"    69,182","    117,624","    173,651"
  女,"    2,390,733","    301,358","    1,758,496","    20,160",    536,"    63,433","    83,112",163638
四川省,10705323,"    1,991,813","    4,705,689","    209,011","    5,753","    276,785","    1,074,810","    2,441,462"
  男,"    4,223,607","    1,263,086","    988,054","    128,110","    4,061","    126,538","    707,604","    1,006,154"
  女,"    6,481,716","    728,727","    3,717,635","    80,901","    1,692","    150,247","    367,206","    1,435,308"
贵州省,"    2,892,724","    671,761","    1,347,779","    67,308","    3,109",92041,"    145,253","    565,473"
  男,"    1,289,955","    457,505","    380,539","    40,043","    2,214","    43,666","    97,082","    268,906"
  女,"    1,602,769","    214,256","    967,240","    27,265",    895,"    48,375",48181,"    296,567"
云南省,"    3,159,118","    609,071","    1,720,612","    36,138","    2,21 5","    52,439","    179,182","    559,461"
  男,"    1,272,246","    387,470","    461,581","    18,998","    1,402","    25,080","    105,324","    272,391"
  女,"    1,886,872","    221,601","    1,259,031","    17,140",    813,27359,"    73,858","    287,070"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,  待国家,,,
    地区别,    合计,在校学生,家务劳动,    待升学,,  市镇待业,  退休退职,    其他
,,,,,  统一分配,,,
西藏自冶区,"    164,968",-,-,-,-,-,-,"    164,968"
  男,"    59,112",-,-,-,-,-,-,"    59,112"
  女,"    105,856",-,-,-,-,-,-,"    105,856"
陕西省,"    4,296,425","    1,026,087","    2,316,078","    72,842","    4,008","    68,601","    214,243","    594,566"
  男,1536334,"    630,743","    382,179","    42,197","    2,968","    31,758",148707,"    297,782"
  女,"    2,760,091","    395,344","    1,933,899","    30,645","    1,040","    36,843","    65,536","    296,784"
甘肃省,"    2，137,339","    578,094","    1,008,248","    26,772","    1,802","    47,064","    83,052","    392,307"
  男,"    876,459","    373,717","    226,221",16110,"    1,255","    22,927","    63,548","    1 72,681"
  女,"    1,260,880","    204,377","    782,027","    10,662",    547,"    24,137","    19,504","    219,626"
青海省,"    461,121","    117,566","    200,835","    16,964",    681,"    14,159","    22,675","    88,241"
  男,"    179,448","    66,175","    41,866","    8,191",    448,"    6,704","    16,921","    39,143"
  女,"    281,673","    51,391","    158,969","    8,773",    233,"    7,455","    5,754",49098
宁夏回族自治区,"    468,109","    123,979","    211,828","    13,906",    721,"    12,266","    26,670",78739
  男,"    187,473","    74,348","    42,625","    7,385",    627,"    5,241","    18,273","    38,974"
  女,"    280,636","    49,631","    169,203","    6,521",    94,"    7,025",8397,"    39,765"
新疆维吾尔自治区,"    1,767,978","    489,172","    847,042","    42,090","    5,282","    50,946","    183,366","    1 50,080"
  男,"    641,518","    257,630","    137,477","    20,415","    2,876","    24,552","    121,734","    76,834"
  女,"    1,126,460","    231,542","    709,565","    21,675","    2,406","    26,394","    61,632","    73,246"
