13.15岁及15岁以上人口婚姻状况,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    丧偶,,,    离婚,,
,    1 5岁及1 5岁以上人口,,,    未婚,,,    有配偶,,,,,    地区别,,,,,,
    地区别,,,,,,,,,,,,,  小计,    男,    女,  小计,    男,    女
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,总计,"    47,639,984","    15,161,874","    32,478,110","    3,955,397","    3,128,571","    826,826"
总计,"    665,480,612","    340,851,820","    324,628,792","  190,119,894","    111,483,247","    78,636,647","  423,765,337","    211,078,128","  212,687,209",,,北京市,"    400,824","    114,722","    286,102","    37,577","    21,493","    16,084"
北京市,"    7,164,51 7","    3,602,449","    3,562,068","    2,163,065","    1,182,993","    980,072","    4,563,051","    2,283,241","    2,279,810",,,天津市,"    342,256","    107,842","    234,414","    25,409","    16,625",8784
天津市,"    5,886,651","    2,975,837","    2,910,814","    1,781,526","    967,578","    813,948","    3,737,460","    1,883,792","    1,853,668",,,河北省,"    2,607,452","    932,979","    1,674,473","    205,698","    174,701","    30,997"
河北省,"    36,686,616","    18,713,375","    17,973,241","    9,925,669","    5,746,916","    4,1 78,753","    23,947,797","    11,858,779","    12,089,018",,,山西省,"    1,160,292","    401,596","    758,696","    166,770","    147,164","    19,606"
山西省,"    16,852,924","    8,782,869","    8,070,055","    4,433,203","    2,687,355","    1,745,848","    11,092,659","    5,546,754","    5,545,905",,,内蒙古自治区,"    675,978","    311,479","    364,499","    67,443","    55,975","    11,468"
内蒙古自治区,"    12,428,367",6549162,"    5,879,205","    3,706,168","    2,193,120","    1,513,048",7978778,"    3,988,588",3990190,,,辽宁省,"    1,418,881","    547,711","    871,170","    107,691","    77,914","    29,777"
辽宁省,"    25,464,780","    12,961,135","    12,503,645","    7,431,438","    4,109,167","    3,322,271","    16,506,770","    8,226,343",8280427,,,吉林省,"    882,816","    383,836","    498,980","    69,390","    50,848","    18,542"
吉林省,"    15,076,303","    7,730,551","    7,345,752","    4,379,585",2434434,"    1,945,1 51","    9,744,512","    4,861,433","    4,883,079",,,黑龙江省,1194696,"    522,432","    672,264","    98,015","    71,387","    26,628"
黑龙江省,"    21,269,873","    10,911,810","    10,358,063","    5,999,141","    3,331,072","    2,668,069","    1 3,978,021","    6,986,919","    6,991,102",,,上海市,"    651,211","    132,580","    518,631","    60,642","    27,988","    32,654"
上海市,"    9,705,390","    4,803,749","    4,901,641","    2,965,062","    1,651,952","    1,313,110","    6,028,475","    2,991,229","    3,037,246",,,江苏省,"    3,145,457","    853,684","    2,291,773","    192,620","    150,667","    41,953"
江苏省,"    42,983,561","    21,723,751","    21,259,810","    11,853,792","    6,922,044","    4,931,748","    27,791,692","    13,797,356","    13,994,336",,,浙江省,"    1,970,823","    549,279","    1,421,544","    203,038","    178,747","    24,291"
浙江省,"    27,490,134","    14,258,920","    13,231,214","    8,087,270","    4,936,575","    3,150,695","    17,229,003","    8,594,319","    8,634,684",,,安徽省,"    2,372,058","    696,506","    1,675,552","    202,161","    174,208",27953
