16.育龄妇女1981年生育状况,,,,,,,
,,,,,,,
,,,,,,,
,    1 5—4 9岁育龄妇女人口数,,,,,,
    地区别,,,    生育,    生育,    生育,    生育,    生育
,    合计,    未生,,,,,
,,,  第1胎,    第2胎,  第3胎,  第4胎,第5胎及5胎以上
总计,248036697,"    227,607,534","    9,651,969","    5,229,549","    2,640,916","    1,357,012","    1,549,717"
北京市,"    2,740,679","    2,585,821","    130,230","    19,838","    3,438",    929,    423
天津市,"    2,242,640","    2,103,71 7","    109,070","    22,399","    5,086","    1,462",    906
河北省,"    13,637,077","    12,397,528","    647,597","    340,555","    157,577","    60,480","    33,340"
山西省,"    6,193,31 3","    5,692,556","    239,587","    138,334","    67,779","    31,198","    23,859"
内蒙古自治区,"    4,870,783","    4,438,571","    190,682","    115,027","    58,569",32503,"    35,431"
辽宁省,"    9,925,082","    9,284,797","    458,727","    121,395","    37,831",13364,"    8,968"
吉林省,"    6,003,023","    5,618,1 30","    230,982","    97,513","    33,364","    13,250","    9,784"
黑龙江省,"    8,634,641","    8,004,561","    339,544","    167,440","    69,279","    29,799",24018
上海市,"    3,455,987","    3,271,878","    160,236","    22,185","    1,465",    178,    45
江苏省,"    15,81 7,637","    14,728,818","    668,328","    279,456","    89,824","    29,812","    21,399"
浙江省,"    9,974,519","    9,289,053","    371,000","    182,452","    76,194","    31,632","    24,188"
安徽省,"    11,507,636","    10,592,769","    342,297","    258,287","    161,259","    81,910","    71,114"
福建省,"    6,076,709","    5,521,179","    227,225","    165,424","    91,187","    40,621","    31,073"
一江西省,"    7,496,000","    6,827,457","    241,974","    190,025","    114,853","    56,743","    64,948"
山东省,"    19,074,887","    17,712,901","    823,750","    335,941","    126,048","    46,338","    29,909"
河南省,"    1 7,805,603","    16,300,167","    668,147","    418,972","    237,022","    105,659","    75,636"
湖北省,"    11,918,754","    10,980,317",470368,"    260,683","    112,423","    49,472","    45,491"
湖南省,"    13,010,711","    11,897,666","    481,206","    343,885","    160,122","    71,586","    56,246"
广东省,14279368,"    12,831,563","    535,737","    404,727","    232,072","    136,916","    138,353"
广西壮族自治区,"    8,330,527","    7,354,395","    304,642","    231,947","    161,043","    114,969","    163,531"
四川省,"    23,962,032","    22,218,181","    983,962","    420,485","    166,232","    78,071","    95,101"
贵州省,"    6,351,276","    5,574,827","    184,454","    157,712","    144,054",106843,"    183,386"
云南省,"    7,461,286","    6,654,682","    228,452","    179,352","    126,584","    89,629","    182,587"
西藏自治区,        -,       -,        -,        -,       -,     -,      -
陕西省,"    7,398,537","    6,822,886","    287,01 7","    150,411","    71,719","    34,789","    31,715"
甘肃省,"    4,868,709","    4,485,285","    166,004","    95,881","    56,835","    31,183","    33,521"
青海省,"    918,340","    818,367","    26,761","    19,501","    15,620","    12,321","    25,770"
宁夏回族自冶区,"    922,152","    811,159","    34,302","    22,771","    14,476",    12，862,26582
新疆维吾尔自治区,"    3,158,789","    2,788,303","    99,688","    66,951","    48,961","    42,493","    112,393"
