1.总人口,,,,
,,,,
,,,,
,  1 9 8 2年,  1 9 6 4年,,  增长百分比
    地区别,,,  增加人数,
,  普查人口数,  普查人口数,,    (％)
全国总计,"1,031,887,961",-,-,-
大陆29省、市、自治区合计,"1,003,942,528"," 691,220,104"," 312,722,424",    45.24
  北京市,"  9,230,663","  7,597,367","  1,633,296",    21.50
  天津市,"  7,764,137","  6,249,164","  1,514,973",    24.24
  河北省,"  53,005,507","  39,416,706","  13,588,801",    34.47
  山西省,"  25,291,450","  18,015,067","  7,276,383",    40.39
  内蒙古自治区,"  19,274,281","  12,334,138","  6,940,143",    56.27
  辽宁省,"  35,721,694","  26,946,200","  8,775,494",    32.57
  吉林省,"  22,560,024","  15,668,663","  6,891,361",    43.98
  黑龙江省,"  32,665,512","  20,132,771","  12,532,741",    62.2 5
  上海市," 11,859,700","  10，816,458","  1,043,242",    9.64
  江苏省,"  60,521,113","  44,522,091","  15,999,022",    35.94
  浙江省,"  38,884,593","  28,318,573","  10,566,020",    37.31
  安徽省,"  49,665,947",  31，241，184,"  18,424,763",    58.98
  福建省,"  25,872,91 7","  16,757,223","    9,115,694",    54.40
,"  (25,930,764)*",,,
  江西省,"  33,185,471","  21,068,019","  12，117,452",    57.52
  山东省,"  74,419,152","  55,496,219","  1 8,922,933",    34.10
  河南省,"  74,422,573","  50,324,359","  24,098,214",    47.89
  湖北省,"  47,808,118","  33,709,344","  14,098,774",    41.82
  湖南省,"  5 4,010,155","  37,182,2 86","  16,827,869",    45.26
  广东省,59299620,"  40,447,536","  18,852,084",    46.61
  广西壮族自治区,36421421,"  2 3,198,330","  13,22 3,091",    57.00
  四川省,"  99,713,246","  68,017,282","  31，695,964",    46.60
  贵州省,"  28,552,942","  17,145,499","  11,407,443",    66.53
  云南省,"  32,553,699","  20,443,755","  12，109,944",    59.24
  西藏自治区,"    1,892,224**","1,251,225","    640,999",    51.23
  陕西省,"  28,904,369","  20,766,915","  8,137,454",    39.18
  甘肃省,"  19,569,191","  12,630,569","  6,938,622",    54.94
  青海省,"    3,895,695","    2,145,604","  1，750,091",    81.57
  宁夏回族自治区,"    3,895,576","    2,1 07,490","  1,788,086",    84.84
  新疆维吾尔自治区,"  13,081,538","    7,270,067","  5,811,471",    79.94
中国人民解放军,"    4,238,210",-,-,-
现役军人,,,,
台湾省,"    18,270,749",-,-,-
香港澳门地区同胞,5378627,-,-,-
,,,,
*福建省括号内的数字包括金门、马祖岛屿的人口57，847人，全国总计是按这个数字计算的。,,,,
**西藏总人口包括间接调查的28，601人，以后各表均未包括此数。,,,,
