2.总户数,,,,
,,,,
,,,,
,1 9 8 2年,1 9 6 4年,,增长百分比
    地区别,,,增加户数,
,总户数,总户数,,  (％)
总计,"    221,156,684","    156,775,957","    64,380,727",    41.07
北京市,"    2,352,026","    1,553,513","    798,513",    51.40
天津市,"    1,920,857","    1,260,677","    660,180",    52.37
河北省,"    12,376,986","    8,964,254","    3,412,732",    38.07
山西省,"    5,927,147","    4,358,660","    1,568,487",    35.99
内蒙古自治区,"    4,200,048","    2,613,942","    1,586,106",    60.68
辽宁省,"    8,557,423","    5,379,473","    3,177,950",    59.08
吉林省,"    5,083,129","    3,124,536","    1,958,593",    62.68
黑龙江省,"    7,1 58,124","    3,993,316","    3,164,808",    79.25
上海市,"    3,151,650","    2,406,263","    745,387",    30.98
江苏省,"    15,120,039","    10,882,608","    4,237,431",    38.94
浙江省,"    9,603,559","    6,566,314","    3,037,245",    46.25
安徽省,"    10,522,144","    7,651,656","    2,870,488",    37.51
福建省,"    5,169,728","    3,586,630","    1,583,098",    44.14
江西省,"    6,533,049","    4,855,540","    1,677,509",    34.55
山东省,"    17,390,221","    12,770,814","    4,619,407",    36.1 7
河南省,15360848,"    11,250,819","    4,110,029",    36.53
湖北省,"    10,159,043","    7,543,695","    2,615,348",    34.67
湖南省,"    12,338,843","    9,162,020","    3,176,823",    34.67
广东省,"    11,962,544","    9,254,616","    2,707,928",    29.26
广西壮族自治区,"    6,938,410","    5,297,158","    1,641,252",    30.98
四川省,"    22,869,1 53","    16,274,054","    6,595,099",    40.53
贵州省,"    5,686,804","    3,910,776","    1,776,028",    45.41
云南省,"    6,140,904",4402363,"    1,738,541",    39.49
西藏自治区,"    319,260","    254,583","    64,677",    25.41
陕西省,"    6,154,803","    4,234.435","    1,920,368",    45.35
甘肃省,"    3,756,780","    2,589,525","    1,167,255",    45.08
青海省,"    722,906","    430,249","    292,657",    68.02
宁夏回族自治区,"    742,336","    423,425","    318,911",    75.32
新疆维吾尔自治区,2937920,"    1,780,043","    1,1 57,877",    65.05
