3.各民族人口,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    1 9 8 2年人口数,,,    1 9 6 4年人口数,,,各民族人口数占总人口,,
    民族别,,,,,,,    数的百分比(％),,人口增长的百分比
,,,,,,,,,    (％)
,    合计,    男,    女,    合计,   男,    女,1 9 8 2年,1 9 6 4年,
总计,"1,003,91 3,927",515277505,"  488,636,422",691220104,-,-,    100.00,    100．00,    45.24
汉族,936674944,"    481,060,240","  455,614,704",651296366,-,-,    93.30,    94.22,    43.82
蒙古族,3411367,1752499,1658868,"    1,965,766",-,-,    0．34,    0．28,    73.54
回族,7228398,"    3,674,393","    3,554,005","    4,473,147",-,-,    0.72,    0．65,    61.60
藏族,"    3,847,875","    1,882,334","    1,965,541","    2,501,1 74",-,-,    0.38,    0.36,    53.84
维吾尔族,"    5,963,491",3056378,"    2,907,113","    3,996,311",-,-,    0．59,    0.58,    49.22
苗族,5021175,"    2,573,992","    2,447,183",2782088,-,-,    0.50,    0．40,    80.48
彝族,"    5,453,564","    2,752,343",2701221,3380960,-,-,    0.54,    0.49,    61.30
壮族,"  1 3,383,086",6744.941,"    6,638,145","    8,386,140",-,-,    1.33,    1.21,    59.59
布依族,2119345,"    1,069,081","    1,050,264","    1,348,055",-,-,    0.21,    0.20,    57.22
朝鲜族,"    1,765,204","    873,092","    892,112","    1,339,569",-,-,    0.18,    0.19,    31.77
满族,"    4,304,981","    2，297,814","    2,007,167","    2,695,675",-,-,0.43,    0.39,    59.70
侗族,1426400,"    743,670","    682,730","    836,123",-,-,    0．14,    0．12,    70.60
瑶族,"    1,411,967","    724,612",687355,"    857,265",-,-,    0．14,    0．12,    64.71
白族,1132224,"    567,674","    564,550","    706,623",-,-,    0.11,    0．10,    60.23
土家族,"    2,836,814","    1,479,085",1357729,"    524,755",-,-,    0.28,    0．08,    440.60
哈尼族,"    1,058,806","    535,160","    523,646","    628,727",-,-,    0．11,    0.09,    68.40
哈萨克族,"    907,546","    467,416",440130,"    491,637",-,-,    0．09,    0.07,    84.60
傣族,839496,416678,"    422,818","    535,389",-,-,    0．08,    0.08,56.8
黎族,"    887,107","    446,380","    440,727","    438,813",-,-,    0．09,    0.06,    102.16
傈僳族,"    481,884","    242,587","    239,297","    270,628",-,-,    0．05,    0.04,    78.06
佤族,"    298,611","    149,847",148764,"    200,272",-,-,    0.03,    0.03,    49.10
畲族,"    371,965","    196,791","    1 75,1 74",234167,-,-,0.04,    0．03,    58.85
高山族,"    1,650",    886,    764,    366,-,-,        …,     …,    350.82
拉祜族,304256,"    1 53,391","    150,865","    191,241",-,-,    0.03,    0.03,    59.10
水族,"    286,908","    146,703","    140,205","    156,099",-,-,    0.03,    0．02,    83.80
东乡族,"    279,523","    143,329","    136,194",147443,-,-,    0．03,    0.02,    89.58
纳西族,"    251,592","    126,184","    125,408","    156,796",-,-,    0．02,    0.02,    60.46
景颇族,    92，976,"    44,762","    48,214","    57,762",-,-,    0.01,    0.01,    60.96
柯尔克孜族,"    11 3,386","    57,955","    55,431","    70,151",-,-,    0．01,    0.01,    61.63
土族,"    159,632","    82,254","    77,378","    77,349",-,-,    0.02,    0.01,    106.38
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    1 9 8 2年人口数,,,    1 9 6 4年人口数,,,各民族人口数占总人口,,
    民族别,,,,,,,    数的百分比(％),,人口增长的百分比
,,,,,,,,,    (％)
,    台计,    男,    女,    合计,    男,    女,1 9 8 2年,1 9 6 4年,
(续),,,,,,,,,
达斡尔族,"    94,126","    48,401","    45,725","    63,394",-,-,    0．01,    0．01,    48.48
仫佬族,"    90,357","    45,957","    44,400","    52,819",-,-,    0．01,    0．01,    71.07
