,,,,,,
4．总人口和男女比例,,,,,,
,,,,,,
,    总人口数,,,占人口总数合计的百分比(％),,
    地区别,,,,,,  性比例
,,,,,,  (女=1 0 0)
,  合计,    男,    女,    男,    女,
总计,"1,003,913,927","  51 5,277,505","    488,636,422",51.33,    48.67,    105.45
北京市,"    9,230,663","    4,670,631","    4,560,032",    50.60,    49.40,    102.43
天津市,"    7,764,137","    3,941,913","    3,822,224",    50.77,    49.23,    103.13
河北省,"  53,005,507","    27,125,608","    25,879,899",    51.18,    48.82,    104.81
山西省,"  25,291,450","    13,161,639","    12,129,811",    52.04,    47.96,    108.51
内蒙古自治区,"  19,274,281","    10,052,855","    9,221,426",    52.16,    47.84,    109.02
辽宁省,"  35,721,694","    18,225,145","    17,496,549",    51.02,    48.98,    104.16
吉林省,"  22,560,024","    11,554,343","    11,005,681",    51.22,    48.78,    104.99
黑龙江省,"  32,665,512","    16,721,245","    15,944,267",    51.19,    48.81,    104.87
上海市,"  11,859,700","    5,909,980","    5,949,720",    49.83,    50.1 7,    99.33
江苏省,"  60,521,113","    30,767,523","    29,753,590",    50.84,    49.16,    103.41
浙江省,"  38,884,593","    20,166,996","    18,717,597",    51.86,    48.14,    107.74
安徽省,49665947,"    25,763,836","    23,902,111",    51.87,    48.13,    107.79
福建省,"  25,872,917","    13,308,562","    12,564,355",    51.44,    48.56,    105.92
江西省,"  33,185,471","    17,114,253","    16,071,218",    51.57,    48.43,    106.49
山东省,"  74,419,152","    37,736,680","    36,682,472",    50.71,    49.29,    102.87
河南省,"  74,422,573","    37,949,774","    36,472,799",    50.99,    49.01,    104.05
湖北省,"  47,808,118",24547939,"    23,260,179",    51.35,    48.65,    105.54
湖南省,"  54,010,155","    28,052,125","    25,958,030",    51.94,      48.06,    108.07
广东省,"  59,299,620","    30,312,11 1","    28,987,509",    51.12,    48.88,    104.57
广西壮族自治区,36421421,"    18,851,663","    17,569,758",    51.76,    48.24,    107.30
四川省,"  99,713,246","    51,445,257",48267989,    51.59,    48.41,    106.58
贵州省,28552942,"    14,640,837","    13,912,105",    51.28,    48.72,    105.24
云南省,"  32,553,699","    16,499,814","    16,053,885",    50.68,    49.32,    102.78
西藏自治区,"    1,863,623","    921,238","    942,385",    49.43,    50.57,    97.76
陕西省,"  28,904,369","    14,967,717","    13,936,652",    51.78,    48.22,    107.40
甘肃省,"  19,569,191","    10,123,880","    9,445,311",    51.73,    48.27,    107.18
青海省,"    3,895,695","    2,004,865","    1,890,830",    51.46,    48.54,    106.03
宁夏回族自治区,"    3,895,576","    2,006,845","    1,888,731",    51.52,    48.48,    106.25
新疆维吾尔自治区,"  13,081,538","    6,732,231","    6,349,307",    51.46,    48.54,    106.03
