5.家庭户与集体户的总户数和总人口数,,,,,,,
,,,,,,,
,,,,,,,
,    总户数,,,    总人口数,,,
    地区别,,,,,,,  家庭户平均
,,,,,,,  每户人数
,  合计,  家庭户,  集体户,    合计,  家庭户,  集体户,
总计,"    221,156,684","  220,083,009","    1,073,675","    1,003,913,927",971091207,"    32，822,720",    4.41(4.43)(注)
北京市,2352026,"    2,337,261","    14,765","    9,230,663","    8,631,493","    599,170",    3.69
天津市,"    1,920,857","    1,914,039","    6,818","    7,764,137","    7,472,265","    291,872",    3.90
河北省,"    12,376,986","    12,31 7,209","    59,777","    53,005,507","    50,972,624","    2,032,883",    4.14
山西省,5927147,"    5,891,455",35692,"    25,291,450","    23,967,041","    1,324,409",    4.07
内蒙古自治区,"    4,200,048","    4,187,564","    12,484","    19,274，281","    18,903,841","    370,440",    4.51
辽宁省,"    8,557,423","    8,535,937","    21,486",35721694,"    34,870,762","    850,932",    4.09
吉林省,"    5,083,129","    5,073,551","    9,578","    22,560,024","    22,277,023","    283,001",    4.39
黑龙江省,"    7,158,124","    7,145,239","    12,885","    32,665,512","    32,172,244","    493,268",    4.50
上海市,"    3,1 51,650","    3,127,065","    24,585","    11,859,700","    11,248,412","    611,288",    3.60
江苏省,15120039,"    1 5,066,423","    53,616","    60,521,113","    58,870,750",1650363,    3.91
浙江省,"    9,603,559","    9,558,560","    44,999","    38,884,593","    37,843,555","    1,041,038",    3.96
安徽省,"    10,522,144","    10,470,792","    51,352","    49,665,947","    48,540,143","    1,125,804",    4.64
福建省,"    5,169,728","    5,142,142","    27,586","    25,872,91 7","    24,922,594","    950,323",    4.85
江西省,6533049,"    6,493,092","    39,957",33185471,"    32,051,687",1133784,    4.94
山东省,"    17,390,221","    1 7,335,083","    55,138","    74,419,152","    72，111,815",2307337,    4.16
河南省,"    15,360,848","    15,304,584","    56,264",74422573,"    72,348,249",2074324,    4.73
湖北省,"    10,159，043","    10,089,556","    69,487",47808118,45666859,"    2,141,259",    4.53
湖南省,"    12,338,843","    12,279,122","    59,721","    54,010,155",51737838,"    2,272,317",    4.21
广东省,"    11,962,544",11882131,"    80,413","    59,299,620","    57,024,946","    2,274,674",    4.80
广西壮族自治区,"    6,938,410","    6,897,157","    41,253","    36,421,421",35428277,"    993,144",    5.14
四川省,"    22,869,153","    22,746,21 7","    122,936","    99,713,246","    96,623,153","    3,090,093",    4.25
贵州省,"    5,686,804","    5,659,311","    27,493","    28,552,942","    27,893,390","    659,552",    4.93
云南省,"    6,140,904","    6,095,741","    45,163","    32,553,699","    31,527,215","    1,026,484",    5.17
西藏自治区,"    319,260","    316,753","    2,507","    1,863,623","    1,602,612","    261,011",    5.06
陕西省,"    6,154,803","    6,103,778","    51,025","    28,904,369","    27,344,629","    1,559,740",    4.48
甘肃省,"    3,756,780","    3,730,948","    25,832","    19,569,191","    18,908,71 1","    660,480",    5.07
青海省,"    722,906","    718,473",4433,"    3,895,695","    3,707,528","    188,167",    5.16
宁夏回族自治区,"    742,336","    736,854","    5,482","    3,895,576",3749288,"    146,288",    5.09
新疆维吾尔自治区,"    2,937,920","    2,926,972","    10,948",13081538,"    12,672,263","    409,275",    4.33
,,,,,,,
注：国务院人口普查办公室和国家统计局人口统计司在北京、天津、上海三个直辖市和辽宁、山东、湖北、广东、四川、陕西六个省，对1 9，922个,,,,,,,
    家庭户规模进行了核查。括号内数字系根据核查结果调整后的数字。,,,,,,,
