6.市(不含市辖县) 镇人口,,,,,,,
,,,,,,,
,,,,,,,
,,    市、镇人口数,,,,市、镇人口占,  附：
    地区别,总人口数,,,,,总人口数的,尚未批准的
,,    合计,    市,    其中郊区公社,    镇,百分比(％),集镇人口数
总计,"1,003,913,927","    206,309,144","    145,253,071",37179052,"    61,056,073",    20.55,"    2,228,845"
北京市,"    9,230,663","    5,970,198","    5,597,955","    923,034","    372,243",    64.68,-
天津市,"    7,764,137","    5,333,616","    5,142,560",1023474,"    191,056",    68.70,-
河北省,"    53,005,507","    7,258,935",6048144,1012667,"    1,210,791",    13.69,-
山西省,25291450,"    5,314,517","    4,252,430","    1,479,715","    1,062,087",    21.01,"    482,887"
内蒙古自治区,"    19,274,281","    5,561,343","    3,193,588","    270,773","    2,367,755",    28.85,"    59,351"
辽宁省,"    35,721,694","    15,132,301","    11,878,587","    2,494,731",3253714,    42.36,"    4,995"
吉林省,"    22,560,024","    8,941,116","    5,515,103","    1,628,279","    3,426,013",    39.63,-
黑龙江省,"    32,665,512","    13,110,473",8773063,"    560,557","    4,337,410",    40.14,"    73,205"
上海市,"    11,859,700","    6,975,136",6320829,-,"    654,307",    58.81,-
江苏省,60521113,"    9,572,190","    6,745,009","    1,483,507","    2,827,181",    15.82,-
浙江省,"    38,884,593","    9,996,931","    6,860,501",4171673,"    3,136,430",    25.71,-
安徽省,"    49,665,947","    7,031,468","    4,885,043","    1,183,918","    2,146,425",    14.16,174312
福建省,"    25,872,917","    5,480,122","    3,311,248","    1,511,560","    2,168,874",    21.18,-
江西省,"    33,185,471","    6,452,917","    4,219,182","    1,660,516","    2,233,735",    19.45,"    27,912"
山东省,"    74,419,152","    14,190,681","    8,690,330","    1,088,915","    5，500,351",    19.07,131355
河南省,"    74,422,573","    10,771,790","    7,186,024","    2，718,456","    3,585,766",    14.47,-
湖北省,"    47,808,118","    8,279,094","    5,474,998",    812，787,2804096,    17.32,"    1,600"
湖南省,"    54,010,1 55","    7,674,066","    5,074,058","    1,483,104","    2,600,008",    14.21,"    432,766"
广东省,"    59,299,620","    11,042,758","    7,117,770",2335577,"    3,924,988",    18.62,"    58,028"
广西壮族自治区,"    36,421,421","    4,307,094","    2,477,666","    925,895",1829428,    11.83,-
四川省,99713246,"    14,233,199","    9,880,472","    4,255,063",4352727,    14.27,"    167,936"
贵州省,"    28,552,942","    5,402,205","    4,056,447","    625,637","    1,345,758",    18.92,"    191,604"
云南省,"    32,553,699","    4,216,109","    2,434,61 1","    842,565","    1,781,498",    12.95,"    16,535"
西藏自治区,"    1,863,623","    179,185","    105,866",-,"    73,319",    9.61,-
陕西省,"  28,904,369","    5,490,516","    4,058,077","    1,611,397",1432439,    19.00,-
甘肃省,"  19,569,191","    3,002,495","    1,980,463","    247,829","    1,022,032",    15.34,"    32,661"
青海省,"    3,895,695","    797,907","    690,197","    200,309","    107,710",    20.48,"    187,851"
宁夏回族自治区,"    3,895,576","    875,941","    667,737","    169,184","    208,204",    22.49,"    49,010"
新疆维吾尔自治区,"  13,081,538","    3,714,841","    2,615,113","    457,930","    1,099,728",    28.40,"    136,837"
