7.人口各年龄组分布状况,,,,,,
,,,,,,
,,,,,,
,    人口数,,,  占总人口数合计的百分比(％),,
    年龄别,,,,,,
,  合计,    男,    女,    合计,    男,    女
总计,"1,003,913,927","    515,277,505","    488,636,422",    100.00,    51.33,    48.67
0—3岁,"    76,084,475","    39,394,206","    36,690,269",    7.58,    3.92,    3.65
4—6岁,"    58,473,728","    30,124,474","    28,349,254",    5.82,    3.00,    2.82
7-1 2岁,"    149,915,188","    77,168,361","    72,746,827",    14.93,    7.69,    7.25
1 3-1 5岁,"    75,528,695","    38,871,874","    36,656,821",    7.52,    3.87,    3.65
1 6—1 7岁,"    50,104,443","    25,697,656","    24,406,787",    4.99,    2.56,    2.43
1 8-1 9岁,"    52,511,004","    26,396,051","    26,114,953",    5.23,    2.63,    2.60
2 0—2 4岁,"    74,363,020","    37,880,114","    36,482，906",    7.41,    3.77,    3.63
2 5—2 9岁,"    92,563,882","    47,746,258","    44,817,624",    9.22,    4.76,    4.46
3 0-3 4岁,"    72,958,237","    37,930,244","    35,027,993",    7.27,    3.78,    3.49
3 5—3 9岁,"    54,221,629","    28,565,678","    25,655,951",    5.40,    2.85,    2.56
4 0—4 4岁,"    48,437,943","    25,827,570","    22,610,373",    4.82,    2.57,    2.25
4 5—4 9岁,"    47,403,331","    25,073,117","    22,330,214",    4.72,    2.50,    2.22
5 0-5 4岁,"    40，815,501","    21,528,986","    19,286,515",    4.07,    2.14,    1.92
5 5—5 9岁,"    33,894,327","    17,493,925","    16,400,402",    3.38,    1.74,    1.63
6 0-6 4岁,"    27,362,204","    13,709,397","    13,652,807",    2.73,    1.37,    1.36
6 5—7 9岁,"    44,225,458","    20,103,407","    24,122,051",    4.41,    2.00,    2.40
8 0—9 9岁,5046240,"    1,764,688","    3,281,552",    0.50,    0.18,    0.33
1 0 0岁及以上,"    3,851","    1,135",2716,-,-,-
不详,    771,    364,    407,-,-,-
