8.小学以上文化程度人口数,,,,,,
,,,,,,
,,,,,,
    地区别,  合计,大学毕业,    大学肄业或在校,    高中,    初中,    小学
总计,"  606,110,623","    4,427,991","    1,609,288","    66,529,262","    178,197,388","    355,346,694"
北京市,"    7,181,026","    330,149","    119,040","    1,628,804","    2,684,858","    2,418,175"
天津市,"    5,815,940","    123,087","    54,152","    1,034,218","    2,214,299","    2,390,184"
河北省,"    33,739,538","    184,650","    49,686","    3,998,596","    10,200,771","    19,305,835"
山西省,"    17,384,215","    110,672","    40,399","    1,883,085",5524540,"    9,825,519"
内蒙古自治区,"    11,582,544","    83,402","    26,607","    1,436,849","    3,719,881","    6,315,805"
辽宁省,"    26,305,208","    261,952","    102,111","    3,336,563","    9,865,478","    12,739,104"
吉林省,"    15,456,252","    144,853","    53,168","    2,429,976","    4,707,387","    8,120,868"
黑龙江省,"    22,149，004","    169,157","    55,341","    3,066,410","    7,246,913","    11,611,183"
上海市,"    9,139,080","    285,966","    125,764","    2，413,517","    3,325,042","    2,988,791"
江苏省,"    36,483,364","    280,963","    106,062","    4,225,092",12133725,"    19,737,522"
浙江省,"    24,433,900","    127,11 5","    55,001","    2,021,870","    6,915,481","    15,314,433"
安徽省,"    24,007，197","    146,983","    55,634","    1,975,047","    7,070,630","    14,758,903"
福建省,"    14,295,323",123598,"    33,586","    1,478,719","    3,259,922","    9,399,498"
江西省,"    19,195,853",115432,"    43,614","    1,827,007","    4,396,713","    12,81 3,087"
山东省,"    42,919,124","    189,543",73633,"    4,378,201","    13,169,660","    25,108,087"
河南省,"    42,435,100","    182,268","    62,974","    4,701,450","    14,270,101","    23,218,307"
湖北省,29883031,"    212,157","    89,307",3593109,"    8,935,736","    17,052,722"
湖南省,36364822,"    176,865","    68,694","    3,536,286","    9,325,248","    23,257,729"
广东省,"    39,092,625","    213,627","    70,083","    4,697,743","    10,017,963","    24,093,209"
广西壮族自治区,"    22,387,837","    104,254","    29,625","    2,382,168","    5,723,705","    14,148,085"
四川省,"    61,152,021","    312,453","    117,397","    3,960,628","    15,414,235","    41,347,308"
贵州省,"    12,443,165","    87,193","    23,714","    847,193","    3,258,593","    8,226,472"
云南省,"    13,895,795","    80,486","    27,323","    909,321","    3,328,031","    9,550,634"
西藏自治区,"    407,615","    6,975","    1,047","    22,925","    68,232","    308,436"
陕西省,"    17,562,016","    180,972","    69,424","    2,271,161","    5,597,301","    9,443,158"
甘肃省,"    9,146,886","    85,710","    22,474","    1,224,752","    2,387,057","    5,426,893"
青海省,"    1,775,541","    25,775","    5,725","    199,526","    544,364","    1,000,151"
宁夏回族自治区,"    1,838,104","    19,954","    5,821","    206,243","    605,198","    1,000,888"
新疆维吾尔自治区,"    7,638,497","    61,780","    21,882","    842,803","    2,286,324","    4,425,708"
