9.文盲、半文盲的人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    1 2岁及1 2岁以上人口,,,    文盲半文盲人口,,,文盲、半文盲占1 2岁及1 2岁以上,,
    地区别,,,,,,,    人口的百分比(％),,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
总计,"    745,927,105","    382,204,755","    363,722,350",237720787,"    73,195,405","    164,525,382",    31.87,    19.15,    45.23
北京市,"    7,696,852",3877386,"    3,819,466","    1,151,905","    300,331","    851,574",    14.97,    7.75,    22.30
天津市,"    6,328,390","    3,202,858","    3,125,532","    1,088,678","    268,344","    820,334",    1 7.20,    8.38,    26.25
河北省,"    40,384,157","    20,612,082","    19,772,075","    11,935,381","    3,615,019","    8,320,362",    29.55,    17.54,    42.08
山西省,"    18,760,274","    9,771,265","    8,989,009","    4,568,416","    1,560,353","    3,008,063",    24.35,    15.97,    33.46
内蒙古自治区,"    13,952,097","    7,330,716","    6,621,381","    4,336,010","    1,589,307","    2,746,703",    31.08,    21.68,    41.48
辽宁省,"    27,938,796",14225586,"    13,713,210","    4,631,319","    1,425,760","    3,205,559",    16.58,    10.02,    23.38
吉林省,"    16,911,771",8663917,"    8,247,854","    3,683,486","    1,296,985","    2,386,501",    21.78,    14.97,    28.93
黑龙江省,"    23,823,256","    12,208,359","    11,614,897","    5,281,724","    1,752,073","    3,529,651",    22.17,    14.35,    30.39
上海市,"    10,197,632","    5,056,284","    5,141,348","    1,703,126","    373,435","    1,329,691",    16.70,    7.39,    25.86
江苏省,"    47,781,485","    24,187,937",23593548,"    16,546,787","    4,656,953","    11,889,834",    34.63,    19.25,    50.39
浙江省,"    30,309,623","    1 5,718,218","    14,591,405","    9,458,013","    3,005,178","    6,452,835",    31.20,    19.1 2,    44.22
安徽省,"    36,208,251","    18,748,717","    1 7,459,534","    16,738,351","    5,543,451",11194900,    46.23,    29.57,    64.12
福建省,"    18,443,822","    9,482,560","    8,961,262","    6,851,157","    1,737,608","    5,113,549",    37.15,    18.32,    57.06
江西省,"    22,974,680","    11,836,284","    11,138,396","    7,379,990","    1,994,591","    5,385,399",    32.12,    16.85,    48.35
山东省,"    56,896,903","    28,685,774","    28,211,129","    20,917,249",6219876,"    14,697,373",    36.76,    21.68,    52.10
河南省,"    54,520,335","    27,654,455","    26,865,880","    20,149,685","    6,459,470","    13,690,215",    36.96,    23.36,    50.96
湖北省,"    36,125,386","    18,532，012","    17,593,374","    11,240,624","    3,287,717","    7,952,907",    31.12,    1 7.74,    45.20
湖南省,"    40,265,918","    20,959,586","    19,306,332","    9,612,148","    2,763,1 47","    6,849,001",    23.87,    13.18,    35.48
广东省,"    43,603,830","    22,150,585","    21,453,245","    9,987,138","    2,027,814",7959324,    22.90,    9.15,    37.10
广西壮族自治区,"    25,608,705","    13,235,224","    12,373,481","    6,392,634","    1,621,351","    4,771,283",    24.96,    12.25,    38.56
四川省,"    74,017,341","    38,238,247","    35,779,094","    23,654,810","    7,561,581","    16,093,229",    31.96,    19.77,    44.98
贵州省,"    19,281,640","    9,877,783","    9,403,857",9232736,"    2,897,416","    6,335,320",    47.88,    29.33,    67.37
云南省,"    22,426,004","    11,330,587","    11,095,417","    11,047,853",3906095,"    7,141,758",    49.26,    34.47,    64.37
西藏自治区,"    1,319,721","    646,798","    672,923","    965,496","    397,987","    567,509",    73.16,    61.53,    84.33
陕西省,"    21,613,560","    11,191,196","    10,422,364","    7,177,350","    2,496,435","    4,680,915",    33.21,    22.31,    44.91
甘肃省,"    14,260,127","    7,400,695","    6,859,432","    6,851,715","    2,416,854","    4,434,861",    48.05,    32.66,    64.65
青海省,2662032,"    1,374,553","    1,287,479","    1,246,113","    438,013","    808,100",    46.81,31.87,    62．77
宁夏回族自治区,2621861,"    1,356,769","    1,265,092","    1,128,541","    399,969","    728,572",    43.04,    29.48,    57.59
新疆维吾尔自治区,"    8,992,656","    4,648,322","    4,344,334","    2,762,352","    1,182,292","    1,580,060",    30．72,    25.43,    36.37
