69.家庭户的规模,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
    地区别,    合计,  一人户,二人户,  三人户,    四人户,  五人户,  六人户,  七人户,八人及以上户
总计,"  220,083,009","    17,549,984","    22,181,187","    35,312,814","    43,010,443","    40,389,655","    28,855,880","    17,500,752","    15,282,294"
北京市,"    2,337,261","    237,857","    351,173","    541,983","    520,897","    355,612","    190,582","    84,873","    54,284"
天津市,"    1,914,039","    1 79,550","    245,562","    422,465","    416,328","    300,753","    187,119","    95,270","    66,992"
河北省,"    12,317,209","    1,058,404","    1,417,306","    2,256,649","    2,631,476","    2,232,718","    1,381,848","    763,674","    575,134"
山西省,"    5,891,455","    599,165","    709,013","    1,014,469","    1,203,378","    1,073,948","    684,863","    365,784","    240,835"
内蒙古自治区,"    4,187,564","    330,092","    381,933","    628,017","    785,446","    796,456","    597,236","    357,295","    311,089"
辽宁省,"    8,535,937",591323,"    945,814","    1,832,877","    1,887,755","    1,554,759","    955,079","    470,693","    297,637"
吉林省,"    5,073,551","    363,1 52","    472,180","    897,873","    1,026,988","    929,677","    678,605","    393,370","    311,706"
黑龙江省,"    7,145,239","    361,327","    637,827","    1,228,642","    1,495,277","    1,394,773","    1,010,551","    577,728","    439,114"
上海市,"    3,127,065","    321,423","    444,483","    769,372","    774,183","    469,121","    217,978","    85,754","    44,751"
江苏省,15066423,"    1,663,725","    1,732,895","    2,920,498","    3,382,173",2654824,"    1,526,262","    726,564","    459,482"
浙江省,"    9,558,560","    1,133,862","    1,119,754","    1,572,614","    2,093,078","    1,780,075","    1,036,770","    501,490","    320,917"
安徽省,"    10,470,792","    826,827","    939,092","    1，314,924","    1,813,771","    2,055,082","    1,636,412","    1,052,498","    832,186"
福建省,"    5,142,142","    395,065","    423,21 6","    630,890","    879,237","    945,799","    754,340","    517,597","    595,998"
江西省,"    6,493,092","    475,866","    531,637","    783,172","    1,075,522","    1,121,877","    942,1 74","    706,814","    856,030"
山东省,"    17,335,083","    1,381,445","    1,964,483","    3,196,698","    3,678,805","    3,163,520","    2,086,676","    1,133,187","    730,269"
河南省,"    15,304,584","    981,008","    1,365,583","    2,124,11 5","    2,724,592","    2,870,116","    2,242,851","    1,522,212","    1,474,107"
湖北省,"    10,089,556","    623,778",992858,"    1,598,354","    1,941,161","    1,907,036","    1,412,992","    884,241","    729,136"
湖南省,"    12,279,122","    1,064,085","    1,381,460","    1,939，020",2473778,"    2，455,852","    1,607,349","    843,984","    513,594"
广东省,"    11,882,131",1047123,"    989,209","    1,430,453","    1,959,548","    2,127,297","    1,749,640","    1,210,801",1368060
广西壮族自治区,"    6,897,157","    460,415","    531,814","    763,704","    1,008,339","    1,153,607","    1,065,309","    850,785","    1,063,184"
四川省,"    22,746,217","    1,901,365","    2,377,491","    3,894,143","    4,659,528","    4,245,820","    2,944,235","    1,637,627","    1,086,008"
贵州省,"    5,659,31 1","    350,525","    470,666","    674,362","    916,011","    1,029,166","    883,681","    659,962","    674,938"
云南省,"    6,095,741","    290,878","    462,346","    713,892","    968,487","    1,061,904","    950,122","    734,895","    913,217"
西藏自治区,"    316,753","    32,471","    33,884","    38,422","    39,598","    40,815","    37,558","    32,185","    61,820"
陕西省,"    6,103,778","    380,905","    585,525","    999,658","    1,232,132","    1,163,736","    844,949","    492,127","    404,746"
甘肃省,"    3,730,948","    137,399","    232,378","    463,449","    669,159","    761,685","    640,060","    407,795","    419,023"
青海省,"    718,473","    39,612","    51,024","    86,252","    113,285","    126,155","    113,379","    81,170","    107,596"
宁夏回族自治区,"    736,854","    41,624","    51,369","    89,980","    118,210","    128,007","    119,086","    87,555","    101,023"
新疆维吾尔自治区,"    2,926,972","    279,713","    339,212","    485,867","    522,301","    489,465","    358,174","    222,822","    229,418"
