70.家庭户的类别,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,  一代户和,二代户和,三代以上户,
    地区别,    合计,一对夫妇户,  二代户,  三代以上户,  其它亲属及,其它亲属及,和其它亲属,  单身户
,,,,,  非亲属,  非亲属,及非亲属,
总计,"  219,766,256","    10,499,771","  142,243,310","    37,650,479","  2,251,250","    6,017,815","    3,586,142","    17,517,489"
北京市,2337261,"    1 74,440","    1,448,929","    370,224","    37,128","    48,403","    20,280",237857
天津市,"    1,914,039",123666,1258093,"    277,174","    25,369","    36,546","    13,641","    179,550"
河北省,12317209,"    726,203","    7,963,098","    1,952,575","    143,056",324158,"    149,71 5","    1,058,404"
山西省,"    5,891,455",341651,"    3,852,906","    860,465","    80,740","    111,447","    45,101","    599,145"
内蒙古自治区,"    4,187,564","    218,049","    2,882,586","    478,385","    46,359",163543,"    68,555",330087
辽宁省,8535937,"    540,674","    5,895,41 1","    1,123,486",86253,"    21 7,717",81073,591323
吉林省,5073551,269036,"    3,431,828","    694,313","    56,999","    179,210",79013,363152
黑龙江省,"    7,145,239","    404,330","    4,926,298","    951,755","    74,307","    300,125","    127,097","    361,327"
上海市,"    3,127,065","    188,344","    1,866,632",642075,"    43,636","    42,664","    22,291","    321,423"
江苏省,15066423,"    857,646","    9,776,562","    2,232,032","    128,538","    271,490",136430,"    1,663,725"
浙江省,9558560,"    512,552","    6,178,775","    1,412,189","    76,489","    166,691","    78,002",1133862
安徽省,"    10,470,792","    406,058","    6,842,709","    1,806,819","    95,292",310056,"    183,031","    826,827"
福建省,"    5,142,1 42",139789,3080339,"    1,199,198","    67,050","    144,804","    115,897",395065
江西省,"    6,493,092","    234,773","    4,002,392","    1,417,492","    71,277","    169,666","    121,626","    475,866"
山东省,17335083,"    1,080,602","    11,636,336","    2,535,049","    129,282","    406,105","    166,264","    1,381,445"
河南省,15304584,"    649,629","    9,639,888","    3,082,881","    150,079",493388,"    307,711","    981,008"
湖北省,"  10,089,556","    462,61 7","    6,241,516","    2,069,457","    96,561","    342,286",253341,"    623,778"
湖南省,"  12,279,122","    679,283","    8,249,655","    1,771,918","    124,788",267358,122035,"    1,064,085"
广东省,11882131,"    31 4,490","    7,025,075","    2,672,707","    168,854","    374,028","    279,854",1047123
广西壮族自治区,"  6,897,157","    203,369","    4,168,896","    1,507,185","    77,967","    258,675","    220,650","    460,415"
四川省,22746217,944735,"  1 5,191,793","    3,694,454","    212,441","    519,394","    282,035",1901365
贵州省,5659311,"    246,926",3797538,"    975,021","    44,953","    1 42,641","    101,707","    350,525"
云南省,"    6,095,741","    206,203",3769953,"    1,386,946","    41,059","    189,390","    211,312","    290,878"
西藏自治区,-,-,-,-,-,-,-,-
陕西省,"    6,103,778","    255,862","    3,868,221","    1,165,820","    90,011","    194,1 70","    148,789","    380,905"
甘肃省,"    3,730,948","    95,750","    2,320,716","    806,134","    26,927","    1 70,548","    173,474","    137,399"
青海省,"    71 8,473","    20,431","    451,634",136358,"    9,907","    33,991","    26,540","    39,612"
宁夏回族自冶区,"    736,854","    25,616","    509,401",116305,"    6,017","    22,278","    15,613","    41,624"
新疆维吾尔自治区,"    2,926,972","    177,047",1966130,"    312,062","    39,911","    117,043","    35,065","    279,714"
