72.按年龄及活产子女数分组的15-64岁妇女人数,,,,,,,
,,,,,,,
,,,,,,,
,1 5—6 4岁,1 5-1 9岁,2 0—2 9岁,,,,
  活产子女数,妇女人数合计,,,  30-3 9岁,4 0—4 9岁,5 0—5 9岁,6 0-6 4岁
总计,"    297,274,448","    61,462,900","    81,153,475","    60,573,024","    44,847,298","    35,612,907","    13,624,844"
0人,"    95,802,295","    60,650,2 78","    31,550,081","    1,168,900","    659,710","    1,113,867","    659,459"
1人,"    33,130,732","    755,662","    24,480,578","    4,787,600","    942,408","    1,337,762","    826,722"
2人,"    36,703,545","    53,388","    16,237,358","    14,752,554","    2,807,961","    1,816,432","    1,035,852"
3人,"    33,631,913","    2,935","    6,545,957","    17,065,230","    5,918,050","    2,784,476","    1,315,265"
4人,"    28,764,264",    637,"    1,835,266","    12，185,191","    8,650,690","    4,403，000","    1,689,480"
5人,"    22,970,124",-,"    400,108","    6,291,496","    8,888,303","    5,558,576","    1,831,641"
6人,"    17,677,632",-,"    81,814","    2,751,683","    7,240,109","    5,805,505","    1,798,521"
7人,"    11,760,589",-,"    16,434","    1,013,852","    4,600,589","    4,686,986","    1,442,728"
8人,"    7,934,988",-,"    4,012","    373,088","    2,740,331","    3,608,728","    1,208,829"
9人,"    4,246,435",-,    988,"    118,880","    1,297,964",2080365,"    748,238"
1 0人,"    2,637,613",-,    715,"    44,577","    680,010","    1,358,559","    553,752"
1 1人,"    1,014,308",-,    105,"    12,336","    235,033","    532,371","    234,463"
1 2人,"    589,050",-,    41,"    4,894","    116,476","    310,951","    156,688"
1 3人,"    238,007",-,    15,"    1,687","    42,430","    125,019","    68,856"
1 4人,"    99,926",-,    3,    587,"    16,538","    52,692","    30,106"
1 5人以上,"    73,027",-,-,    469,"    10,696","    37,618","    24,244"
