73.按年龄及存活子女数分组的15-64岁妇女人数,,,,,,,
,,,,,,,
,,,,,,,
,1 5—6 4岁,,,,,,
    存活子女数,,1 5-1 9岁,2 0-2 9岁,  3 0-3 9岁,4 0—4 9岁,5 0—5 9岁,6 0—6 4岁
,妇女人数合计,,,,,,
总计,"    297,274,448","    61,462,900","    81,153,475","    60,573,024","    44,847,298","    35,612,907","    13,624,844"
0人,"    97,172,314","    60,700,863","    32,120,776","    1,260,526","    756,433","    1,412,682","    921,034"
1人,"    36,205,706","    723,1 76","    25,523,366","    5,358,663","    1,211,788","    1,992,867","    1,395,846"
2人,"    42，002,407","    37,131","    16,498,034","    17,057,772","    3,652,883","    2,954,989","    1,801,598"
3人,"    39,846,071","    1,302","    5,680,421","    18,856,905","    8,210,539","    4,812，928","    2,283,976"
4人,"    33,378,556",    428,"    1,153,894","    11,500,599",11286972,"    6,918,413","    2,518,250"
5人,"    23,925,450",-,"    156,615","    4,640,220","    9,774,931","    7,219,449","    2,134,235"
6人,"    14,312,119",-,"    17,683","    1,441,316","    5,968,713","    5,463,935","    1,420,472"
7人,"    6,739,359",-,"    2,003","    358,965","    2,663,245","    2,992,885","    722,261"
8人,"    2,601,009",-,    315,"    79,346","    954,415","    1,270,825","    296,108"
9人,"    806,653",-,    49,"    15,187","    275,283","    419,938","    96,196"
1 0人,"    220,438",-,    304,"    2,769","    71,547","    118,822","    26,996"
1 1人,"    49,414",-,    10,    467,"    15,709","    27,223","    6,005"
1 2人,"    11,111",-,    4,    83,"    3,547","    6,129","    1,348"
1 3人,"    2,233",-,    1,    20,    754,"    1,1 73",    285
1 4人,    448,-,-,    2,    162,    216,    68
1 5人以上,"    1,160",-,-,    184,    377,    433,    166
