,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74．少数民族按活产子女数分组的1 5—6 4岁妇女人数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74．少数民族按活产子女数分组的1 5—6 4岁妇女人数(续6完),,,,
,,,,,,,,,,,,  活产子女数,    黎族,  傈僳族,  佤族,  畲族,,,,,,,,,,,,,,,,,  活产子女数,  仡佬族,锡伯族,  阿昌族,普米族,  塔吉克族,  怒族,乌孜别克族,俄罗斯族,鄂温克族,  崩龙族,  保安族,  裕固族,  京族,  塔塔尔族,  独龙族,  鄂伦春族,  赫哲族,  门巴族,,,,,,,
,1 5—6 4岁,  蒙古族,    回族,    藏族,    维吾尔族,    苗族,    彝族,  壮族,  布依族,,,,,,,,  高山族,  拉祜族,    水族,  东乡族,  纳西族,  景颇族,柯尔克孜族,  土族,达斡尔族,    仫佬族,    羌族,  布朗族,撒拉族,毛难族,,,总计,"    12,506","    22,403","    5,608","    6,431","    6,836","    5,908","    3,208","    1,061","    5,097","    3,328","    2,626","    2,843","    4,195",    999,"    1,296","    1,126",    406,    23,,,  活产子女数,    珞巴族,    基诺族,    其它,外国人加入中国籍(入籍)
  活产子女数,妇女人数合计,,,,,,,,,,,总计,"    228,311","    130,346","    82,323","    98,579",    512,"    84,308","    73,491","    75,609","    72,393","    25,656","    28,504","    40,722","    26,685","    24,226","    26,449","    15,892","    16,997","    10,197",,,0人,"    3,959","    9,399",    2，004,"    2,052","    1,826","    1,824","    1,274",    355,"    2,319","    1,032",    789,    967,"    1,220",    408,    470,    471,    183,    15,,,总计,        18,"    3,427","    192,770","    2,558"
总计,"    17,998,246",    940，010,"    2,099,877","    571,081","    1,594,238","    1,293,254","    1,448,331","    3,724,028","    577,470",,,0人,"    71,496","    36,602","    25,092","    27,451",    263,"    22,472","    21,943","    24,260","    22,763","    8,148","    7,679","    12,090","    10,302","    8,269","    7,789","    4,910","    4,622","    3,366",,,1人,    708,"    2,676",    421,    514,    714,    511,    239,    119,    438,    317,    193,    205,    355,    63,    122,    136,    44,    2,,,0人,    7,"    1,021","    55,703",    306
0人,"    5,781,648","    362,139","    701,651","    172,801","    424,847","    374,639","    425,323","    1,233,833","    185,088",,,1人,"    19,122","    11,663","    6,940","    10,239",    63,"    7,730","    5,090","    5,545","    5,864","    2,348","    2,562","    3,073","    2,693","    1,871","    1,998","    1,406","    1,541",    852,,,2人,    789,"    2,719",    426,    547,    603,    474,    211,    105,    442,    307,    247,    257,    529,    76,    97,    114,    41,    1,,,1人,    2,    319,"    11,124",    205
1人,"    1,632,745","    84,522","    232,635","    64,127",    176，205,    91，047,"    100,442","    294,093","    39,622",,,2人,"    18,192","    12,268","    6,492","    13,542",    44,"    7,559","    6,415","    5,169",    9.019,"    2,172","    2,552","    3,353",    2，805,"    2,154","    1,979","    1,408","    1,387",    904,,,3人,    977,"    2,052",    426,    655,    596,    502,    237,    129,    399,    273,    291,    319,    497,    73,    99,    99,    25,-,,,2人,    2,    347,"    13,652",    265
2人,"    1,798,492","    89,629","    235,606","    60,241","    159,030","    113,304","    123,116","    347,316","    48,081",,,3人,"    17,837","    12,680",    6.564,"    12,583",    27,"    7,663","    7,412","    5,973","    8,890","    2,092","    2,185","    4,104","    2,308","    2,648","    2,452","    1,345","    1,464",    975,,,4人,"    1,027","    1,551",    439,    610,    617,    459,    216,    100,    384,    243,    258,    291,    449,    59,    127,    103,    24,    3,,,3人,    3,    474,"    17,149",    331
3人,"    1,792,471","    82,525","    204,229","    59,563","    146,628","    127,230","    134,181","    400,069","    55,703",,,4人,"    19,526","    11,527","    6,894","    10,258",    30,"    7,446","    7,504","    6,487","    7,738","    2,081","    2,293","    4,077","    2,110","    2,904","    2,749","    1,267","    1,361",    984,,,5人,    997,"    1,163",    452,    596,    552,    459,    210,    83,    261,    240,    225,    232,    366,    53,    92,    64,    16,-,,,4人,-,    353,"    1 7,928",    346
4人,"    1,703,170","    73,989","    180,942","    54,017","    141,362","    127,094","    134,204","    424,802","    58,197",,,5人,"    19,684","    10,542","    6,567","    8,219",    13,"    7,243",    6.993,"    6,415","    5,952","    1,960",    2，294,"    3,451","    1,631","    2,588","    2,589",    1，229,"    1,417",    961,,,6人,    979,    909,    416,    490,    527,    467,    213,    43,    247,    212,    183,    185,    277,    59,    103,    41,    23,-,,,5人,    2,    237,"    17,543",    327
5人,"    1,492,239","    59,954","    149,297","    46,451","    127,801","    118,361","    129,362","    371,620","    55,658",,,6人,"    19,288","    9,482","    6,006","    6,457",    21,    6.859,"    6,199","    5,974","    4,652","    1,820","    2,073","    2,973",1425,"    1,810","    2,233","    1,166","    1,435",    805,,,7人,    891,    655,    348,    395,    468,    448,    164,    43,    186,    190,    129,    129,    185,    46,    74,    38,    20,-,,,6人,    1,    186,"    16,344",    292
6人,"    1,247,792","    50,009","    122,300","    37,796","    109,630","    106,292","    121,517","    285,056","    48,844",,,7人,"    16,036","    8,363","    5,147","    4,301",    17,"    5,570","    4,602","    4,798","    3,295","    1,565","    1,838","    2,359","    1,044","    1,030","    1,794","    1,008","    1,086",    552,,,8人,    866,    506,    324,    279,    331,    355,    121,    27,    154,    186,    124,    93,    150,    49,    46,    25,    14,-,,,7人,-,    151,"    13,848",    194
