75.少数民族按存活子女数分组的15-64岁妇女人数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    存活子女数,  朝鲜族,  满族,  侗族,    瑶族,    白族,土家族,哈尼族,哈萨克族,  傣族,  黎族,  傈僳族,  佤族,  畲族,    高山族,  拉祜族,  水族,  东乡族,  纳西族,,,  存活子女数,  景颇族,柯尔克孜族,  土族,达斡尔族,  仫佬族,  羌族,  布朗族,  撒拉族,  毛难族,  仡佬族,  锡伯族,  阿昌族,普米族,    塔吉克族,    怒族,乌孜别克族,俄罗斯族,鄂温克族,,,  存活子女数,  崩龙族,  保安族,  裕固族,  京族,,,,,,,,,
,15—6 4岁,,,,,,,,,,,总计,"    605,442","    1,202，251","    383,915","    376,419","    320,066","    772,555","    280,807","    217,181","    245,448","    228,311","    130,346","    82,323","    98,579",    512,"    84,308","    73,491",75609,"    72,393",,,总计,"    25,656","    28,504","    40,722","    26,685","    24,226","    26,449","    15,892","    16,997","    10,197",    12，506,    22，403,5608,"    6,431","    6,836","    5,908","    3,208","    1,061","    5,097",,,,,,,,  塔塔尔族,  独龙族,  鄂伦春族,  赫哲族,  门巴族,    珞巴族,    基诺族,    其它,外国人加人中国籍(入籍)
  存活子女数,,  蒙古族,  回族,  藏族,  维吾尔族,  苗族,  彝族,  壮族,布依族,,,0人,"    207,983","    470,358","    120,593","    117,621","    103,508","    259,610","    82,577","    79,317","    81,626","    73,244",38730,"    26,564","    28,335",    268,"    24,435","    22,562","    24,876","    23,444",,,0人,"    8,518","    8,528","    12,557","    10,420","    8,343","    8,006","    5,211","    4,901","    3,428","    4,040","    9,448","    2,060","    2,134","    2,080","    1,909","    1,307",    364,"    2,348",,,总计,"    3,328","    2,626","    2,843","    4,195",    999,1296,1126,    406,    23,    18,"    3,427","    192,770","    2,558"
,妇女人数合计,,,,,,,,,,,1人,"    85,413","    162,545","    34,633","    39,886","    27,891","    79,261","    30,103","    14,463","    26,822","    21,801","    15,091","    9,282","    11,397",    67,"    10,471","    7,015","    6,988",7312,,,1人,"    2,992","    3,650","    3,697",    2，918,"    2,097","    2,429","    1,879","    1,834",    974,    935,    2，798,    538,    626,    981,    667,    279,123,473,,,0人,"    1,087",    815,    988,    1，233,    415,    497,    485,    189,    16,    7,"    1,077","    56,874",    339
总计,"    17,998,246","    940,010","    2,099,877","    571,081","    1,594,238","    1,293,254","    1,448,331","    3,724,028","    577,470",,,2人,"    98,979","    161,076","    52,736","    47,846","    43,944","    114,466","    34,552","    17,290","    33,926","    21,545","    17,061","    9,483","    14,889",    49,"    10,888","    9,165","    8,014","    11,619",,,2人,"    2,830","    3,474","    4,361","    3,055","    2,523","    2,790","    1,940","    1,855","    1,110","    1,234",    2，848,    611,    744,    858,    726,    266,    112,    505,,,1人,    400,    266,    233,    384,    74,    146,    151,    42,    2,    3,    375,"    13,890",    240
0人,"    5,950,398","    367,736","    711,584","    184,656","    471,668","    387,307","    441,426","    1,250,335","    190,411",,,3人,"    81,182","    129,612","    63,362","    51,058","    48,710","    111,669","    34,990","    18,647","    32,322","    22,735","    17,298","    10,254","    13,823",    42,"    11,198","    10,305","    9,271","    11,459",,,3人,"    2,784","    3,195","    5,416","    2,650","    3,184","    3,651","    1,968","    1,904","    1,258","    1,649","    2,251",    575,    855,    808,    776,    279,    136,    445,,,2人,    370,    394,    298,    582,    83,    135,    141,    43,-,    3,    451,"    19,001",    327
1人,"    1,943,541","    92,948","    253,096","    76,765","    241,235","    119,120","    137,354","    333,021",53465,,,4人,"    58,913","    99,457","    53,151","    46,264","    40,388","    91,319","    33,754","    19,680","    26,007","    25,436",15003,"    9,862","    11,337",    26,"    10,301","    9,533","    9,030","    8,621",,,4人,    2，713,"    3,030","    5,037","    2,417","    3,422","    3,600","    1,684","    1,870","    1,254","    1,560","    1,765",    601,    765,    745,    669,    293,    112,    430,,,3人,    387,    420,    356,    575,    83,    141,    107,    28,-,    2,    558,"    24,969",    376
2人,"    2,242,291","    100,119","    269,985","    73,340","    215,762","    162,014","    1 82,098","    406,322",71453,,,5人,"    38,461","    74,800","    33,631","    35,033","    28,294","    61,539","    27,605","    19,440","    19,234","    24,402","    11,411","    7,577","    8,236",    22,"    7,643","    7,145","    7,297","    5,305",,,5人,"    2,272","    2,578","    4,003","    1,886","    2,579","    2,768","    1,413","    1,726","    1,021","    1,383","    1,299",    529,    648,    558,    537,    259,    87,    300,,,4人,    332,    287,    326,    498,    73,    152,    111,    31,    3,-,    373,"    25,468",    445
3人,"    2，300,459","    98,201","    246,593","    71,659","    191,655","    186,461",    200，937,"    480,740","    84,490",,,6人,"    21,095","    52,957","    16,908","    21,681","    16,248","    33,310","    19,182","    17,772","    12,850","    19,685","    7,922","    4,970","    5,653",    23,"    5,139",   4，488,"    5,144","    2,753",,,6人,"    1,679","    1,890","    2,676","    1,455","    1,374","    1,744",    979,"    1,344",    619,    966,    905,    363,    352,    380,    357,    210,    49,    240,,,5人,    274,    217,    255,    414,    79,    99,    61,    18,-,    3,    262,"    22,311",    341
4人,"    2,082,306","    88,888","    216,375","    59,455","    166,274","    170,928","    184,187","    490,686","    77,365",,,7人,"    9,259","    30,485","    6,434","    10,660","    7,416","    14,204","    10,730","    13,814","    7,249","    11,864","    4,554","    2,592","    2,984",    11,"    2,527","    2,139","    2,801","    1,246",,,7人,"    1,029","    1,153","    1,598",    957,    509,    913,    476,    811,    323,    449,    564,    199,    197,    226,    175,    127,    35,    161,,,6人,    225,    125,    162,    253,    64,        71,    35,    24,    1,-,    165,"    15,742",    244
5人,"    1,581,290","    70,018","    167,406","    44,087","    128,363","    128,933","    143,090","    378,080","    54,058",,,8人,"    3,135","    13,950","    1,939","    4,342","    2,629","    5,167","    4,827","    9,045","    3,443","    5,291","    2,067","    1,140","    1,313",    4,"    1,120",    829,"    1,406",    457,,,8人,    512,    596,    820,    561,    156,    383,    228,    471,    154,    209,    289,    93,    72,    123,    68,    87,    21,    116,,,7人,    131,    64,    122,    1 42,    42,    37,    20,    19,-,-,    107,"    8,797",    149
