76.15-64岁妇女活产及存活子女状况,,,,,,
,,,,,,
,,,,,,
,1 5—6 4岁,,,  存活子女数占,,
    年龄别,,活产子女总数,存活子女总数,  活产子女数的,平均每一妇女,平均每一妇女
,妇女人数合计,,,,活产子女数,存活子女数
,,,,  百分比(％),,
总计,"    297,274,448","    777,678,592","    656,946,403",    84.48,    2.62,    2.21
1 5-1 9岁,"    61,462,900","    875,593","    804,309",    91.86,    0．01,    0.01
2 0-2 4岁,"    36,403,280",15315553,"    14,360,902",    93.77,    0.42,    0.39
2 5—2 9岁,"    44,750,195","    71,275,164","    66,724,741",    93.62,    1.59,    1.49
3 0—3 4岁,"    34,970,345",96611941,"    89,316,928",    92.45,    2.76,    2．55
3 5—3 9岁,"    25,602,679","    97,414,892",87901384,    90.23,    3.80,    3.43
4 0-4 4岁,"    22,561,503","    104,773,986","    91,866,095",    87.68,    4.64,    4.07
4 5—4 9岁,"    22,285,795","    119,566,314","    100,823,232",    84.32,    5.37,    4.52
5 0-5 4岁,"    19,246,846","    109,369,810",87577605,    80.07,    5.68,    4.55
5 5—5 9岁,"    16,366,061","    90,723,305","    67,802,712",    74.74,    5.54,    4.14
6 0-6 4岁,"    13,624,844","    71,752,034","    49,768,495",    69.36,    5.27,    3.65
