77.育龄妇女1981年按年龄分组的生育胎次状况,,,,,,,
,,,,,,,
,,,,,,,
,1 5—4 9岁,,  生育,    生育,    生育,    生育,生育第5胎
    年龄别,,,,,,,
,育龄妇女人数合计,  未生,  第1胎,    第2胎,  第3胎,  第4胎,及5胎以上
总计,"    248,036,697","    227,607,534","    9,651,9 69","    5,229,549","    2,640,916","    1,357,012","    1,549,717"
1 5-1 9岁,"    61,462,900","    61,086,616","    353,335","    21,988",    894,    67,-
2 0-2 4岁,36403280,31134635,"    3,955,578","    1,093,067","    191,404","    24,638","    3,958"
2 5—2 9岁,"    44,750,195","    34,200,860","    4,943,543","    3,393,870","    1,528,176","    517,657","    166,089"
3 0—3 4岁,"    34,970,345","    31,973,327","    358,982","    659,156","    800,545","    620,743","    557,592"
3 5—3 9岁,"    25,602,679","    24,760,457","    30,636","    50,619","    100,474","    160,304","    500,189"
4 0-4 4岁,"    22,561,503","    22,238,600","    6,667","    8,858","    15,482","    28,727","    263,169"
4 5—4 9岁,"    22,285,795","    22,213，039",    3，228,"    1,991","    3,941","    4,876","    58,720"
