79.育龄妇女1981年按职业分组的生育胎次状况,,,,,,,
,,,,,,,
,,,,,,,
,1 5—4 9岁,,    生育,    生育,    生育,  生育,生育第五胎及
    职业别,,,,,,,
,育龄妇女人数合计,    未生,    第1胎,  第2胎,  第3胎,  第4胎,第5胎以上
总计,"    208,617,127","    190,817,257","    8,533,508","    4,453,061","    2,266,248","    1,181,578","    1,365,475"
1．各类专业、技术人员,"    9,744,687","    9,084,147","    538,358","    98,829","    14,766","    4,456","    4,131"
2．国家机关、党群组织、企事业单位负责人,"    654,481","    632,956","    18,030","    2,910",    372,    105,    108
3．办事人员和有关人员,"    1,565,071","    1,469,313","    85,469","    9,061",    855,    235,138
4．商业工作人员,"    4,005,750","    3,745,980","    213,663","    35,246","    6,636","    2,339","    1,886"
5．服务性工作人员,"    4,879,473","    4,630，761","    208,017","    31,293","    5,570","    2,003","    1,829"
6．农林牧渔劳动者,"  159,008,941","    144,188,212","    6,067,996","    4,050,561","    2,195,180","    1,158,674","    1,348,318"
7．生产工人、运输工人和有关人员,"    28,574,218","    26,890,482","    1,394,569","    223,938","    42,593","    13,654","    8,982"
8．不便分类的其他劳动者,"    184,506","        175,406","    7,406","    1,223",276,    112,    83
