27.各民族人口数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,    地区别,  布依族,  朝鲜族,  满族,    侗一族,  瑶族,  白族,  土家族,  哈尼族,  哈萨克族,,,    地区别,    傣族,    黎族,  傈僳族,    佤族,  畲族,  高山族,  拉祜族,  水族,  东乡族,,,    地区别,  纳西族,  景颇族,柯尔克孜族,    土族,达斡尔族,仫佬族,  羌族,  布朗族,  撒拉族,,,    地区别,  毛难族,  仡佬族,  锡伯族,    阿昌族,  普米族,  塔吉克族,  怒族,乌孜别克族,俄罗斯族,,,    地区别,鄂温克族,崩龙族,保安族,    裕固族,  京族,塔塔尔族,独龙族,鄂伦春族,赫哲族,,,,,,,,外国人加入中
    地区别,  总人口,    汉族,  蒙古族,    回族,  藏族,维吾尔族,    苗族,    彝族,    壮族,,,总计,"    2,119,345","    1,765,204","    4,304,981","    1,426,400","    1,411,967","    1,132,224","    2,836,814","    1,058,806","    907,546",,,总计,"    839,496","    887,107","    481,884","    298,611",371965,1650,"    304,256","    286,908","    279,523",,,总计,"    251,592",    92，976,"    113,386","    159,632",94126,"    90,357","    102,815","    58,473","    69,135",,,总计,"    38,159","    54,164","    83,683","    20,433","    24,238","    26,600","    22,896","    12,213","    2,917",,,总计,"    19,398",    12，297,"    9,017","    10,568","    13,108","    4,122","    4,633","    4,103","    1,489",,,    地区别,  门巴族,  珞巴族,  基诺族,    其它,
总计,"1,003,913,927","    936,674,944","    3,411,367","    7,228,398","    3,847,875","    5,963,491","    5,021,175","    5,453,564",13383086,,,北京市,    203,"    3,905","    116,710",    219,    139,    420,    191,    34,    217,,,北京市,    80,    68,    20,    11,    95,    44,    7,    18,    27,,,北京市,    114,    19,    43,    46,    213,    27,    36,    4,    28,,,北京市,    13,    4,    271,    5,-,    6,    4,    7,    18,,,北京市,    39,    2,    4,    16,    8,    14,    1,    8,    15,,,,,,,,国籍(入籍)
北京市,"    9,230,663","    8,908,245","    9,350","    185,228",    820,    757,    647,    351,"    1,783",,,天津市,    27,    816,"    16,642",    39,    32,    55,    46,-,    1,,,天津市,    2,-,-,-,    3,    13,-,    4,-,,,天津市,    13,-,    1,    10,    54,    3,-,-,-,,,天津市,    3,-,    39,-,-,-,-,-,    4,,,天津市,    10,-,-,-,-,-,-,-,    1,,,总计,1140,1066,"    11,962","    799,705","    4,937"
天津市,7764137,7599860,"    1,409","    143,585",    30,    63,    99,    27,"    1,210",,,河北省,    255,"    1,737","    383,898",    115,    59,    73,    123,    15,    1,,,河北省,    8,    18,    9,    2,    5,    22,    5,    26,-,,,河北省,    65,    1,-,    2,    60,    11,    2,-,    5,,,河北省,    9,    2,    96,-,-,-,-,-,    12,,,河北省,    4,-,1,-,    1,-,-,    1,    3,,,北京市,    6,    2,    3,    34,    64
河北省,"    53,005,507","    52,152,068","    42,837","    420,380",    127,    37,    349,    108,"    2,780",,,山西省,    64,    525,"    8,489",    65,    17,    90,    93,    2,    2,,,山西省,    6,    4,    3,-,    21,    6,-,    4,    1,,,山西省,    27,-,-,    9,    20,    4,    10,-,    1,,,山西省,-,-,    71,-,-,-,-,-,    1,,,山西省,    4,-,-,-,    1,-,-,-,    3,,,天津市,-,-,-,    10,    26
山西省,25291450,"    25,227,645","    1,554","    51,917",    75,    19,    11 7,    80,    455,,,内蒙古自治区,    60,"    17,580","    237,149",    86,    26,    67,    99,    8,    19,,,内蒙古自治区,    4,    56,-,    4,    19,    25,    2,    18,    36,,,内蒙古自治区,    14,-,    67,    276,"        58,628",    6,    24,-,    2,,,内蒙古自治区,    3,    3,"    1,470",-,-,-,-,    3,    53,,,内蒙古自治区,"    18,177",-,    4,    11,    9,-,-,"    2,039",    23,,,河北省,    1,-,-,    1 00,    74
内蒙古自治区,"    19,274,281","    16,277,616","    2,489,378","    168,997",    504,    95,    352,    167,    913,,,辽宁省,    149,"    198,252","    1,990,931",    166,    92,    153,    82,    2,    17,,,辽宁省,    13,    29,    2,-,    15,    54,-,    15,-,,,辽宁省,    43,-,    5,    11,    182,    1,    9,-,-,,,辽宁省,    7,    1,"    49,398",-,-,-,-,    1,    20,,,辽宁省,    13,-,,    5,2,    1,-,    18,    2,,,山西省,-,-,-,    21,    24
辽宁省,"    35,721,694","    32,811,480","    428,1 55","    239,449",    67,    96,    388,    1 70,"    1,594",,,吉林省,    51,"    1,104,071","    519,094",    46,    31,    98,    51,    9,    5,,,吉林省,    18,    29,-,-,    1,    19,    9,    10,    1,,,吉林省,    3,-,    13,    7,    119,-,    5,-,-,,,吉林省,-,-,"    1,541",-,-,-,-,-,    8,,,吉林省,    9,-,5,-,    2,-,-,    18,    15,,,内蒙古自治区,    1,-,-,    37,    151
吉林省,"    22,560,024","    20,730,291","    93,083","    110,283",    18,    24,    203,    74,    582,,,黑龙江省,    317,"    431,644","    913,496",    665,    152,    112,    259,-,    9,,,黑龙江省,    3,    37,2,-,    17,    26,-,    113,    9,,,黑龙江省,    26,    1,    874,    25,"    30,246",    13,    14,    3,-,,,黑龙江省,-,    1,"    2,646",    1,-,-,    1,    1,    79,,,黑龙江省,"    1,114",    1,    5,    25,    37,    3,-,"    2,002","    1,397",,,辽宁省,-,    5,-,    42,    557
黑龙江省,"    32,665,512","    31,051,486","    96,033","    127,068",    55,    72,"    1,651",    474,"    2,313",,,上海市,    40,    462,"    2,171",    57,    30,    98,    43,    21,    13,,,上海市,    30,    12,    3,    1,    44,        30,    1,        3,-,,,上海市,    19,-,    2,    3,    16,    4,    3,    1,    7,,,上海市,    1,    3,    16,-,    1,-,-,-,    5,,,上海市,-,-,-,-,    1,-,-,    3,-,,,吉林省,-,-,-,    22,    156
上海市,"    11,859,700","    11,809,894","    1,277","    44,329",    104,    176,    128,    71,    519,,,江苏省,    55,    305,"    2,483",    92,    21,    82,    76,    3,    3,,,江苏省,    12,    31,    5,    1,    24,    68,-,    17,    1,,,江苏省,    25,-,-,    8,    9,    6,    1,-,    3,,,江苏省,    4,    1,    25,-,    3,    2,-,    1,    6,,,江苏省,    4,-,-,-,    3,    2,-,-,    1,,,黑龙江省,-,    1,-,    100,    883
江苏省,"    60,521,113","    60,410,499","    1,770","    104,295",    82,    54,    307,    65,603,,,浙江省,    70,    103,"    1,177",    108,    26,    39,    70,    4,-,,,浙江省,    26,    97,-,    16,"    148,259",    54,-,    21,-,,,浙江省,    116,    1,    2,    11,    12,-,    5,-,-,,,浙江省,    1,-,    5,-,-,-,-,-,    1,,,浙江省,    2,-,-,-,    3,-,-,-,    2,,,上海市,-,-,-,    23,    35
