28.各少数民族人口年龄状况,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,    民族别,4 5—4 9岁,5 0-5 4岁,5 5—5 9岁,    6 0—6 4岁,6 5—9 9岁,1 0 0岁及以上,  不详
    民族别,    合计,0—1 4岁,1 5-1 9岁,    2 0—2 4岁,2 5—2 9岁,3 0—3 4岁,3 5—3 9岁,4 0—4 4岁,,,总计,"    2,857,584","    2,434,6 63","    1,882,981","    1,632,060","    2,994,937","    1,510",    133
总计,"    67,238,983","    26,332,254","    8,249,958","    4,731,670","    5,323,901","    4,171,651","    3,440,150","    3,185,531",,,蒙古族,"    133,120","    106,767","    91,962","    68,893","    116,401",    9,    2
蒙古族,"    3,411,367","    1,345,136","    451,202","    310,995","    298,309","    207,022",139006,"    142,543",,,回族,"    310,857","    255,067","    201,249","    163,476","    302,164",    100,    11
回族,"    7,228,398","    2,650,777","    911,920","    545,239","    633,331","    506,205","    399,499","    348,503",,,藏族,"    173,524","    152,264","    129,194","    107,442","    184,072",    134,    11
藏族,"    3,847,875","    1,526,092","    411,493","    256,646","    260,011","    229,642","    217,637","    199,713",,,维吾尔族,"    221,985","    199,862","    158,380","    158,896","    309,969",    802,    9
维吾尔族,"    5,963,491","    2,405,534","    618,047","    489,120","    459,910","    371,481","    307,514","    261,982",,,苗族,"    222,727","    183,564","    121,493","    106,858","    209,294",    67,    3
苗族,"    5,021,175","    2,128,042","    607,336","    256,474","    369,973","    303,185","    264,450","    247,709",,,彝族,"    239,128","    205,715","    151,838","    127,465","    212,745",    10,    3
彝族,"    5,453,564","    2,300,736","    653,494",312526,"    391,537",303447,"    287,643","    267,277",,,壮族,"    573,398","    479,862","    372,293","    344,566","    658,274",    118,    13
壮族,"    13,383,086","    5,200,870",1673951,"    890,046","    1,057,091","    812,884","    681,347","    638,373",,,布依族,"    95,255","    83,445","    55,463","    55,205","    107,809",    7,    1
布依族,"    2,119,345","    841,225","    249,028","    115,250","    159,291","    123,507","    121,160","    112,699",,,朝鲜族,90259,"    66,833","    56,192","    47,621","    72,663",    3,    1
朝鲜族,"    1,765,204","    500,685","    224,261","    182,247","    187,262","    139,902","    97,316","    99,959",,,满族,"    165,385","    158,396",136084,"    108,812","    196,989",    2,    65
满族,"    4,304,981","    1,461,032","    592,527","    388,173","    415,234","    302,513","    197,767","    182,002",,,侗族,"    74,523","    58,046","    35,073","    32,387","    64,781",    4,-
侗族,"    1,426,400","    551,213","    184,337","    78,902","    102,596","    92,277","    74,463","    77,798",,,瑶族,"    60,340","    49,943",37507,"    33,164","    62,626",    78,    3
瑶族,"    1,411,967","    570,333","    175,224","    98,319","    107,314","    85,094","    66,798","    65,224",,,白族,"    54,510","    47,930","    33,939","    30,246","    50,734",    1,    1
白族,"    1,132,224","    439,105","    143,084","    68,750","    90,174","    66,791","    56,139","    50,820",,,土家族,"    126,772","    111,520","    89,613","    69,971","    131,210",    3,    2
土家族,"    2,836,814","    1,064,399","    379,563","    159,887","    224,191","    187,857","    153,323","    138,503",,,哈尼族,"    41,740","    36,084","    30,314","    23,390","    36,571",    4,-
哈尼族,"    1,058,806","    450,840","    130,251","    72,428","    75,925","    59,594","    51,793","    49,872",,,哈萨克族,"    28,147","    24,080",18739,"    14,499","    26,922",    12,    1
哈萨克族,"    907,546","    429,726","    109,660","    73,706","    62,902","    46,101","    37,641","    35,410",,,傣族,"    35,235","    31,477","    26,040","    21,330","    36,698",    41,-
傣族,"    839,496","    313,932",112753,"    81,604","    61,531","    45,409","    39,025",34421,,,黎族,"    35,731","    30,730","    23,476","    19,489","    35,373",    29,    1
黎族,"    887,107","    391,897","    111,587","    63,817","    57,163",43340,"    36,598","    37,876",,,傈僳族,"    20,758",18253,"    13,342","    11,407","    19,146",    7,-
傈僳族,"    481,884","    200,667","    54,894","    33,743","    35,829","    28,405","    23,791","    21,642",,,佤族,"    11,588","    9,946","    7,261","    6,648","    9,248",    4,-
佤族,"    298,611","    125,480","    35,209","    24,219","    20,322","    18,382","    16,218","    14,086",,,畲族,"    17,397","    17,270","    14,684","    11,603","    21,052",    1,-
畲族,"    371,965","    134,166","    44,424","    26,526","    30,729","    22,917","    15,812","    15,384",,,高山族,    45,    152,    101,    39,    46,-,-
高山族,"    1,650",    449,    283,    219,    124,    80,    56,    56,,,拉祜族,"    12,229","    10,909","    8,351","    6,943","    10,538",    5,-
拉祜族,"    304,256","    124,040","    36,386","    26,364","    20,672","    18,204","    16,102","    13,513",,,水族,"    14,705","    11,400","    5,982","    6,365","    12,509",-,-
水族,"    286,908","    122,356",    34，066,"    14,743","    19,560","    15,998","    14,416","    14,808",,,东乡族,"    11,374","    9,028","    6,308","    5,620","    9,673",    5,-
东乡族,"    279,523","    113,575","    38,629","    21,228",16579,"    16,609","    16,819","    14,076",,,纳西族,"    12,506","    10,279","    7,991","    7,007","    13,125",-,-
