29.各少数民族人口的文化程度,,,,,,,,
,,,,,,,,
,,,,,,,,
,6岁及6岁以,,,,,,,
    民族别,上少数民族,大学毕业,大学肄业,,,,  文盲、半文盲,
,,,或在校,    高中,    初中,    小学,,
,,,,,,,,  其中
,人口数合计,,,,,,  人口数,  6-1 1岁
总计,"    57,164,045","    184,673","    66,293","    3,055,370","    8,221,284","    20,304,276","    25,332,149","    5,626,937"
蒙古族,"    2,901,378","    18,796","    8,927","    270,898","    573,857","    1,163,855","    865,045","    197,147"
回族,"    6,255,819","    37,709","    12,457","    458,728","    1,203,595","    1,894,442","    2,648,888","    549,686"
藏族,"    3,234,569","    5,850","    1,930","    38,497",127985,"    635,597","    2,424,710","    476,199"
维吾尔族,"    4,976,966","    12,676","    6,849","    208,310","    613,336",1967410,"    2,168,385","    477,302"
苗族,4222388,"    4,481",1436,"    97,153","    358,912","    1,241,057","    2，519,349","    590,765"
彝族,"    4,548,532","    3,157","    1,278","    68,089","    328,164","    1,273,588","    2,874,256","    653,978"
壮族,"    11,363,110","    22,353","    6,987","    708,519","    1,846,807","    4,947,1 76","    3,831,268","    932,109"
布依族,"    1,806,302","    2,082",    837,"    37,051","    184,294","    562,490","    1,019,548","    215,423"
朝鲜族,1585769,"    26,382","    8,193","    323,837","    541,681","    502,695","    182,981","    37,926"
满族,"    3,774,872","    29,164","    8,475","    393,934","    997,384","    1,648,214","    697,701","    155,205"
侗族,"    1,234,125","    2,1 27",    878,"    42,986","    1 50,275","    479,318","    558,541","    115,330"
瑶族,"    1,1 78,987","    1,542",    444,"    42,778","    109,113","    457,004","    568,106","    121,118"
白族,"    976,670","    3,268","    1,373","    40,693","    144,351","    380,465","    406,520","    81,966"
土家族,"    2,506,000","    3,488",    928,"    133,790","    399,423","    1,123,936","    844,435","    165,792"
哈尼族,"    873,391",    330,    132,"    9,076","    50,703","    190,526","    622,624","    136,527"
哈萨克族,"    725,130","    2,547","    1,483","    41,599","    124,781","    351,272","    203,448","    81,325"
傣族,"    723,118",    546,    309,"    10,092","    51,108","    244,554","    416,509","    78,953"
黎族,"    725,804",    907,    453,"    37,001","    97,861","    257,977","    331,605","    95,367"
傈僳族,"    397,426",    324,    94,"    3,336","    1 7,829","    86,434","    289,409","    61,055"
佤族,"    246,439",    153,    39,"    2,317","    13,737","    58,873",171320,"    35,559"
畲族,"    323,665",    435,    157,"    8,707","    27,787","    124,860","    161,719","    24,036"
高山族,"    1,517",    48,    12,    262,    421,    480,    294,    59
拉祜族,"    252,243",    76,    29,"    1,188","    6,867","    35,438","    208,645","    40,741"
水族,"    237,660",    204,    98,"    4,103","    18,714","    63,953","    150,588","    34,805"
东乡族,"    240,999",    94,    75,"    1,768","    6,551","    20,81 7","    211,694","    45,126"
纳西族,"    221,035",    943,    335,"    10,784","    36,545","    85,212","    87,216","    17,091"
景颇族,"    76,058",    100,    40,    864,"    4,867","    22,688","    47,499","    10,926"
柯尔克孜族,"    91,726",    302,    107,"    4,261","    10,533","    38,129","    38,394","    10,082"
土族,"    133,589",    458,    230,"    3,505","    12,831","    37,695","    78,870","    16,210"
达斡尔族,"    80,546","    1,096",    395,"    9,916","    22,147","    31,218","    15,774","    4,012"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,6岁及6岁以,,,,,,,
    民族别,上少数民族,大学毕业,大学肄业,,,,  文盲、半文盲,
,,,或在校,    高中,    初中,    小学,,  其中
,人口数合计,,,,,,,
,,,,,,,  人口数,  6-1 1岁
(续)仫佬族,"    76,900",    185,    88,"    4,649","    11,087","    33,571","    27,320","    6,638"
羌族,"    84,915",    171,    130,3644,"    10,033","    29,638","    41,299","    8,639"
布朗族,"    48,067",    20,    13,    395,"    2,001","    9,599","    36,039","    7,556"
撒拉族,"    54,830",    180,    97,"    1,108","    3,623","    9,757","    40,065","    9,609"
毛难族,"    32,157",    114,    46,"    2,659","    5,332","    13,859","    10,147","    2,618"
仡佬族,"    44,351",    53,    17,    753,"    4,306","    14,126","    25,096","    6,474"
锡伯族,"    71,924",    904,    400,"    9,484","    21,247","    30,589","    9,300","    2,309"
阿昌族,"    16,982",    16,    20,    263,"    1,066","    5,298","    10,319","    2,042"
普米族,"    20,440",    36,    9,    362,"    1,789","    5,524","    12,720","    2,836"
塔吉克族,"    21,620",    65,    22,    859,"    2,500","    7,695","    10,479","    2,459"
怒族,"    18,529",    45,    7,    420,"    1,733","    4,407","    11,917","    2,541"
乌孜别克族,"    10,261",    216,    81,"    1,276","    2,435","    4,104","    2,149",    737
俄罗斯族,"    2,643",    56,    18,    397,    824,    850,    498,    86
鄂温克族,"    16,280",    129,    76,"    1,673","    4,057","    7,383","    2,962",    953
崩龙族,"    10,043",    9,    4,    69,    346,"    2,250","    7,365","    1,444"
保安族,"    7,997",    22,    6,    188,    467,"    1,145","    6,169","    1,230"
裕固族,"    9,090",    37,    1 9,    413,"    1,030","    3,738","    3,853",    886
京族,"    11,289",    64,    37,    805,"    1,650","    4,830","    3,903",    858
塔塔尔族,"    3,359",    130,    38,    480,    842,"    1,372",    497,    264
独龙族,"    3,717",    1 5,    6,    89,    296,    944,"    2,367",    511
鄂伦春族,"    3,434",    47,    15,        389,    988,"    1,414",    581,    171
赫哲族,"    1,255",    27,    1 1,    238,    343,    437,    199,    51
门巴族,    988,    15,    1,    25,    106,    41 5,    426,    58
珞巴族,    926,    7,-,    11,    39,    223,    646,    121
基诺族,"    10,495",    1 3,    9,    141,    775,"    4,148","    5,409","    1,167"
其他,"    660,883",    358,    126,"    10,1 50","    59,134","    178,356","    412,759","    102,827"
外国人加入中国籍(入籍),"    4,837",    101,    17,    388,    776,"    1,231",    2，324,    32
