30.各少数民族的文盲 半文盲人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  1 2岁及1 2岁以上人口数,,,    文盲、半文盲人口数,,,文盲、半文盲占1 2岁及1 2岁,,
,,,,,,,以上人口数的百分比(％),,
    民族别,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,    合计,    男,    女
,,,,,,,,,
总计,"    46,316,645","    23,538,506","    22,778,139","    19,705，212","    6,982,593","    12,722,619",    42.54,29.66,55.85
蒙古族,"    2,346,899","    1,215,090","    1,131,809","    667,898","    255,823","    412,075",    28.46,21.05,36.41
回族,"    5,156,663","    2,614,849","    2,541,814","    2,099,202","    770,129","    1,329,073",    40.71,29.45,52.29
藏族,"    2,621,984","    1,261,977","    1,360,007","    1,948,511","    768,244","    1,1 80,267",    74.31,60.88,86.78
维吾尔族,"    4,009,325","    2,066,150","    1,943,1 75","    1,691,083","    803,200","    887,883",    42.18,38.87,45.69
苗族,"    3,318,708","    1,703,317",1615.391,"    1,928,584","    673,573","    1,255,011",    58.11,39.54,77.69
彝族,"    3,601,639","    1,812,313","    1,789,326","    2,220,278","    828,995","    1,391,283",    61.65,45.74,77.75
壮族,"    9,240,401","    4,614,677","    4,625,724","    2,899,159",725724,"    2，1 73,435",    31.37,    1 5.73,46.99
布依族,"    1,448,105","    724,999","    723,106","    804,125","    242,372","    561,753",    55.53,33.43,77.69
朝鲜族,"    1,381,625","    676,448","    705,177","    145,055","    31,709","    113,346",    10.50,4.69,16.07
满族,"    3,186,593","    1,729,694","    1,456,899","      542,496","    205,526","    336,970",    17.02,11.88,25.13
侗族,"    993,921","    518,852","    475,069","    443,211","    130,442","    312,769",    44.59,25.14,65.84
瑶族,"    952,916","    489,440","    463,476","    446,988","    149,159","    297,829",    46.91,30.48,64.26
白族,"    786,499","    392,118",594381,"    324,554","    81,587","    242,967",    41.27,20.81,61.61
土家族,"    2,033,113","    1,065,276","    967,837","    678,643","    212,057","    466,586",    33.38,19.91,48.21
哈尼族,"    693,267","    349,402","    343,865","    486,097",195955,"    290,144",    70.12,56.08,84.38
哈萨克族,"    553,295","    286,771","    266,524","    122,123","    47,096","    75,027",    22.07,16.42,28.15
傣族,"    593,574","    292,687","    300,887","    337,556","    130,758","    206,798",    56.87,44.68,68.73
黎族,"    571,719","    284,497","    287,222","    236,238","    77,806","    158,432",    41.32,27.35,55.16
傈僳族,"    318,356","    159,561","    158,795","    228,354","    92,378","    135,976",    71.73,57.9,85.63
佤族,"    197,185","    98,477","    98,708","    135,761",58285,"    77,478",    68.85,59.18,78.49
