31.各少数民族人口的行业状况,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,住宅管理、公,,,,,,
,,,,电力、煤气、,,,,,商业、饮食业、,,,    民族别,用事业管理和,卫生、体育和,教育、文化,    科学研究和综,,国家机关、政,其它行业
,,农、牧、,矿业及木,,,地质勘探,,交通运输、,,,,,,社会福利事业,艺术事业,    合技术服务事业,金融、保险业,党和群众团体,
    民族别,  合计,,,自来水的生产,    制造业,,建筑业,,物资供销,,,,居民服务业,,,,,,
,,林、渔业,材采运业,,,和普查业,,邮电通信业,,,,总计,"    78,068","    189,976","    722,385","    40,143","    64,386","    490,982","    14,742"
,,,,和供应业,,,,,及仓储业,,,蒙古族,"    5,431","    19,1 78","    77,007","    3,740","    6,908","    55,798",    934
总计,"    33,088,072","    28,168,262","    286,417","    66,790","    1,591,217","    28,966","    327,858","    328,046","    689,834",,,回族,"    31,580","    32,516","    89,262","    11,041","    8,102","    70,559","    4,098"
蒙古族,"    1,369,288","    1,019,276","    18,050","    3,325","    74,752","    1,819","    18,045","    16,125","    48,900",,,藏族,"    1,508","    11,406","    34,508","    1,533","    4,010","    44,31 5",    711
回族,"    3,596,996","    2,221,838","    63,113","    15,983","    610,976","    6,480","    104,768","    106,639","    220,041",,,维吾尔族,"    5,828","    17,011","    69,919","    1,396","    6,743","    48,339","    1,534"
藏族,"    1,952,849","    1,775,640","    6,062","    3,571","    19,391","    1,529","    12,770","    19,554","    16,341",,,苗族,    944,"    5,647","    29,142",636,"    2,531","    20,976",    478
维吾尔族,"    2,933,501","    2,524,252","    21,004","    4,747","    102,497","    2,100","    31,169","    24,530","    72,432",,,彝族,    875,"    8,658","    32,613",    526,"    4,197","    25,475",    613
苗族,"    2,502,791","    2,380,424","    7,200",    2，468,"    22,264",    968,"    7,014","    7,687","    14,412",,,壮族,"    7,358","    23,359","    131,202","    5,489","    9,097","    61,864","    1,969"
彝族,"    2,789,258","    2,638,332","    16,396","    2,912","    21,414","    1,012","    6,835","    10,788","    18,612",,,布依族,    418,"    2,715","    14,778",    502,"    1,351","    10,473",    210
壮族,"    6,757,462","    6,1 55,795","   43,407","    9,783","    141,953","    6,029","    31,171","    42,623","    86,363",,,朝鲜族,"    6,048","    1 5,744","    43,048","    3,589","    3,882","    22,937",    546
布依族,"    1,064,167","    1,005,522","    3,232",    932,"    10,243",    578,"    3,545","    3,212","    6,456",,,满族,"    12,920","    23,799","    76,091","    8,260","    5,782","    45,587","    1,837"
朝鲜族,"    918,673","    548,340","    24,639","    4,334","    1 58,744","    1,841","    18,032","    19,108","    47,841",,,侗族,    332,"    2,269","    12,117",    322,"    1,057","    8,160",    149
满族,"    1,945,509","    1,199,900","    48,963","    8,232","    325,123","    3,272","    60,046","    41,677","    84,020",,,瑶族,    21 8,"    1,674","    10,131",    1 50,    607,"    5,279",    1 44
侗族,"    738,884","    690,143","    2,946",    894,"    8,272",    426,"    2,818","    2,986","    5,993",,,白族,    771,"    4,084","    12,218",    588,"    1,504","    8,432",    202
瑶族,"    714,851","    680,018","    2,907",    863,"    5,877",    261,"    1,168","    1,677","    3,877",,,土家族,"    1,082","    6,024","    23,683",    646,"    1,892","    14,926",    246
白族,"    568,848","    488,390","    6,413","    1,165",    18，211,    754,"    11,669","    6,132","    8,315",,,哈尼族,    169,"    1,1 76","    5,269",    100,    716,"    3,640",    64
土家族,"    1,492,121","    1,388,548","    4,988","    2,1 73","    21,957",    456,"    3,410","    6,908","    15,182",,,哈萨克族,    196,"    2,528","    16,045",    1 70,"    1,300","    9,460",    190
哈尼族,"    532,647","    509,872","    1,467",    555,"    3,086",    86,"    1,114","    2,139","    3,194",,,傣族,    167,"    1,319","    5,057",    131,    636,4237,    46
哈萨克族,"    294,923","    243,557","    3,659",    415,"    3,781",    230,"    2,016","    2,224","    9,152",,,黎族,    254,"    1,3 72","    6,224",    146,    723,"    4,363",    31
傣族,"    454,707","    432,656",    748,    544,3668,    59,"    1,013","    1,283","    3,143",,,傈僳族,    54,    718,"    2,296",    25,    384,"    1,642",    37
黎族,"    405,375","    381,1 70",    736,    744,"    3,600",    61,    726,"    1,440","    3,785",,,佤族,    24,    546,"    1,487",    30,    202,"    1,307",    14
傈僳族,"    251,161","    241,045",    582,    283,"    1,063",    70,    441,"    1,226","    1,295",,,畲族,    457,    685,"    2,507",    45,    132,"    1,432",    24
佤族,157029,"    148,966",    422,    314,"    1,477",    13,    726,    649,    852,,,高山族,    11,    35,    53,    5,    2,    55,    1
畲族,"    162,377","    145,641",    716,    377,"    6,092",    56,"    1,848",    787,"    1,578",,,拉祜族,    31,    272,    856,    10,    1 34,    623,    9
高山族,    902,    332,    24,    5,    242,    3,    41,    30,    63,,,水族,    25,    292,"    1,574",    29,    127,"    1,1 74",    41
拉祜族,"    165,406","    160,687",    134,    161,"    1,024",    24,    312,    426,    703,,,东乡族,    37,    130,    756,    4,    97,    763,    21 5
水族,"    143,807","    137,512",    357,    129,"    1,087",    46,    322,    409,    683,,,纳西族,    265,"    1,144","    3,923",    228,    440,"    3,127",    76
东乡族,"    142,191","    138,431",    286,    62,    556,36,    228,    168,    422,,,景颇族,    15,    247,    707,    33,    96,    672,    2
