17.市(不含市辖县)按人口数分组,,,,
,,,,
,,,,
,    市数,  人口数,    占总计的百分比(％),
    人口数分组,,,,
,    (个),  (人),,
,,,    市数,  人口数
总计,    244,145253071,    1 00.00,    100.00
4．0 0 0.0 0 0人以上,    4,"    21,064,749",    1.64,    14.50
3．0 0 0．0 0 0～3.9 9 9.9 9 9人,    2,"    6,399,872",    0.82,    4.41
2．0 0 0．0 0 0～2.9 9 9.9 9 9人,    7,"    16,295,661",    2.87,    11.22
1．0 0 0．0 0 0～1.9 9 9.9 9 9人,    25,"    31,622,467",    10.25,    21.77
8 0 0．0 0 0～9 9 9.9 9 9人,    15,"    13,577,327",    6.15,    9.35
5 0 0.0 0 0～7 9 9.9 9 9人,    32,"    19,636,986",    13.11,    13.52
4 0 0.0 0 0～4 9 9.9 9 9人,    18,"    7,991,636",    7.38,    5.50
3 0 0．0 0 0～3 9 9.9 9 9人,    30,"    10,523,252",    12.30,    7.24
2 0 0．0 0 0～2 9 9.9 9 9人,    39,"    9,442,437",    15.98,    6.50
1 0 0.0 0 0～1 9 9.9 9 9人,    50,"    7,296,989",    20．49,    5.02
1 0 0．0 0 0人以下,    22,"    1,401,695",    9.02,    0．97
