18.市(不含市辖县)按人口数分组,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,2 0 0 0 0 0 0,1 0 0 0 0 0 0,    8 0 0 0 0 0,5 0 0 0 0 0,3 0 0 0 0 0,1 0 0 0 0 0,
,市数合计,4 0 0 0 0 0 0,    -,    -,    -,    -,    -,    -,1 0 0 0 0 0
    地区别,    (个),  人以上,,,,,,,  人以下
,,,3 9 9 9 9 9 9人,1 9 9 9 9 9 9人,  9 9 9 9 9 9人, 7 9 9 9 9 9人, 4 9 9 9 9 9人,2 9 9 9 9 9 9人,
总计,    244,    4,    9,    25,    1 5,    32,    48,    89,    22
北京市,    1,    1,-,-,-,-,-,-,-
天津市,    1,    1,-,-,-,-,-,-,-
河北省,    11,-,-,    2,    1,    2,    3,    3,-
山西省,    7,-,-,    1,    1,-,    2,    3,-
内蒙古自治区,    10,-,-,    1,-,    1,-,    7,    1
辽宁省,    13,    1,-,    3,-,    4,    2,    3,-
吉林省,    9,-,-,    2,-,    2,    2,    2,    1
黑龙江省,    16,-,    1,    1,    1,    5,    1,    2,    5
上海市,    1,    1,-,-,-,-,-,-,-
江苏省,    11,-,    1,    _,    1,    3,    4,    2,-
浙江省,    9,-,-,    2,    3,    2,    1,    1,-
安徽省,    12,-,-,    1,    1,    1,    4,    4,    1
福建省,    7,-,-,    1,-,    1,    3,    2,-
江西省,    10,-,-,    2,-,    1,    2,    5,-
山东省,    10,-,    1,    4,-,-,    2,    3,-
河南省,    18,-,-,    1,    1,    3,    3,    9,    1
湖北省,    11,-,    1,-,-,-,    4,    5,    1
湖南省,    1 5,-,-,    1,    1,    1,    3,    5,    4
广东省,    14,-,    1,-,    1,    1,    2,    9,-
广西壮族自治区,    7,-,-,-,    1,    1,    1,    3,    1
四川省,    13,-,    2,-,    2,    2,    1,    6,-
贵州省,    5,-,    1,    1,-,-,    1,    1,    1
云南省,    6,-,-,    1,-,-,    1,    4,-
西藏自治区,    1,-,-,-,-,-,-,    1,-
陕西省,    6,-,    1,-,-,-,    4,    1,-
甘肃省,    5,-,-,    1,-,-,-,    3,    1
青海省,    5,-,-,-,-,    1,-,-,    4
宁夏回族自治区,    2,-,-,-,-,-,    2,-,-
新疆维吾尔自治区,    8,-,-,-,    1,    1,-,    5,    1
