19.市(不含市辖县)按人口数排列一览表,,,
,,,
,,,
    市名,  人口数,    市名,  人口数
总计,"    145,253,071",  衢州市,"    971,783"
,,  大同市区,"    967,608"
四百万人以上,,  乌鲁木齐市区,"    956,843"
  上海市区,"    6,320,829",  乐山市,"    954,384"
  北京市区,"    5,597,955",  湖州市,"    945,616"
  天津市区,"    5,142,560",  邯郸市,"    938,082"
  沈阳市区,"    4,003,405",  自贡市区,"    875,337"
,,  湛江市,"    867,217"
二百万人至四百万人,,  南宁市区,"    862,732"
  武汉市区,"    3,251,591",  金华市,"    842,904"
  广州市区,"    3,148,281",  合肥市区,"    821,812"
  重庆市区,"    2,634,492",  无锡市区,"    812,610"
  哈尔滨市区,"    2,542,832",  伊春市区,"    803,888"
  成都市区,"    2,466,51 5",  本溪市区,"    792,401"
  淄博市区,2231519,  徐州市区,"    779,289"
  西安市区,"    2,196,556",  绵阳市,"    776,162"
  南京市区,"    2,134,198",  鸡西市区,"    766,731"
  六盘水市区,"    2,089,549",  大庆市区,764045
,,  辽源市,759587
一百万人至二百万人,,  呼和浩特市区,"    742,114"
  太原市区,"    1,774,71 3",  汕头市,"    722,805"
  长春市区,"    1,757,083",  浑江市,"    684,297"
  大连市区,"    1,478,978",  苏州市区,"    673,308"
  郑州市区,"    1,428,316",  嘉兴市,"    670,041"
  昆明市区,"    1,425,779",  阜新市区,"    644,200"
  兰州市区,"    1,416,371",  张家口市,"    605,906"
  唐山市区,"    1,338,296",  开封市区,"    604,229"
  济南市区,"    1,338,107",  柳州市区,"    585,369"
  贵阳市区,"    1,319,432",  牡丹江市,"    580,984"
  泰安市,"    1,269,876",  鹤岗市区,"    576,1 59"
  枣庄市区,"    1,238,257",  锦州市区,"    575,299"
  萍乡市区,"    1,224,749",  西宁市区,"    571,545"
  齐齐哈尔市区,"    1,224,113",  蚌埠市区,"    558,676"
  鞍山市区,"    1,214,571",  石河子市,"    549,410"
  抚顺市区,"    1,192,814",  丹东市区,"    537,745"
  杭州市区,"    1,191,582",  佳木斯市,529834
  青岛市区,"    1,173,872",  衡阳市,"    527,039"
  福州市区,"    1,129,251",  渡口市区,"    517,557"
  绍兴市,"    1,107,175",  厦门市区,"    510,656"
  吉林市区,"    1,079,332",  温州市区,"    508,611"
  长沙市区,"    1,076,413",  新乡市区,"    508,604"
  包头市区,"    1,070,481",  景德镇市区,"    506,955"
  石家庄市区,"    1,066,332",  安阳市区,"    504,297"
  南昌市区,"    1,061,497",  保定市,"    502,394"
  淮南市区,"    1,025,077",  常州市区,"    500,737"
,,四十万人至五十万人,
五十万人至一百万人,,  咸阳市,"    497,424"
  岳阳市,"    980,747",  焦作市区,"    487,641"
  洛阳市区,"    975,764",  湘潭市,"    482,959"
,,,
,,,
,,,
,,,
,,,
    市名,  人口数,    市名,  人口数
(续),,,
  平顶山市区,"    475,946",  漳州市,295385
  宁波市区,"    468,230",  佛山市,"    285,540"
  阳泉市区,"    466,558",  内江市,"    278,591"
  芜湖市区,456219,  喀什市,"    274,128"
  辽阳市区,"    448,807",  南阳市,"    271,872"
  淮北市区,    442，878,  万县市,"    269,758"
  长冶市区,"    436,154",  榆次市,"    268,194"
