20.市(不含市辖县和郊区公社)按人口数排列一览表,,,
,,,
,,,
    市名,  人口数,    市名,  人口数
总计,"    108,074,019",  呼和浩特市区,"    742,114"
,,  邯郸市,"    710,482"
四百万人以上,,  大同市区,"    655,260"
  上海市区,"    6,320,829",  徐州市区,"    634,063"
  北京市区,"    4,674,921",  无锡市区,"    620,303"
  天津市区,"    4,119,086",  洛阳市区,"    606,378"
,,  鹤岗市区,"    576,159"
二百万人至四百万人,,  自贡市区,"    571,135"
  沈阳市区,"    2,981,695",  苏州市区,"    566,161"
  武汉市区,"    2,739,173",  本溪市区,    561，219
  哈尔滨市区,"    2,542,832",  石河子市,"    549,410"
  广州市区,"    2,349,490",  丹东市区,"    537,745"
  淄博市区,"    2,231,519",  阜新市区,"    532,633"
  六盘水市区,"    2,089,549",  衡阳市,"    527,039"
,,  萍乡市区,"    523,322"
一百万人至二百万人,,  汕头市,"    520,140"
  重庆市区,"    1,902,601",  南宁市区,"    518,316"
  南京市区,"    1,707,861",,
  西安市区,"    1,518,281",四十万人至五十万人,
  成都市区,"    1,399,803",  合肥市区,"    490,965"
  兰州市区,"    1,346,853",  湘潭市,"    482,959"
  唐山市区,"    1,338,296",  张家口市,"    477,040"
  长春市区,"    1,333,734",  西宁市区,"    476,769"
  泰安市,"    1,269,876",  浑江市,"    467,557"
  太原市区,"    1,249,425",  锦州市区,"    455,832"
  枣庄市区,"    1,238,257",  开封市区,"    432,799"
  齐齐哈尔市区,"    1,224,113",  柳州市区,"    430,812"
  大连市区,"    1,210,037",  新乡市区,"    424,064"
  杭州市区,"    1,191,582",  牡丹江市,"    408,233"
  青岛市区,"    1,1 73,872",,
  包头市区,"    1,070,481",三十万人至四十万人,
  石家庄市区,"    1,066,332",  邵阳市,"    399,255"
  抚顺市区,"    1,050,371",  双鸭山市区,"    397,523"
  昆明市区,"    1,025,927",  常州市区,"    395,938"
  淮南市区,"    1,025,077",  保定市,"    395,036"
  鞍山市区,"    1,005,030",  温州市区,"    394,888"
,,  黄石市区,"    381,710"
五十万人至一百万人,,  佳木斯市,"    376,283"
  乌鲁木齐市区,"    956,843",  芜湖市区,"    365,821"
  南昌市区,"    946,721",  蚌埠市区,"    365,365"
  贵阳市区,"    902,585",  宜昌市,"    363,579"
  郑州市区,700398,  马鞍山市区,"    350,511"
  济南市区,"    876,468",  韶关市区,"    344,888"
  吉林市区,"    861,089",  宁波市区,"    341,726"
  长沙市区,"    833,655",  渡口市区,"    341,658"
  福州市区,"    813,018",  宝鸡市区,"    338,754"
  伊春市区,"    801,002",  辽阳市区,"    335,509"
  鸡西市区,"    766,731",  厦门市区,"    332,730"
  大庆市区,"    764,045",  安阳市区,"    329,683"
,,,
,,,
,,,
,,,
    市名,  人口数,    市名,  人口数
  (续),,,
  株洲市区,"    328,210",  白城市,"    1 73,606"
  营口市区,"    325,858",  沧州市,"    1 71,734"
  襄樊市,"    316,007",  清江市,"    170,380"
  焦作市区,"    304,524",  铁岭市,"    170,201"
  十堰市,"    301,375",  内江市,"    169,024"
,,  克拉玛依市,"    168,868"
二十万人至三十万人,,  南阳市,"    165,400"
  长冶市区,"    298,142",  常德市,"    161,673"
  辽源市,"    296,71 3",  通辽市,"    161,147"
  平顶山市区,"    294,186",  湖州市,"    159,200"
  桂林市区,"    290,869",  鹤壁市区,"    154,018"
  镇江市,"    290,1 59",  绍兴市,"    153,750"
  湛江市,"    283,835",  安顺市,"    152,510"
  连云港市区,"    283,198",  三明市,"    152,050"
  通化市,"    275,458",  许昌市,"    150,533"
  景德镇市区,"    268,761",  延吉市,"    147,999"
  银川市区,"    262,072",  漳州市,"    147,573"
  淮北市区,"    261,695",  榆次市,"    144,759"
  乐山市,"    261,092",  信阳市,"    143,866"
  邢台市,"    259,689",  赣州市,"    143,598"
  四平市,"    259,149",  益阳市,"    142,388"
  秦皇岛市,"    254,053",  济宁市,"    141,518"
  乌海市区,"    249,61 7",  泉州市,"    140,768"
  阳泉市区,"    247,366",  集宁市,"    140,516"
  沙市市,"    243,791",  嘉兴市,"    140,361"
  烟台市,"    243,494",  德州市,"    137,967"
  扬州市,"    243,1 42",  朝阳市,"    137,815"
  东川市,"    240,213",  阜阳市,"    137,724"
  石咀山市区,"    236,481",  伊宁市,"    137,559"
  潍坊市,"    233,083",  南充市,"    135,252"
  安庆市区,"    224,795",  潮州市,"    1 33,837"
  南通市区,"    221,135",  南平市,"    133,638"
  咸阳市,"    219,513",  珠海市,"    133,208"
  承德市,"    218,043",  郴州市,"    132,056"
  九江市区,"    218,039",  泰州市,"    129,162"
  赤峰市,"    216,378",  喀什市,"    127,716"
  泸州市,"    214,636",  江门市,126442
  佛山市,"    206,476",  商丘市,122778
  七台河市,"    200,851",  海拉尔市,"    122,568"
,,  宿州市,"    122,066"
十万人至二十万人,,  万县市,"    121,305"
  遵义市,"    190,386",  吉安市,"    121,201"
  岳阳市,"    190,187",  肇庆市,"    119,064"
  铜川市区,    189，232,  衢州市,"    118,880"
  铜陵市区,"    188,183",  天水市,"    118,734"
  海口市,"    184,466",  临汾市,"    118,470"
  宜宾市,"    182,533",  汉中市,"    116,674"
  梧州市区,"    182,388",  深圳市区,"    113,599"
  绵阳市,"    176,760",  六安市,"    113,075"
,,,
,,,
,,,
,,,
    市名,  人口数,    市名,  人口数
(续),,,
  金昌市区,"    111,477",  洪江市,"    54,079"
  个旧市,"    110,295",  永州市,"    54,025"
  满洲里市,"    107,524",  鹰潭市,"    53,644"
  拉萨市区,"    105,866",  义马市,"    44,224"
  乌兰浩特市,"    105,224",  荆门市,"    41,987"
  上饶市,104299,  合山市,"    41,503"
  惠州市,"    103,274",  铁山市,"    32,811"
  金华市,"    101,837",  奎屯市,"    32,430"
,,  凭祥市,"    15,045"
十万人以下,,  格尔木市,"    13,119"
  周口市,"    98,719",  绥芬河市,"    11,498"
  库尔勒市,"    98,685",  二连浩特市,"    7,246"
  漯河市,"    98,424",  大柴旦(地区),     -
  抚州市,"    96,901",  松岭区,     -
  都匀市,"    95,780",  冷湖地区,     -
  驻马店市,"    94,037",  新林区,     -
  鄂城市,"    92,257",  茫崖(地区),     -
  加格达奇区,"    88,199",  呼中区,     -
  下关市,"    87,069",,
  椒江市,"    86,604",,
  哈密市,"    85,672",,
  冷水江市,"    85,335",,
  茂名市,"    84,298",,
  宜春市,"    82,180",,
  嘉峪关市区,"    81,378",,
  龙岩市,"    79,911",,
  铁法市,"    79,911",,
  梅州市,"    79,176",,
  廊坊市,"    77,748",,
  达县市,"    75,300",,
  怀化市,"    74,723",,
  西昌市,"    74,310",,
  玉门市,"    74,192",,
  北海市,"    72,838",,
  图们市,"    71,519",,
  三门峡市,"    70,726",,
  娄底市,"    68,884",,
  开远市,"    68,637",,
  老河口市,"    67,870",,
  衡水市,"    67,024",,
  延安市,"    64,226",,
  昭通市,"    59,905",,
  侯马市,"    59,293",,
  恩施市,"    57,300",,
  随州市,"    57,162",,
  津市市,"    56,486",,
  屯溪市,"    55,848",,
  威海市,"    55,361",,
  黑河市,"    55,037",,
