21.市(不含市辖县)人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    总人口数,,,    市区人口数,,,    郊区人口数,,
    地区别,,,,,,,,,
,    合计,    男,    女,    小计,    男,    女,    小计,    男,    女
总计,"    145,253,071","    75,287,073","    69,965,998","    99,086,714","    51,799,989","    47,286,725","    46,166,357","    23,487,084","    22,679,273"
北京,"    5,597,955","    2,846,670","    2,751,285","    2,418,181","    1,217,867","    1,200,314","    3,179,774",1628803,"    1,550,971"
  北京市区,"    5,597,955","    2,846,670","    2,751,285",2418181,"    1,217,867","    1,200,314","    3,179,774","    1,628,803","    1,550,971"
天津,"    5,142,560","    2,617,039","    2,525,521","    3,943,476","    2,014,534","    1,928,942","    1,199,084","    602,505","    596,579"
  天津市区,"    5,142,560","    2,617,039","    2,525,521","    3,943,476","    2,014,534","    1,928,942","    1,199,084","    602,505","    596,579"
河北省,"    6,048,144","    3,251,581","    2,796,563","    4,508,145","    2,447,076","    2,061,069","    1,539,999","    804,505","    735,494"
  石家庄市区,"    1,066,332","    565,053","    501,279",1066332,"    565,053","    501,279",-,-,-
  唐山市区,"    1,338,296","    704,111","    634,185","    1,338,296","    704,111","    634,185",-,-,-
  邯郸市,"    938,082","    537,900","    400,182","    445,340","    263,870","    181,470","    492,742","    274,030","    218,712"
  邢台市,"    335,799","    190,462","    145,337","    259,689","    154,513","    105,176","    76,110","    35,949","    40,161"
  保定市,"    502,394","    267,546","    234,848",395036,"    215,518","    1 79,518","    107,358","    52,028","    55,330"
  张家口市,"    605,906","    316,608","    289,298","    263,415","    135,278","    128,137","    342,491","    181,330","    161,161"
  承德市,"    316,397","    167,940","    148,457",169478,"    91,729","    77,749","    146,919","    76,211","    70,708"
  秦皇岛市,"    403,701","    210,585","    193,116","    254,053","    134,830","    119,223","    149,648","    75,755","    73,893"
  廊坊市,"    171,972","    91,781","    80,191","    77,748","    44,921",32827,"    94,224","    46,860",47364
  沧州市,"    266,386","    140,980","    125,406","    1 71,734","    95,105","    76,629","    94,652","    45,875","    48,777"
  衡水市,"    102,879","    58,615",44264,"    67,024","    42,148","    24,876","    35,855","    16,467","    19,388"
山西省,"    4,252,430","    2,289,268","    1,963,162","    2,697,992","    1,498,932","    1,199,060","    1,554,438","    790,336","    764,102"
  太原市区,"    1,774,713","    951,928","    822,785","    1,240,357","    679,931","    560,426","    534,356","    271,997","    262,359"
  大同市区,"    967,608","    521,103","    446,505","    655,260","    360,736","    294,524","    312,348","    160,367","    151,981"
