,,,,
22．全国镇按人口数分组,,,,
,,,,
,    镇数,  人口数,占总计的百分比(％),
    组别,,,,
,    (个),    (人),,
,,,    镇数,  人口数
总计,"    2,660","    61,056,073",    100.00,    100．00
1 0 0．0 0 0人以上,    24,"    3,002,539",    0.90,    4.92
5 0.0 0 0-9 9.9 9 9人,    227,"    15,032,692",    8.53,    24.62
3 0．0 0 0—4 9.9 9 9人,    412,"    15,741,857",    15.49,    25.78
2 0．0 0 0-2 9.9 9 9人,    495,"    12,179,666",    18.61,    19.95
1 0．0 0 0-1 9.9 9 9人,    707,"    10,402,317",    26.58,    17.04
5.0 0 0—9.9 9 9人,    499,"    3,719,508",    18.76,    6.09
3.0 0 0-4.9 9 9人,    177,"    704,898",    6.65,    1.1 5
3．0 0 0人以下,    1 19,"    272,596",    4.47,    0.45
