24.镇户数和人口数,,,,
,,,,
,,,,
,,    人口数,,
  镇名,  户数,,,
,,    合计,    男,    女
总计,"    1 4,01 7,430","    61,056,073","    32,733,647","    28,322,426"
北京市,"    95,906","    372,243","    205,878","    166,365"
  昌平镇,"    7,602","    27,893","    15,499","    12,394"
  南口镇,"    7,824","    28,665","    14,986",13679
  沙河镇,"    2,786","    11,238","    6,417","    4,821"
  顺义县城关镇,"    5,913","    23,867","    14,177","    9,690"
  通州镇,"    24,617","    90,056","    48,487","    41,569"
  黄村镇,"    13,286","    55,104","    30,443","    24,661"
  房山县城关镇,"    4,902","    22,105","    12,558","    9,547"
  良乡镇,"    6,414","    25,530","    13,795","    11,735"
  新镇,"    2,187","    8,723","    4,593","    4,130"
  平谷县城关镇,"    2,836","    12,758","    8,215","    4,543"
  怀柔县城关镇,"    5,240","    19,424","    10,325","    9,099"
  密云县城关镇,"    6,735","    26,1 32","    15,023","    11,109"
  溪翁庄镇,"    1,194","    5,082","    3,112","    1,970"
  延庆镇,"    4,370","    15,666",    8，248,"    7,418"
天津市,"    47,075","    191,056","    107,026","    84,030"
  芦台镇,9333,"    30,915","    16,698","    14,21 7"
  杨村镇,"    9,528","    40,656","    22,274","    18,382"
  静海镇,"    7,922","    29,144","    16,272","    12,872"
  唐官屯镇,"    2,208","    9,661","    5,014","    4,647"
  独流镇,"    4,915","    18,820","    9,416","    9,404"
  宝坻城关镇,"    5,110","    23,944","    14,674","    9,270"
  蓟县城关镇,"    8,059","    37,916","    22,678",    15，238
河北省,"    298,406","    1,210,791",    652，740,"    558,051"
  大名县城关镇,"    5,511","    27,392","    14,534","    12,858"
  曲周县城关镇,"    3,068","    14,378","    7,947","    6,431"
  磁县城关镇,"    5,796","    27,219","    13,942","    13,277"
  武安县城关镇,"    6,927","    31,079","    17,449","    13,630"
  褡裢镇,"    18,222","    83,786","    46,051","    37,735"
  南宫县城关镇,"    3,634","    17,149","    9,499","    7,650"
  先锋桥镇,"    3,451","    13,622","    6,609","    7,013"
  辛集镇,"    8,708","    32,350","    18,366","    13,984"
  正定镇,"    8,731","    37,647","    19,788","    17,859"
