,,,,,,,
    25．省、市、自治区的县按人口数分组,,,,,,,
,,,,,,,
,县数合计,1 0 0 0 0 0 0,8 0 0．0 0 0,    5 0 0．0 0 0,3 0 0．0 0 0,1 0 0.0 0 0,1 0 0.0 0 0
    地区别,  (个),  人以上,    -,    -,    -,    -,  人以下
,,,9 9 9.9 9 9人,    7 9 9.9 9 9人,4 9 9.9 9 9人,"2 9 9,9 9 9人",
总计,    2，133,    98,    151,    396,    531,    691,    266
北京市,    9,-,-,    2,    5,    2,-
天津市,    5,-,-,    3,    1,    1,-
河北省,    139,-,    1,    17,    57,    63,    1
山西省,    1 01,-,-,    2,    15,    68,    16
内蒙古自治区,    79,-,-,-,    17,    40,    22
辽宁省,    45,-,    5,    1 7,    20,    2,    1
吉林省,    37,    1,    3,    9,    13,    10,    1
黑龙江省,    66,-,    2,    11,    28,    1 7,    8
上海市,    10,-,-,    6,    4,-,-
江苏省,    64,    19,    16,    20,    7,    2,-
浙江省,    63,    2,    9,    14,    26,    1 1,    1
安徽省,    70,    12,    10,    21,    19,    7,    1
福建省,    60,    2,    3,    7,    16,    31,    1
江西省,    81,    1,    2,    18,    18,    39,    3
山东省,    105,    5,    19,    47,    29,    4,    1
河南省,    111,    6,    18,    51,    28,    8,-
湖北省,    73,    6,    11,    23,    23,    9,    1
湖南省,    89,    6,    12,    31,    18,    22,-
广东省,    97,    9,    14,    22,    25,    25,    2
广西壮族自治区,    80,    3,    8,    13,    26,    29,    1
四川省,    182,    24,    16,    37,    31,    39,    35
贵州省,    76,    1,    1,        8,    24,    41,    1
云南省,    123,    1,    1,    3,    29,    75,    1 4
西藏自治区,    70,-,-,-,-,-,    70
陕西省,    91,-,-,    11,    23,    43,    14
甘肃省,    73,-,-,    2,    22,    38,    11
青海省,    38,-,-,-,    3,    6,    29
宁夏回旅自治区,    16,-,-,    1,    1,    12,    2
新疆维吾尔自治区,    80,-,-,-,    3,    47,    30
