26.县、市的户数与人口数,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
总计,"    221,156,684"," 1,003,913,927","    515,277,505","    488,636,422"
北京市,"    2,352,026","    9,230，663","    4,670,631","    4,560,032"
  市辖区,"    1,441,433","    5,597,955","    2,846,670","    2,751,285"
    东城区,"    1 74,1 36","    651,520","    325,632","    325,888"
    西城区,"    205,042","    764,191","    381,154","    383,037"
    崇文区,"    118,370","    440,301","    222,261","    218,040"
    宣武区,"    146,644","    562,169","    288,820","    273,349"
    朝阳区,"    263,152","    1,022,308","    517,577","    504,731"
    丰台区,"    144,391","    585,026","    298,1 71","    286,855"
    石景山区,"    56,610","    235,035","    122,998","    112,037"
    海淀区,"    252,468","    997,664","    508,457","    489,207"
    门头沟区,"    61,951","    259,386","    137,357","    1 22,029"
    燕山区,"    18,669","    80,355","    44,243","    36,112"
  县,"    910,593","    3,632,708","    1,823,961","    1,808,747"
    昌平县,"    99,872","    380,019","    189,880","    190,139"
    顺义县,"    124,249","    472,215","    229,740","    242,475"
    通县,"    138,865","    534,795","    263,055","    271,740"
    大兴县,"    98,831","    428,848","    215,723","    213,125"
    房山县,"    149,356","    610,829","    308,327","    302,502"
    平谷县,"    84,114","    333,506","    165,975","    167,531"
    怀柔县,"    57,1 56","    234,341","    120,900","    113,441"
    密云县,"    94,675","    390,030","    200,208","    189,822"
    延庆县,"    63,475","    248,125","    130,153","    117,972"
天津市,"    1,920,857","    7,764,137","    3,941,913","    3,822,224"
  市辖区,"    1,311,863","    5,142,560","    2,617,039","    2,525,521"
    和平区,"    138,286","    520,115","    258,363","    261,752"
    河东区,"    1 26,095","    476,835","    240,767","    236,068"
    河西区,"    132,566","    501,152","    252,492","    248,660"
    南开区,"    138,763","    548,980","    286,277","    262,703"
    河北区,"    1 51,189","    574,953","    290,050","    284,903"
    红桥区,"    141,937","    530,088","    268,105","    261,983"
    塘沽区,"    94,715","    385,747","    204,608","    181,139"
    汉沽区,"    40,336","    1 49,283","    77,232","    72,051"
    大港区,"    58,322","    256,323","    136,640","    119,683"
    东郊区,"    65,495","    271,054","    135,858","    1 35,196"
    西郊区,"    72,657","    297,524","    150,206","    147,31 8"
    南郊区,"    81,031","    337,309","    168,61 7","    168,692"
    北郊区,"    70,471","    293,197","    147,824","    145,373"
  县,"    608,994","    2,621,577","    1,324,874","    1,296,703"
    宁河县,"    67,913","    288,299",145310,"    142,989"
    武清县,"    167,319","    710,560","    359,207","    351,353"
    静海县,"    102,654","    430,373","    218,11 5","    212,258"
,,,,
,,,,
,,,,
,,,,
,,    人口数,,
    县市名称,    户数,,,
,,    合计,    男,    女
