45.6岁及6岁以上人口的文化程度,,,,,,,,
,,,,,,,,
,,,,,,,,
,6岁及6岁,,大学肄业,,,,  文盲、半文盲,
    地区别,,大学毕业,,    高中,    初中,    小学,,
,以上人口数,,或在校,,,,,其中：
,,,,,,,人口数,
,,,,,,,,6-1 1岁
总计,"    889,787,495","    4,427,991","    1,609,288","    66,529,262","    178,197,388","    355,346,694","    283,676,872","    45,956,085"
北京市,"    8,472,333","    330,149","    119,040","    1,628,804","    2,684,858","    2，418,175","    1,291,307","    139,402"
天津市,"    7,055,683","    123,087","    54,152","    1,034,218","    2，214,299","    2,390,184","    1,239,743","    151,065"
河北省,"    46,850,963","    184,650","    49,686","    3,998,596","    10,200,771","    19,305,835","    13,111,425","    1,176,044"
山西省,"    22,446,484","    110,672","    40,399","    1，883,085","    5,524,540","    9,825,519",5062269,"    493,853"
内蒙古自治区,"    16,904,192","    83,402","    26,607","    1,436,849",3719881,"    6,315,805","    5,321,648","    985,638"
辽宁省,"    32,01 7,685","    261,952","    102,111","    3,336,563","    9,865,478","    12,739,104","    5,712,477","    1,081,158"
吉林省,"    20,001,399","    144,853","    53,168","    2,429,976","    4,707,387","    8,120,868","    4,545,147","    861,661"
黑龙江省,"    28,781,656","    169,157","    55,341","    3,066,410","    7,246,913","    11,611,183",6632652,"    1,350,928"
上海市,"    10,948,406","    285,966","    125,764","    2,413,517","    3,325,042","    2,988,791",1809326,"    106,200"
江苏省,"    54,657,926","    280,963","    106,062","    4,225,092","    12,133,725","    19,737,522","    18,174,562","    1,627,775"
浙江省,"    34,982,554","    127,11 5","    55,001","    2,021,870","    6,915,481","    15,314,433","    10,548,654","    1,090,641"
安徽省,"    43,914,081","    146,983","    55,634","    1,975,047","    7,070,630","    14,758,903","    19,906,884","    3,168,533"
福建省,"    22,479,734","    123,598","    33,586","    1,478,719","    3,259,922","    9,399,498","    8,184,411","    1,333,254"
江西省,"    28,553,619","    11 5,432","    43,614","    1,827,007","    4,396,713","    12,813,087","    9,357,766","    1,977,776"
山东省,"    66,770,669","    189,5 43","    73,633","    4,378,201","    13,169,660","    25,108,087","    23,851,545","    2,934,296"
河南省,"    65,611,114","    182,268","    62,974",4701450,"    14,270,101","    23,218,307","    23,176,014","    3,026,329"
湖北省,"    42,477,477","    212,157","    89,307","    3,593,109","    8,935,736","    17,052,722","    12,594,446","    1,353,822"
湖南省,"    48,099,970","    176,865","    68,694","    3,536,286",9325248,"    23,257,729","    11,735,148","    2,123,000"
广东省,"    51,759,663","    213,627","    70,083","    4,697,743","    10,017,963","    24,093,209","    12,667,038","    2,679,900"
广西壮族自治区,"    31,153,924","    104,254","    29,625","    2,382,168","    5,723,705","    14,148,085","    8,766,087",2373453
四川省,"    90,926,459","    312,453","    117,397","    3,960,628","    15,414,235","    41,347,308","    29,774,438","    6,119,628"
贵州省,"    24,465,580","    87,193","    23,714","    847,193","    3,258,593","    8,226,472","    12,022,415","    2,789,679"
云南省,"    27,835,209","    80,486","    27,323","    909,321","    3,328,031","    9,550,634","    13,939,414","    2,891,561"
西藏自治区,"    1,587,500","    6,975","    1,047","    22,925","    68,232","    308,436",1179885,"    214,389"
陕西省,"    25,770,214",180972,"    69,424","    2,271,161","    5,597,301","    9,443,158","    8,208,198","    1,030,848"
甘肃省,"    1 7,428,803","    85,710","    22,474","    1,224,752","    2,387,057",5426893,"    8,281,917","    1,430,202"
青海省,"    3,332,749","    25,775",5725,"    199,526","    544,364","    1,000,151","    1,557,208","    311,095"
宁夏回族自治区,"    3,286,901","    19,954",5821,"    206,243","    605,198","    1,000,888","    1,448,797","    320,256"
新疆维吾尔自治区,"    11,214,548","    61,780","    21,882","    842,803","    2,286,324","    4,425,708","    3,576，051","    813,699"
