46.按性别区分的文化程度人数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,
,,,,    大学毕业,,,  大学肄业或在校,,,,,    地区别,,,,,,,,,
    地区别,    合计,    男,    女,,,,,,,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女
,,,,  小计,    男,    女,  小计,    男,    女,,,总计,"    66,529,262","    41,003,998","    25,525,264","    178,197,388","  112,063,858","    66,133,530","    355,346,694","    204,591,958","    150,754,736"
,,,,,,,,,,,,北京市,"    1,628,804","    796,623","    832,181","    2,684,858",1496384,"    1,188,474","    2,418,175","    1,321,786","    1,096,389"
总计,"  606,110,623","    362,1 45,032","    243,965,591","    4,427,991","    3,285,098","    1,142,893","    1,609,288","    1,200,120","    409,168",,,天津市,"    1,034,218",    537，200,"    497,018","    2,214,299","    1,274,325","    939,974","    2,390,184","    1,301,184","    1,089,000"
北京市,"    7,181,026","    3,904,789","    3,276,237","    330,149","    213,139","    117,010","    119,040","    76,857",42183,,,河北省,"    3,998,596","    2,404,288","    1,594,308","    10,200,771","    6,282,080","    3,918,691","    19,305,835","    10,908,259","    8,397,576"
天津市,"    5,815,940","    3,231,184","    2,584,756","    123,087","    81,685","    41,402","    54,152","    36,790","    17,362",,,山西省,"    1,883,085","    1,113,537","    769,548","    5,524,540","    3,328,839","    2,195,701","    9,825,519","    5,315,186","    4,510,333"
河北省,"    33,739,538","    19,760,645","    13,978,893","    184,650","    129,822","    54,828","    49,686","    36,196","    13,490",,,内蒙古自治区,"    1,436,849","    854,982","    581,867","    3,719,881","    2,299,665","    1,420,216",6315805,"    3,549,764","    2,766,041"
山西省,"    17,384,215","    9,872,560","    7,511,655","    110,672",84364,"    26,308",40399,30634,"    9,765",,,辽宁省,"    3,336,563","    1,902,048","    1,434,515","    9,865,478","    5,472,514","    4,392,964","    12,739,104","    6,701,018","    6,038,086"
内蒙古自治区,"    11,582,544",6784331,"    4,798,213","    83,402","    61,364","    22,038","    26,607","    18,556","    8,051",,,吉林省,"    2,429,976","    1,339,745","    1,090,231","    4,707,387","    2,762,354","    1,945,033","    8,120,868","    4,271,539","    3,849,329"
辽宁省,"    26,305,208","    14,344,813","    11,960,395","    261,952","    195,762","    66,190","    102,111","    73,471","    28,640",,,黑龙江省,"    3,066,410",1729233,"    1,337,177","    7,246,913","    4,243,752","    3,003,161","    11,611,183","    6,180,273","    5,430,910"
吉林省,"    1 5,456,252","    8,516,202","    6,940,050","    144,853","    105,940","    38,913","    53,168","    36,624","    16,544",,,上海市,"    2,413,517","    1,274,942","    1,138,575","    3,325,042","    1,874,634","    1,450,408","    2,988,791",1570349,"    1,418,442"
