48.按年龄和性别区分的小学以上文化程度人数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    高中,,,    初中,,,    小学,,
,,,,      大学毕业,,,  大学肄业或在校,,,,,    年龄别,,,,,,,,,
    年龄别,    合计,    男,    女,,,,,,,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女
,,,,    小计,    男,    女,    小计,    男,    女,,,总计,"    66,529,262","  41,003,998","    25,525,264","    178,197,388","    1 12,063,858","    66,133,530","    355,346,694","    204,591,958","    150,754,736"
总计,"  606,110,623","    362,145,032","    243,965,591","    4,427,991","    3,285,098","    1,142,893","    1,609,288","    1,200,120","    409,168",,,6—9岁,       -,      -,     -,         -,        -,     -,"    51,050,784","    27,864,761","    23,186,023"
6—9岁,"    51,050,784","    27,864,761","    23,186,023",     -,   -,      -,       -,        -,    -,,,1 0—1 4岁,105497,"    62,584","    42,913","    19,342,409","    10,876,767","    8,465,642","    98,914,440","    52,957,135","    45,957,305"
1 0-1 4岁,"    1 18,362,346","    63,896,486","    54,465,860",     -,    -,     -,       -,       -,       -,,,1 5-1 9岁,"    19,091,544","    11,002,841",8088703,"    58,538,116","    33,156,046","    25,382,070","    35,363,481","    16,492,343","    18,871,138"
1 5—1 9岁,"    1 13,593,559","    61,097,150","    52,496,409","    20,137","    14,531","    5,606","    580,281","    431,389",148892,,,2 0-2 4岁,"    21,022，212","    12,087,674","    8,934,538","    24,864,054","    15,123,968","    9,740,086","    17,154,368","    8,025,691","    9,128,677"
2 0-2 4岁,"    63,712,861","    35,715,363","    27,997,498","    180,528","    128,126","    52,402","    491,699","    349,904","    141,795",,,2 5—2 9岁,"    12,321,634","    7,918,733","    4,402,901","    27,701,838","    18,205,127","    9,496,71 1","    31,050,808","    16,560,651","    14,490,157"
2 5—2 9岁,"    71,822,606","    43,184,213","    28,638,393","    570,028","    368,361","    201,667","    178,298","    131,341","    46,957",,,3 0—3 4岁,"    3,955,645","    2,665,153","    1,290,492","    16,964,320","    11,424,375","    5,539,945","    32,344,353","    18,430,581","    13,913,772"
3 0-3 4岁,"    53,837,249","    32,928,256","    20,908,993","    502,306","    351,172","    151,134","    70,625","    56,975","    13,650",,,3 5—3 9岁,3183772,"    2,079，236","    1,104,536","    11,700,192","    8,010,176","    3,690,016","    23,384,619","    13,874,124","    9,510,495"
3 5—3 9岁,"    39,037,289","    24,515,523","    14,521,766","    720,777","    515,311","    205,466","    47,929","    36,676","    11,253",,,4 0—4 4岁,"    2,947,470","    2,071,384","    876,086","    7,045,227","    5,001,034","    2,044,193","    18,631,247","    12,186,080",6445167
4 0—4 4岁,"    29,683,856","    20,053,303","    9,630,553","    974,213","    727,110","    247,103","    85,699","    67,695","    18,004",,,4 5—4 9岁,"    1,682,005","    1,285,587","    396,418","    4,533,964","    3,629,086","    904,878","    15,713,826","    11,473,522","    4,240,304"
45—4 9岁,"    22,695,483","    16,990,983","    5,704,500","    705,056","    552,994","    152,062","    60,632","    49,794","    10,838",,,5 0—5 4岁,"    970,195","    785,867","    184,328","    3,171,769","    2,753,983","    417,786","    11,117,249","    8,935,811","    2,181,438"
5 0—5 4岁,"    15,645,768","    12,787,960","    2,857,808","    346,779","    280,093","    66,686","    39,776","    32,206","    7,570",,,5 5—5 9岁,"    591,011","    492,580","    98,431","    1,988,823","    1,761,678","    227,145","    8,077,760","    6,756,475","    1,321,285"
5 5—5 9岁,"    10,873,672","    9,191,674","    1,681,998","    188,230","    158,157","    30,073","    27,848","    22,784","    5,064",,,6 0岁及以上,"    658,277","    552,359","    105,918","    2,346,676","    2,121,618","    225,058","    12,543,759","    11,034,784","    1,508,975"
6 0岁及以上,"    15,795,150","    13,919,360","    1,875,790","    219,937","    189,243","    30,694","    26,501","    21,356","    5,145",,,,,,,,,,,,
