49.按性别和年龄分组的文盲、半文盲人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  1 2岁及1 2岁以上的人口数,,,    文盲、半文盲人口数,,,文盲、半文盲占1 2岁及1 2岁,,
,,,,,,,以上人口数的百分比(％),,
    年龄别,,,,,,,,,
,  合计,    男,    女,    合计,    男,    女,  合计,    男,    女
总计,"    745,927,105","    382,204,755","    363,722,350","    237,720,787","    73,195,405","    164,525,382",    31.87,    19.15,45.23
1 2岁,"    26,487,340","    13,614,655","    12,872,685","    2，536,478","    718,902","    1,817,576",    9.58,    5.28,14.12
1 3岁,"    28，239,541","    14,522,190","    13.717,351","    2,777,254","    763,599","    2,013,655",    9.83,    5.26,14.68
1 4岁,"    24,538,256","    12,638,809","    11,899,447","    2,442,581","    667,589",1774992,    9.95,    5.28,14.92
1 5-1 9岁,"    125,366,344","    63,804,582","    61,561,762","    11,772,785","    2,707,431","    9,065,354",    9.39,    4.24,14.73
2 0-2 4岁,"    74,363,019","    37,880,115","    36,482,904","    10,650,159","    2,164,753","    8,485,406",    14.32,    5.71,23.26
2 5—2 9岁,"    92,563,879","    47,746,254","    44,817,625","    20,741,276","    4,562,042","    16,179，234",    22.41,    9.55,36.1
3 0-3 4岁,"    72,958,238","    37,930,240","    35,027,998","    19,120,988","    5,001,984","    14,119，004",    26．21,    13.19,40.31
3 5—3 9岁,"    54,221,634","    28,565,684","    25,655,950",15184340,"    4,050,156",11134184,    28.00,    14.18,43.4
4 0—4 4岁,"    48,437,939","    25,827,567","    22,610,372","    18,754,087","    5,774,268","    12,979,819",    38.72,    22.36,57.41
4 5—4 9岁,"    47,403,329","    25,073,116","    22,330,213","    24,707,848","    8,082,137","    16,625,711",    52.12,    32.23,74.45
5 0—5 4岁,"    40,815,502",21528988,"    19,286,51 4","    25,169,733","    8,741,025","    16,428,708",    61.67,    40．60,85.18
5 5—5 9岁,"    33,894,328","    17,493,924","    16,400,404","    23,020,655","    8,302,250","    14,718,405",    67.92,    47.46,89.74
6 0岁及以上,"    76,637,756",35578631,"    41,059,125","    60,842,603","    21,659,269",39183334,    79.39,    60.88,95.43
