50.市(不含市辖县)按性别和年龄分组的文盲、半文盲人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  1 2岁及1 2岁以上的人口数,,,    文盲、半文盲人口数,,,文盲、半文盲占1 2岁及1 2岁,,
,,,,,,,以上人口数的百分比(％),,
    年龄别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
,,,,,,,,,
总计,"  116,850，036","    60,616,133","    56,233,903","    19,188,459","    5,370,577","    13,817,882",    16.42,    8.86,    24.57
1 2岁,"    3,070,247","    1,583,771","    1,486,476","    78,457","    29,212",49245,    2.56,    1.84,    3.31
1 3岁,"    3,387,703","    1,744,836","    1,642,867","    87,030","    31,704","    55,326",    2.57,    1.82,    3.37
1 4岁,"    2,922,351","    1,508,830",1413521,"    78,141","    28,149","    49,992",    2.67,    1.87,    3.54
1 5-1 9岁,"    1 7,325,826",8966895,"    8,358,931","    390,805","    122,060","    268,745",    2.26,    1.36,    3.22
2 0-2 4岁,"    14,078,490","    7,275,067","    6,803,423","    451,722","    113,656","    338,066",    3.21,    1.56,    4.97
2 5—2 9岁,"    16,054,535","    8,309,634","    7,744,901","    974,365","    230,901","    743,464",    6.07,    2.78,    9.60
3 0-3 4岁,"    11,811,724","    6,233,11 3","    5,578,611","    970,686","    262,742","    707,944",    8.22,    4.22,    12.69
3 5—3 9岁,"    8,558,294","    4,549,41 5","    4,008,879",845671,"    232,109","    613,562",    9.88,    5.10,    15.31
4 0-4 4岁,"    8,465,310","    4,429,501","    4,035,809","    1,350,735","    368,430","    982,305",    15.96,    8.32,    24.34
4 5—4 9岁,"    8,486,036","    4,507,091","    3,978,945","    2,278,183","    590,602","    1,687,581",    26.85,    13.10,    42.41
5 0-5 4岁,"    6,877,505","    3,737,349","    3,140,1 56","    2,555,873","    689,493","    1,866,380",    37.16,    18.45,    59.44
5 5—5 9岁,"    5,109,955","    2,707,489","    2,402,466",2319056,"    661,366","    1,657,690",    45.38,    24.43,    69.00
6 0岁及以上,"    10,702,060","    5,063,142","    5,638,91 8","    6,807,735","    2,010,153",4797582,    63.61,    39.70,    85.08
