51.县按性别和年龄分组的文盲、半文盲人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  1 2岁及1 2岁以上的人口数,,,    文盲、半文盲人口数,,,文盲、半文盲占1 2岁及1 2岁,,
    年龄别,,,,,,,以上人口数的百分比(％),,
,    合计,    男,    女,    合计,    男,    女,  合计,    男,    女
总计,"    629,077,069","    321,588,622","    307,488,447",218532.328,"    67,824,828","    150,707,500",    34.74,    21.09,    49.01
1 2岁,23417093,"    12,030,884","    11,386,209","    2,458,021","    689,690","    1,768,331",    10.50,    5.73,    15.53
1 3岁,"    24,851,838","    12,777,354","    12,074,484","    2,690,224","    731,895","    1,958,329",    10.83,    5.73,    16.22
1 4岁,"    21,615,905","    11,129,979","    10,485,926","    2,364,440","    639,440","    1,725,000",    10.94,    5.75,    16.45
1 5—1 9岁,"    108,040,51 8","    54,837,687","    53,202,831","    11,381,980","    2,585,371","    8,796,609",    10.53,    4.71,    16.53
2 0-2 4岁,"    60,284,529","    30,605,048","    29,679,481","    10,198,437","    2，051,097","    8,147,340",    16.92,    6.70,    27.45
2 5—2 9岁,"    76,509,344",39436620,"    37,072,724","    19,766,91 1","    4,331,141","    15,435,770",    25.84,    10.98,    41.64
3 0-3 4岁,"    61,1 46,51 4","    31,697,127","    29,449,387","    18,150,302","    4,739，242","    13,411,060",    29.68,    14.95,    45.54
3 5—3 9岁,"    45,663,340","    24,016,269","    21,647,071","    14,338,669","    3,818，047","    10,520,622",    31.40,    15.90,    48.60
4 0-4 4岁,"    39,972,629",21398066,"    18,574,563","    17,403,352","    5,405,838","    11,997,514",    43.54,    25.26,    64.59
4 5—4 9岁,"    38,91 7,293","    20,566,025","    18,351,268","    22,429,665",7491535,"    14,938,130",    57.63,    36.43,    81.40
5 0-5 4岁,33937997,"    17,791,639","    16,146,358","    22,613,860","    8,051,532","    14,562,328",    66.63,    45.25,    90.19
5 5—5 9岁,"    28,784,373","    1 4,786,435","    13,997,938","    20,701,599","    7,640,884","    13,060,71 5",    71.92,    51.67,    93.30
6 0岁及以上,"    65,935,696","    30,515,489","    35,420,207","    54,034,868","    19,649,116","    34,385,752",    81.95,    64.39,    97.08
