53.县文盲、半文盲人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  1 2岁及1 2岁以上人口数,,,  文盲、半文盲人口数,,,文盲、半文盲占1 2岁及1 2岁,,
,,,,,,,以上人口数的百分比(％),,
    地区别,,,,,,,,,
,   合计,    男,    女,    合计,    男,    女,    合计,    男,    女
总计,"    629,077,069","    321,588,622","  307,488,447","    218,532,328","    67,824,828","  150,707,500",    34.74,    21.09,    49.01
北京市,"    2,893,645","    1,440,642","  1,453,003","    652,442","    201,490","    450,952",    22.55,    13.99,    31.04
天津市,"    2,022,028","    1,016,048","  1,005,980","    530,687","    146,943","    383,744",    26.25,    14.46,    38.15
河北省,"    35,476,037","    1 7,950,679","    1 7,525,358","    11,281,247","    3,435,399","    7,845,848",    31.80,    19.14,    44.77
山西省,"    1 5,41 7,554","    7,957,1 97","    7,460,357","    4,079,427","    1,401,358","    2,678,069",    26.46,    17.61,    35.90
内蒙占自治区,"    11,464,797","    6,047,192","    5,41 7,605","    3,948,907","    1,463,364",2485543,    34.44,    24.20,    45.88
辽宁省,"    1 8,11 2,318","    9,250,207","    8,862,111","    3,555,427","    1,1 57,1 78",2398249,    19.63,    12.51,    27.06
吉林省,"    12,551,581","    6,448,19 3","    6,1 03,383","    3,044,530","    1,090,935","    1,953,595",    24.26,    16.92,    32.01
黑龙江省,"    17,007,907","    8,755,95 3","    8,251,957","    4,316,053","    1,463,350","    2,852，703",    25.38,    16.71,    34.57
上海市,"    4,560,1 79","    2,202,654","    2,357,525","    1,072,218","    268,362","    803,856",    23.51,    12.18,    34.10
江苏省,42133617,"    21,240,055","    20，893,562","    15,653,439","    4,432,195","    11,221,244",    37.15,    20.87,    53.71
浙江省,"    24,679,384","    12,798,825","    11,880,559","    7,940,139","    2,530,732","    5,409,407",    32.17,    19.77,    45.53
安徽省,"    32,326,358","    16,676,301","    1 5,650,057","    15,848,002","    5,260,628","    10,587,374",    49.03,    31.55,    67.65
福建省,"    1 5,845,852","    8,1 43,01 3","    7,702,839","    6,289,347",1608132,"    4,681,215",    39.69,    19.75,    60.77
江西省,"    1 9,81 5,549","    10,188,765","    9,626,784","    6,856,724","    1,857,805","    4,998,919",    34.60,    18.23,    51．93
山东省,"    49,960,293","    25,144，031","    24,816,262","    19,366,992","    5,811,597","    13,555,395",    38.76,    23.11,    54.62
河南省,"    48,849,071","    24,665,985","    24,1 83,086","    19,170,586","    6,168,568","    13,002,018",    39．24,    25.01,    53.76
湖北省,"    31,642,563",16189858,"    15,452,705","    10,620,846","    3,138,730",7482116,    33.57,    19.39,    48.42
湖南省,"    36,21 5,479","    18,805,843","    1 7,409,636","    9,114,475","    2,638,220","    6,476,255",    25.17,    14.03,    37.20
广东省,"    37,865,802","    19,204,063","    18,661,739","    9,220,606","    1,893,030","    7,327,576",    24.35,    9.86,    39.27
广西壮族自治区,"    23,677,645","    12,226,598","    11,451,047","    6,140,120","    1,573,013","    4,567,107",    25.93,    12.87,    39.88
四川省,"    66,054,384","    34,085,532",31968852,"    22,175，251","    7,078,741","    15,096,510",    33.57,    20.77,    47.22
贵州省,"    16,407,906","    8,374,882","    8,033,024","    8,163,302","    2,523,027","    5,640,275",    49.75,    30.13,    70.21
云南省,"    20,541,729","    10,334,951","    10,206,778","    10,621,352","    3,756,257","    6,865,095",    51.71,    36.35,    67.26
西藏自治区,"    1,238,751","    603,110","    635,641","    943,329","    389,670","    553,659",    76.15,    64.61,    87.10
陕西省,"    18,354,670","    9,469,333","    8,885,337","    6,688,147","    2,349,268","    4,338,879",    36.44,    24.81,    48.83
甘肃省,"    12,671,1 70","    6,540,174","    6,1 30,996","    6,609,565","    2,341,541","    4,268,024",    52.16,    35.80,    69.61
青海省,"    2,1 38,574","    1,098,669","    1,039,905","    1,171,886","    418,052","    753,834",    54.80,    38.05,    72.49
宁夏回族自冶区,"    2,114,764","    1,085,890","    1,028,874","    1,036,833","    368,712","    668,121",    49.03,    33.95,    64.94
新疆维吾尔自治区,"    7,037,462",3643977,"    3,393,485","    2,420,449","    1,058,531","    1,361,918",    34.39,    29.05,    40.13
