54.在业人口的行业状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    制造业,,,    地质勘 探和普查业,,,    建筑业,,,,,,  交通运输、邮电通信业,,,  商业、饮食业、物资供销及仓储业,,,  住宅管理、公用事业管理,,,,,,卫生、体育和社会福利事业,,,    教育、文化艺术事业,,,科学研究和综合技术服务事业,,,,,,    金融、保险业,,,    国家机关、政党和群众团体,,,其它行业,,
,  农、牧、林、渔业,,,    矿业及木材采运业,,,  电力、煤气、自来水的生产,,,,,,,,,,,,,,,,,,,,,,,,    和居民服务业,,,,,    地区别,,,,,,,,,,,,    地区别,,,,,,,,,
,,,,,,,    和供应业,,,,,    地区别,,    男,    女,    小计,    男,    女,  小计,    男,    女,,,    地区别,,,,,,,,,,,,,  小计,    男,    女,    小计,    男,    女,    小计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女
    地区别,,,,,,,,,,,,,  小计,,,,,,,,,,,,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,,,,,,,,,,,,,总计,"    1,022,975","    696,274","    326,701","    8,018,546","    6,378,798","    1,639,748","    289,202","    182,921","    106,281"
,    小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,"    61,668,204","    34,473,720","  27,194,484","    824,043","    642,140","    181,903","    11,009,419","    8,932,095","    2,077,324",,,总计,"    8,980,972","    6,926,402","    2,054,570","    15,507,928","    8,801,616","    6,706,312","    2,441,405","    1,346,065","    1,095,340",,,总计,"    4,101,355","    2,127,562","    1,973,793",12382079,"    8,001,574","    4,380,505","    1,202,272","    761,770","    440,502",,,北京市,"    18,107","    9,587","    8,520","    255,898","    1 74,499","    81,399","    11,941","    7,287","    4,654"
总计,"    384,155,030","  206,503,649","    177,651,381","    8,401,845","    6,775,554","    1,626,291","    1,500,343",1，111，140，,"    389,203",,,北京市,"    1,752,678","    883,987","    868,691","    5,597","    4,338","    1,259","    385,683","    298,257","    87,426",,,北京市,"    219,655","    1 57,845","    61,810","    391,695","    192,679","    199,016","    111,813","    60,049","    51,764",,,北京市,"    96,744","    34,988","    61,756","    313,861","    1 56,644","    1 57,21 7","    216,037","    128,983","    87,054",,,天津市,"    13,666","    7,915","    5,751","    128,252","    93,031","    35,221","    8,233","    4,691","    3,542"
北京市,"    1,545,982","    839,396","    706,586","    69,033","    59,051","    9,982","    32,297","    21,898","    10,399",,,天津市,1731689,"    881,360","    850,329","    23,276","    17,940","    5,336","    218,378","    169,565","    48,813",,,天津市,"    193,189",146718,"    46,471","    314,966","    170,380","    144,586","    68,436","    38,314",    30，122,,,天津市,"    63,911","    25,956","    37,955","      1 78,430","    88,383","    90,047","    38,836","    24,508","    14,328",,,河北省,"    54,510","    36,063","    18,447","    549,115","    443,720","    105,395","    7,334","    3,648","    3,686"
天津市,"    1,378,083","    832,690","    545,393","    28,590","    22,435","    6,155","    26,119","    18,382","    7,737",,,河北省,"    2,535,794","    1,51 4,684","    1,021,110","    76,392","    56,957","    19,435","    470,404","    388,826","    81,578",,,河北省,"    339,324",280293,"    59,031","    640,437","    388,395","    252,042","    92,099","    52,359","    39,740",,,河北省,"    196,907","    110,970","    85,937","    599,543","    371,448","    228,095","    37,204","    24,268","    12,936",,,山西省,"    33,269","    22,342","    10,927","    267,920","    218,328","    49,592","    15,870","    12,226","    3,644"
河北省,"    21,411,009","    12,319,163","    9,091,846","    530,167","    451,520","    78,647","    58,746","    44,009","    14,737",,,山西省,"    1,382,257","    864,582","    517,675","    20,698","    16,904","    3,794","    259,370","    199,979","    59,391",,,山西省,"    219,983","    1 78,522","    41,461","    342,229","    198,442","    143,787","    52,071","    26,801","    25,270",,,山西省,"    121,478","    65,856","    55,622","    387,739","    237,536","    150,203","    22,953","    14,900","    8,053",,,内蒙古自治区,"    30,724","    20,058","    10,666","    264,943","    204,439","    60,504","    8,665","    6,366","    2,299"
山西省,"    9,324,904","    4,979,447","    4,345,457","    576,490","    51 7,490","    59,000","    48,104","    35,189","    12,915",,,内蒙古自治区,"    880,912","    486,795","    394,117","    29,395","    23,024","    6,371","    260,316","    191,184","    69,132",,,内蒙古自治区,"    222,159","    169,871","    52,288","    366,832","    201,277","    165,555","    51,624","    23,373","    28,251",,,内蒙古自治区,"    97,263","    47,118","    50,145","    332,359","    205,411","    126,948","    22,854","    14,536","    8,318",,,辽宁省,"    47,597","    31,050","    16,547","    399,829","    295,230","    104,599","    27,61 6","    19,512","    8,104"
内蒙古自治区,"    6,207,271",3694843,"    2,512,428","    247,620","    193,300","    54,320",    40，344,"    28,804","    11,540",,,辽宁省,"    4,896,305","    2，702,321","    2,193,984","    40,544","    31,205","    9,339","    806,082","    611,539","    194,543",,,辽宁省,"    560,038","    414,513","    145,525","    1，039,607","    525,606","    514,001","    169,234","    85,427","    83,807",,,辽宁省,"    222,886","    94,926","    127,960","    556,566","    31 3,196","    243,370","    72,381","    46,664","    25,717",,,吉林省,"    32,438","    20,870","    11,568","    213,1 54","    164,262","    48,892","    10,476","    6,590","    3,886"
辽宁省,"    8,182,107","    5,031,681","    3,1 50,426","    649,039","    494,269","    1 54,770",    122，227,"    87,702","    34,525",,,吉林省,"    1,774,233",957278,"    816,955","    21,192","    16,824","    4,368","    301,730","    220,967",80763,,,吉林省,"    256,162","    187,390","    68,772","    546,515","    279,498","    267,017",85831,"    41,078","    44,753",,,吉林省,"    122,188","    58,516","    63,672","    362,438",215059,"    147,379","    30,118","    19,817","    10,301",,,黑龙江省,"    40,395","    27,729","    12,666","    414,267","    311,924","    102,343","    4,862","    2,888","    1,974"
吉林省,"    5,287,100","    3,673,201","    1,613,899","    447,075","    325,203","    121,872","    45,349","    33,434","    11,915",,,黑龙江省,"    2,565,168","    1，404,027","    1,161,141","    24,025","    18,461","    5,564","    514,370","    359,041","    155,329",,,黑龙江省,"    423,333","    307,503","    115,830","    785,748","    385,840","    399,908","    127,612","    59,312","    68,300",,,黑龙江省,"    187,054","    83,411","    103,643","    501,835","    287,526","    214,309","    40,658","    25,683","    14,975",,,上海市,"    20,945","    12,378","    8,567","    166,623","    118,039","    48,584",    703,    348,    355
黑龙江省,"    6,739,253","    4,828,067","    1,911,186","    867,713","    628,800","    238,913","    79,877","    56,732","    23,145",,,上海市,"    3,420,583","    1,783,502","    1,637,081","    3,315","    2,861",    454,"    327,580","    280,002","    47,578",,,上海市,"    359,197",281849,"    77,348","    538,747","    298,899","    239,848","    141,545","    79,241","    62,304",,,上海市,"    135,930","    48,634","    87,296","    287,603","    1 47,875","    139,728","    76,605","    50,224","    26,381",,,江苏省,"    49,883","    33,875","    16,008","    393,249","    320,481","    72,768","    19,714","    11,128","    8,586"
上海市,"    1,909,471","    787,748","    1,121,723","    4,308","    3,013",    1，295,"    43,112","    32,173","    10,939",,,江苏省,"    6,799,204","    3,909,571","    2,889,633","    33,675","    26,899","    6,776","    1,083,032",1003652,"    79,380",,,江苏省,"    708,030","    547,352","    160,678","    1,024,952","    635,408","    389,544","    190,819","    121,330","    69,489",,,江苏省,"    198,380","    103,347","    95,033","    761,542","    495,635","    265,907","    48,473","    30,559","    17,914",,,浙江省,"    38,494","    24,276","    14,218","    234,282","    1 89,156",45126,"    10,034","    6,452","    3,582"
