55.在业人口的职业状况,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,  办事人员和有关人员,,,    商业 工作人员,,,  服务性工作人员,,,,,,  农林牧渔劳动者,,,  生产工人、运输工人和有关人‘员,,,  不便分 类的其它劳动者,,
,    在业人口数,,,    各类 专业、技术人员,,,  国家机关、党群组织、,,,,,    地区别,,,,,,,,,,,,    地区别,,,,,,,,,
    地区别,,,,,,,  企事业单位负责人,,,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,,  小计,    男,    女,    小计,    男,    女,  小计,    男,    女
,  合计,    男,    女,    小计,    男,    女,  小计,    男,    女,,,总计,"    6,788,347",5127143,"    1,661,204","    9,415,378","    5,097,776","    4,31 7,602","  11,505,724","    5,991,137","    5,514,587",,,总计,"    375,380,478","    199,722,672","    175,657,806","    83,369,044","    53,836,871","    29,532,173","    458,342","    267,270","    191,072"
总计,"  521,505,618","  293,661,280","  227,844,338","    26,457,518","  16,331,847","  10,1 25,671","    8,1 30,787","    7,286,564","    844,223",,,北京市,"    233,540","    143,204","    90,336","    206,875","    89,954","    116,921","    397,621","    179,949","    217,672",,,北京市,1346666,"    685,884","    660,782","    2，265,991","    1,384,093","    881,898","    17,703","    10,370","    7,333"
北京市,"    5,427,021",3029488,2397533,"    739,509","    359,274","    380,235","    21 9,116","    1 76,760","    42,356",,,天津市,"    145,416","    96,715","    48,701",173269,"    93,065","    80,204","    280,758","    141,275","    139,483",,,天津市,"    1,288,795","    758,943","    529,852","    1,912,543","    1,088,658","    823,885","    13,357",7686,"    5,671"
天津市,"    4,414,054","    2,542,268","    1,871,786","    447,642","    227,049","    220,593","    152,274","    128,877","    23,397",,,河北省,"    355,657","    275,348","    80,309","    431,972","    258,355","    1 73,61 7","    470,929","    289,204","    181,725",,,河北省,"    21,124,005","  12,111,009","    9,012,996","    3,590,666","    2,450,120","    1,140,546","    34,1 47","    21,134","    13,013"
河北省,"  27,598,985","    16,486,323","  11,112,662","    1,189,097",712736,"    476,361","    402,512","    368,41 7","    34,095",,,山西省,"    212,350","    160,278","    52,072","    227,064","    120,893","    106,1 71","    264,622","    159,850","    104,772",,,山西省,"    9,056,505","    4,735,1 50","    4,321,355","    2,286,412","    1,717,917","    568,495","    15,815","    10,100","    5,715"
山西省,"  13,075,335","    7,588,544","  5,486,791","    765,936","    454,846","    311,090","    246,631","    229,510","    17,121",,,内蒙古自治区,"    196,733","    140,834","    55,899","    184,837","    83,265","    101,572","    262,51 3","    142,056","    120,457",,,内蒙古自治区,"    6,040,653",3537310,"    2,503,343","    1,533,714","    1,052,633","    481,081","    17,876","    9,682","    8,194"
内蒙古自治区,"  9,063,281","    5,510,399","  3,552,882","    629,824","    367,298","    262,526","    197,1 31","    177,321","    19,810",,,辽宁省,"    403,776","    276,735","    127,041","    591,453","    272,773","    318,680","    81 5,693","    374,560",441133,,,辽宁省,"    7,644,054","    4,541,191","    3,102,863","    6,269,862","    4,047,31 1","    2,222,551","    40,364","    20,529","    19,835"
辽宁省,"  17,792,058","    10,784,841","  7,007,217","    1,470,079","    773,955","    696,1 24","    556,777","    477,787","    78,990",,,吉林省,"    206,269","    151,334","    54,935","    301,355","    127,1 73","    174,1 82","    410,820","    192,943","    217,877",,,吉林省,"    5,155,355","    3,549,607","    1,605,748","    2,392,314","    1,528,598","    863,716","    1 4,511","    7,286","    7,225"
吉林省,"    9,535,999",6，219，987，,"  3,316,012","    776,551","    420,1 66",356385,"    278,824","    242,880","    35,944",,,黑龙江省,"    326,218",239013,"    87,205","    441,801","    179,447","    262,354","    764,770","    371,484","    393,286",,,黑龙江省,"    6,190,711","    4,376,718","    1,813,993","    3,916,870","    2,568,840","    1,348,030","    19,477","    10,063","    9,414"
黑龙江省,"  13,316,170","    8,786,944","  4,529,226","    1,224,903","    658,069","    566,834","    431,420","    383,310","    48,110",,,上海市,"    229,145","    149,252","    79,893","    299,074","    1 64,654","    134,420","    556,423","    256,803","    299,620",,,上海市,"    1,769,976","    717,101","    1,052,875","    3,543,989","    2,009,563","    1,534,426","    9,175","    5,472",3703
上海市,7436267,"    3,926,786","  3,509,481","    792,770","    428,986","    363,784","    235,71 5","    194,955","    40,760",,,江苏省,"    370,513","    286,902","    83,611","    724,530","    461,027","    263,503","    91 7,670","    542,307","    375,363",,,江苏省,"    22,114,709","    10,221,657","    11,893,052","    8,166,395","    5,257,877","    2,908,518",41315,"    25,254","    16,061"
