56.各行业分性别人口数,,,,,,
,,,,,,
,,,,,,
,,,,  占总合计数的百分比(％),,
    行业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
总计,"    521,505,618","    293,661,280","    227,844,338",    100.00,    56.31,    43.69
一、农、牧、林、渔业,"    384,155,030","    206,503,649","    177,651,381",    73.66,    39.60,    34.07
  1．农业,"    375,123,822","    201,251,362","    1 73,872,460",    71.93,    38.59,    33.34
    (1)粮食作物种植业,"    343,021,309","    184,407,846","    158,613,463",    65.78,    35.36,    30.41
    (2)经济作物种植业,"    20,994,019","    10,363,222","    10,630,797",    4.03,    1.99,    2.04
    (3)蔬菜、瓜类种植业,"    5,455,987","    2,563,601","    2，892,386",    1.05,    0.49,    0.55
    (4)果树种植业,"    1,395,399","    882,545",512854,    0.27,    0．1 7,    0.10
    (5)特种作物种植业,"    1,806,071","    1,006,699","    799,372",    0.35,    0.19,    0.15
    (6)农业服务业,"    1,927,088","    1,682,161","    244,927",    0．37,0.32,    0.05
    (7)其他农业,"    523,949","    345,288","    178,661",    0.10,    0.07,    0．03
  2．畜牧业,"    4,489,956","    2,051,075","    2,438,881",    0．86,    0.39,    0.47
    (1)牲畜饲养放牧业,"    3,567,904","    1,368,058","    2,199,846",    0．68,    0．26,    0.42
    (2)家禽饲养业,214539,"    129,292","    85,247",    0.04,    0．02,    0．02
    (3)畜牧服务业,442804,"    391,325","    51,479",    0.08,    0．08,    0．01
    (4)小动物饲养、狩猎及其他畜牧业,"    264,709","    162,400","    102,309",    0．05,    0．03,    0.02
  3．林业,"    2,692,609","    1,820,041","    872,568",    0．52,    0．35,    0．17
  4．渔业,"    1,848,643","    1,381,171","    467,472",    0.35,    0.26,    0.09
    (1)水产养殖业,"    644,526","    422,613","    221,913",    0．12,    0.08,0.04
    (2)水产捕捞业,"    1,204,11 7","    958,558","    245,559",    0.23,    0.18,    0.05
二一四、工业,"    71,570,392","    42,360,41 4","    29,209,978",    13.72,    8.12,    5.60
  二、矿业及木材采运业,"    8,401,845","    6,775,554","    1,626,291",    1.61,    1.30,    0.31
    1．矿业,"    7,550,143","    6,156,509","    1,393,634",    1.45,    1.18,    0.27
      (1)煤炭采选业,"    4,616,751","    3,886,894","    729,857",    0.89,    0.75,    0．14
      (2)石油和天然气开采业,"    396,458","    266,852","    129,606",    0．08,    0．05,    0．02
      (3)金属矿业,"    1,015,450","        770,166","    245,284",    0.19,    0．15,    0.05
        ①黑色金属矿业,"    393,941","    301,181","    92,760",    0．08,    0.06,    0．02
        ②有色金属矿业,"    567,150","    428,273","    138,877",    0.11,    0.08,    0.03
        ③稀有金属矿及稀土矿业,54359,"    40,712","    13,647",    0．01,    0.01,-
      (4)非金属矿业,"    1,521,484","    1,232,597","    288,887",    0.29,    0.24,    0.06
        ①土、砂、石开采业,"    872,249","    728,629","    143,620",    0.17,    0.14,    0.03
        ②化学矿开采业,"    139,647","    111,497","    28,150",    0．03,    0．02,    0.01
        ③采盐业,"    250,333","    188,924","    61,409",    0.05,    0．04,    0．01
        ④其他非金属矿业,"    259,255","    203,547","    55,708",    0.05,    0.04,    0．01
    2．木材采运业,"    851,702","    619,045","    232,657",    0．16,    0.12,    0.04
  三、电力、煤气、自来水的生产和供应业,1500343,"    1,111,140","    389,203",    0．29,    0.21,    0.07
    1．电力、蒸汽和热水的生产和供应业,"    1,240,962","    938,723","    302,239",    0.24,    0.18,    0.06
      (1)电力生产和供应业,"    1,225,829","    928,496","    297,333",    0．24,    0.18,    0.06
      (2)蒸汽和热水供应业,"    15,133","    10,227","    4,906",-,-,-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    行业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
    2．煤气生产和供应业,"    50,599","    33,805","    16,794",    0．01,    0．01,-
    3．自来水生产和供应业,"    208,782","    138,612","    70,170",    0．04,    0.03,    0.01
  四、制造业,"    61,668,204","    34,473,720","    27,194,484",    11.83,    6.61,    5.21
    1．食品、饮料和烟草制造业,"    4,563,044","    2,844,71 5",1718329,    0．87,    0．55,    0．33
      (1)食品制造业,"    3,569,261","    2,244,702","    1,324,559",    0.68,    0.43,    0．25
        ①粮食加工业,"    1,192,260","    845,600","    346,660",    0.23,    0.16,    0.07
        ②植物油加工业,"    272,483","    222,381","    50,102",    0．05,    0.04,    0.01
        ③糕点、糖果制造业,"    545,880","    248,618","    297,262",    0．10,    0．05,    0．06
        ④制糖业,"    229,912","    157,637","    72,275",    0.04,    0.03,    0.01
        ⑤屠宰及肉类加工业,"    359,962","    230,578","    129,384",    0．07,    0.04,    0．02
        ⑤蛋品加工业,"    18,677","    8,879","    9,798",-,-,-
        ⑦乳品加工业,"    54,040","    30,329","    23,711",    0．01,    0．01,-
        ⑧水产品加工业,"    37,956","    21,257","    16,699",    0．01,-,-
        ⑨罐头制造业,"    159,134","    74,578","    84,556",    0.03,    0.01,    0.02
        ⑩加工盐业,"    47,031","    29,002","    18,029",    0.01,    0.01,-
        (11)饲料加工业,"    39,091","    27,176","    11,915",    0.01,    0.01,-
        (12)其他食品制造业,"    612,835","    348,667","    264,168",    0．12,    0.07,    0．05
      (2)饮料制造业,"    792,032","    497,433","    294,599",    0.1 5,    0.10,    0.06
        ①饮料酒制造业,"    570,839","    395,040","    175,799",    0．11,    0.08,    0.03
        ②无酒精饮料制造业,"    116,739","    46,275","    70,464",    0．02,    0．01,    3.01
        ③制茶业,"    104,454","    56,118","    48,336",    0.02,    0．01,    0.01
      (3)烟草加工业,"    201,751","    102,580","    99,171",    0．04,0.02,    0.02
    2．纺织业,"    6,646,580","    2,361,419","    4,285,1 61",    1.27,    0．45,    0．82
      (1)纤维原料初步加工业,"    204,501","    134,838","    69,663",    0．04,0.03,    0.01
      (2)棉纺织业,"    3,489,212","    1,31 4,71 7",2174495,    0.67,    0.25,    0.42
      (3)毛纺织业,"    473,735",    180，453,"    293,282",    0．09,    0.03,    0.06
      (4)麻纺织业,"    224,445","    87,365","    137,080",    0．04,    0.02,    0.03
      (5)丝绢纺织业,"    755,450","    236,342","    519,108",    0．14,0.05,    0．10
      (6)针织品业,"    1,31 4,516","    373,206","    941,310",    0.25,    0.07,    0．1 8
      (7)其他纺织业,"    184,721","    34,498","    1 50,223",    0.04,    0.01,    0．03
    3．缝纫业,"    3,068,476","    893,871","    2,1 74,605",    0．59,    0.17,    0.42
      (1)服装制造业,"    2,602,756","    744,960","    1,857,796",    0．50,    0.14,    0.36
      (2)制帽业,"    54,369","    1 5,989","    38,380",    0.01,-,    0.01
      (3)制鞋业,"    294,008","    101,893","    192,11 5",    0．06,    0.02,    0．04
      (4)其他缝纫业及纺织品修理业,"    11 7,343","    31,029","    86,314",    0.02,    0.01,    0.02
    4．皮革、毛皮及其制品制造业,"    1,026,637","    452,622","    574,015",    0．20,    0.09,    0．11
      (1)制革业,"    102,048","    61,487","    40,561",    0．02,0.01,    0.01
      (2)皮革制品业,777377,"    326,247","    451,130",    0．15,    0．06,    0.09
      (3)毛皮鞣制及制品业,"    1 32,008","    54,392","    77,616",    0.03,    0.01,    0．01
      (4)皮革及毛皮制品修理业,"    15,204","    10,496","    4,708",-,-,-
    5．木材加工业,"    880,550","    584,895","    295,655",    0．17,    0．11,    0.06
      (1)锯材业,"    310,429","    206,526","    103,903",    0．06,    0．04,    0.02
      (2)人造板制造业,"    143,472","    85,547","    57,925",    0.03,    0.02,    0．01
      (3)木制品业,"    426,649","    292,822","    133,827",    0.08,    0．06,    0．03
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,  占总合计数的百分比(％),,
    行业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
    6．家俱制造业,"    2,306,805","    2,042,596","    264,209",    0．44,    0.39,    0．05
    7．制浆、造纸及纸制品业,"    1,402,762","    71 5,011","    687,751",    0.27,    0．14,    0．13
      (1)制浆业,"    14,558","    8,995","    5,563",-,-,-
      (2)造纸业,"    873,919","    539,87 1","    334,048",    0.17,    0．10,    0.06
      (3)加工纸及纸制品制造业,"    514,285","    166,145","    348,140",    0.10,    0．03,    0．07
    8．文教、艺术用品制造业及印刷业,"    3,971,169","    958,148",3013021,    0．76,    0．18,        0.58
      (1)文教体育用品制造业,"    288,381","    129,858","    158,523",    0.06,    0．02,    0.03
      (2)工艺美术品制造业,"    2,743,431","    420,550","    2,322,881",    0.53,    0.08,    0.45
      (3)印刷业,"    939,357","    407,740","    531,61 7",    0.18,    0．08,    0.10
    9．化学工业,"    3,508,985","    2,279,091","    1,229,894",    0.67,    0．44,    0．24
      (1)基本化学原料制造业,"    601,149","    385,41 5","    215,734",    0.12,    0．07,    0．04
      (2)化学肥料制造业,"    1,220,430","    894,252","    326,178",    0．23,    0．17,    0．06
      (3)化学农药制造业,"    117,508","    78,021","    39,487",    0．02,    0.01,    0．01
      (4)有机化学工业,"    669,772","    400,940","    268,832",    0.13,    0．08,    0.05
      (5)化学纤维工业,"    175,892","    103,088","    72,804",    0．03,    0.02,    0.01
      (6)日用化学工业,"    311,382","    1 52,1 51","    159,231",    0.06,    0.03,    0.03
      (7)其他化学工业,"    412,852",265224,"    147,628",    0．08,    0.05,    0.03
      10.医药制造业,"    553,796","    259,393","    294,403",    0.11,    0.05,    0.06
      (1)药品原料加工业,"    69,920","    38,256","    31,664",    0.01,    0．01,    0．01
      (2)化学药品制造业,"    305,914","    146,796","    1 59,118",    0．06,    0.03,    0.03
      (3)中成药制造业,"    146,740","    59,858","    86,882",    0．03,    0．01,    0.02
      (4)畜用药品制造业,"    31,222","    14,483",16739,    0．01,-,-
    11.橡胶及塑料制品制造业,1939617,"    837,850","  1,101,767",    0．37,    0．16,    0．21
      (1)像胶制品制造业,"    666,746","    340,458","    326,288",    0．13,    0．07,    0.06
      (2)塑料制品制造业,"    1,272,871","    497,392","    775,479",    0.24,    0．10,    0.1 5
    12石油及煤制品制造业,"    510,910","    316,845","    194,065",    0.10,    0.06,    0.04
      (1)原油加工业,"    245,920","    156,229","    89,691",    0.05,    0.03,    0．02
      (2)人造原油制造业,"    9,61 4","    5,898","    3,716",-,-,-
      (3)煤制品制造业,"    102,979","    75,509","    27,470",    0.02,    0.01,    0．01
      (4)其他石油及煤制品制造业,"    152,397","    79,209","    73,188",    0．03,    0．02,    0．01
    13．非金属矿物制品制造业,"    7,413,201","    5,171,409","  2,241,792",    1.42,    0．99,    0．43
      (1)水泥及其制品制造业,"    1,668,865","    1,1 70,194","    498,671",    0.32,    0．22,    0．10
      (2)砖瓦、石灰及建筑用石制造业,"    3,876,527","    2,918,566","    957,961",    0．74,    0.56,    0．18
      (3)玻璃及其制品制造业,"    620,222","    329,487","    290,735",    0.12,    0．06,    0.06
      (4)陶瓷制品制造业,"    704,192","    438,419","    265,773",    0.14,    0.08,    0.05
      (5)耐火材料制造业,"    208,676","    139,526","    69,1 50",    0．04,    0.03,    0．01
      (6)其他非金属矿物制品制造业,"    334,71 9","    175,217","    159,502",    0.06,    0．03,    0.03
