57.各种职业分性别人口数,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
总计,"    521,505,618",293661280,"    227,844,338",    1 00.00,    56.31,    43.69
一、各类专业、技术人员,"    26,457,518",16331847,"    10,125,671",    5.07,    3.13,    1.94
  1．科学研究人员,"    1 54,191","    1 10,706","    43,485",    0．03,    0．02,    0．01
    (1)哲学研究人员,"    3,787","    2,262","    1,525",-,-,-
    (2)社会学研究人员,"    2,359","    1,594",    765,-,-,-
    (3)经济学研究人员,"    3,856","    3,033",    823,-,-,-
    (4)法学研究人员,"    1,238",    884,    354,-,-,-
    (5)教育学研究人员,"    7,776","    6,683","    1,093",-,-,-
    (6)文学、艺术研究人员,"    2,242",1734,    508,-,-,-
    （7)图书馆学、情报学研究人员,"    5,069","    2,947",2122,-,-,-
    (8)历史学研究人员,"    2,324","    1,923",    401,-,-,-
    (9)理学研究人员,"    24,334",17468,"    6,866",-,-,-
    (10)工学研究人员,"    64,460","    47,026","    17,434",    0．01,    0.01,-
    (11)农学研究人员,"    22,489","    16,449","    6,040",-,-,-
    (12)医学研究人员,"    10,338","    5,919","    4,419",-,-,-
    (13)其他科学研究人员,"    3,919","    2,784","    1,135",-,-,-
  2．工程技术人员和农林技术人员,"    2,906,462","  2,399,009","    507,453",    0．56,    0．46,    0．10
    (1)城市建设规划设计人员,"    12,708","    10,276","    2,432",-,-,-
    (2)土木建筑工程技术人员,"    416,495",367919,"    48,576",    0．08,    0．07,    0.01
    (3)电气和电子工程技术人员,"    388,704","    306,096","    82,608",    0．07,    0.06,    0．02
    (4)机械工程技术人员,"    632,750","    530,592","    102,158",    0.12,    0.10,    0.02
    (5)化工工程技术人员,"    172,135","    120,327","    51,808",    0.03,    0.02,    0．01
    (6)冶金工程技术人员,"    69,681","    56,402","    13,279",    0．01,    0.01,-
    (7)矿业工程技术人员,"    76,652","    70,240","    6,412",    0.01,    0．01,-
    (8)工业管理技术人员,"    232,854","    185,520","    47,334",    0．04,    0．04,    0．01
    (9)测绘、水文技术人员,"    63,634","    54,946","    8,688",    0.01,    0．01,-
    (10)气象、地震技术人员,"    53,084","    35,448","    17,636",    0.01,    0.01,-
    (11)地质工程技术人员,"    117,363","    101,567","    15,796",    0．02,    0．02,-
    (12)轻工、纺织技术人员,"    95,383","    64,735","    30,648",    0．02,    0．01,    0.01
    (13)农业技术人员,"    407,709","    354,190","    53,519",    0.08,    0.07,    0.01
    (14)林业技术人员,"    93,057","    80,566",12491,    0.02,    0.02,-
    (15)其他工程技术人员和农林技术人员,"    74,253","    60,185","    14,068",    0.01,    0.01,-
  3．科学技术管理人员和辅助人员,"    299,078","    87,365",211713,    0．06,    0．02,    0.04
    (1)科学技术管理人员,"    9,670","    6,996","    2,674",-,-,-
    (2)科学技术辅助人员,"    289,408",80369,"    209,039",    0．06,    0.02,    0．04
  4．飞机和船舶技术人员,"    60,607","    59,622",    985,    0.01,    0.01,-
    (1)飞机驾驶员和领航人员,"    2,850","    2,698",    152,-,-,-
    (2)飞机机械技术人员,3938,"    3,783",    155,-,-,-
    (3)船舶指挥和领航人员,"    17,492","    17,308",    184,-,-,-
    (4)船舶轮机技术人员,"    15,054","    14,949",    105,-,-,-
    (5)其他飞机、船舶技术人员,"    21,273","    20,884",    389,-,-,-
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,    占总合计数的百分比(％),,
    职业别,    合计,    男,    女,,,
,,,,    合计,    男,    女
(续),,,,,,
  5．医疗卫生技术人员,"    4,614,698","    2,413,948","    2,200,750",    0.88,    0．46,    0．42
    (11中医师(士),"    327,737","    254,700","    73,037",    0．06,    0．05,    0．01
    (2)西医师(士),"    974,771","    523,942","    450,829",    0．19,    0．10,    0.09
    (3)中西医结合医师,"    58,020",    42，779,    15，241,    0.01,    0．01,-
    (4)药剂人员,"    427,355","    183,398","    243,957",    0．08,    0.04,    0.05
    (5)护师(士),"    863,695","    45,523","    818,172",    0．17,    0．01,    0．16
    (6)技师(士),"    235,826","    130,561","    105,265",    0．05,    0.03,    0.02
