59.市、镇、县各种职业分性别人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  市(不含市辖县),,,    镇,,,    县(不含镇),,
    职业别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
总计,"    81,741,893","    46,252,693","    35,489,200","    32,580,064","    19,647,746","    12,932,318","  407,183,661","  227,760,841","  1 79,422,820"
一、各类专业、技术人员,"    9,275,971","    4,672,1 70","    4,603,801","    4,287,980","    2,311,600","    1,976,380","    12,893,567","    9,348,077","    3,545,490"
  1.科学研究人员,"    122,81 5","    86,662",36153,"    1 5,925","    1 2,776","    3,1 49","    1 5,451","    11,268","    4,183"
  2．工程技术人员和农林技术人员,"    1,760,705","    1,391,679","    369,026","    542,458","    463,288","    79,170","    603,299","    544,042","    59,257"
  3．科学技术管理人员和辅助人员,"    229,884","    62,208","    1 67,676","    41,058","    1 3,908","    27,150","    28,136","    11,249","    16,887"
  4．飞机和船舶技术人员,"    47,089","    46,600",    489,"    8,411","    8,240",    1 71,"    5,107","    4,782",    325
  5．医疗卫生技术人员,"    1,461,538","    474,838","    986,700","    776,035","    312,499","    463,536","    2,377,125","    1,626,611","    750,514"
  6．经济业务人员,"    2,911,076","    1,305,613","    1,605,463","    1,619,162","    829,916","    789,246","    3,1 70,770","    2,568,458",602312
  7．法律工作人员,"    62,633","    51,763","    10,870","    76,942","    69,796","    7,1 46","    36,164","    34,572","    1,592"
  8．教学人员,"    2,193,548","    988,054","    1,205,494","    987,022","    470,377","    516,645","    6,41 5,753","    4,388,799","    2,026,954"
  9．文艺、体育工作人员,"    241,722","    1 64,111","    77,611","    143,431","    97,616","    45,815","    126,320","    85,943","    40,377"
  10.文化工作人员,"    242,405","    98,764","    143,641","    75,556","    31,872","    43,684","    94,530","    54,334","    40,196"
  11.宗教职业者,"    2,556","    1,878",    678,"    1,980","    1,312",    668,"    20,912","    18,019","    2,893"
二、国家机关、党群组织、企事业单位负责,,,,,,,,,
  人,"    3,448,933","    2,927,111","    521,822","    1,888,918","    1,706,855","    182,063","    2,792,936","    2,652,598","    140,338"
  1．国家机关及其工作机构负责人,"    380,368","    349,71 7","    30,651","    401,699","    384,208","    17,491","    112,843","    110,043","    2,800"
  2．党群组织负责人,"    632,353","    521,647","    110,706","    254,671","    224,333","    30,338","    399,227","    344,123","    55,104"
  3．城镇街道和农村人民公社负责人,"    105,163","    34,280","    70,883","    44,626","    26,457","    18,169","    246,686","    235,413","    11,273"
  4．企事业单位及其工作机构负责人,"    2,331,049","    2,021,467","    309,582","    1,187,922","    1,071,857","    116,065","    2,034,180",1963019,"    71,161"
三、办事人员和有关人员,"    3,307,393","    2,256,173",1051220,"    1,729,750","    1,358,473","    371,277","    1,751,204","    1,512,497","    238,707"
  1．行政办事人员,"    1,684,469","    1,071,454","    613,01 5","    970,415","    749,009","    221,406","    944,312","    820,207","    124,105"
  2．政治、保卫工作人员,"    1,124,836","    919,975","    204,861","    485,612","    439,105","    46,507","    448,840","    423,755","    25,085"
  3．邮电工作人员,"    255,082","    97,477","    157,605","    157,067","    77,392","    79,675","    194,478","    123,795","    70,683"
  4．其他办事人员和有关人员,"    243,006","    167,267","    75,739","    116,656","    92,967","    23,689","    163,574","    144,740","    18,834"
四、商业工作人员,"    3,428,007","    1,51 5,293","    1,912,71 4","    2,224,612",1021281,"    1,203,331","    3,762,759","    2,561,202","    1,201,557"
  1．售货人员,"    2,425,024","    702,489","    1,722,535","    1,710,165","    579,737","    1,130,428","    2,878,518",1740888,"    1,137,630"
  2．采购员和供销人员,"    891,310","    759,648","    131,662","    407,771","    366,153","    41,618","    592,741","    570,135","    22,606"
  3.收购人员,"    94,873","    43,225","    51,648","    80,400","    56,420","    23,980","    238,529","    204,717","    33,812"
  4．其他商业工作人员,"    16,800","    9,931","    6,869","    26,276","    18,971","    7,305","    52,971","    45,462","    7,509"
五、服务性工作人员,"    5,597,494","    2,414,086","    3,183,408","    2,303,286","    1,132,562","    1,170,724","    3,604,944","    2,444,489","    1,160,455"
  1．服务员,"    4,1 00,761","    1,61 2,869","    2,487,892","    1,614,850","    699,545","    915,305","    2,064,608","    1,284,527","    780,081"
  2．厨师和炊事员,"    1,301,120","    670,961","    630,1 59","    543,751","    329,831","    213,920","    1,206,685","    865,205","    341,480"
  3．导游员,"    1,449",    763,    686,    344,    181,    163,    380,    253,    127
  4．生活日用品修理人员,"    159,768","    11 5,294","    44,474","    121,127","    92,980","    28,147","    294,586","    272,020","    22,566"
  5．其他服务性工作人员,"    34,396","    14,199","    20,197","    23,214","    10,025","    13,189","    38,685","    22,484","    16,201"
