60.各行业人口的职业分布状况,,,,,,,,
,,,,,,,,
,,,,,,,,
,在业人口数,农、牧、,矿业及木,电力、煤气,,,,
    职业别,,,,自来水的生,制造业,地质勘探,,交通运输、
,    合计,林、渔业,材采运业,,,和普查业,建筑业,邮电通信业
,,,,产和供应业,,,,
总计,"  521,505,618",384155030,"    8,401,845","    1,500,343","  61,668,204","    824,043","    11,009,419","    8,980,972"
一、各类专业、技术人员,"    26,457,518","    2,755,986","    607,775","    151,600","    3,871,435","    1 74,278","    770,392","    611,116"
  1．科学研究人员,"    154,191","    6,637",385,    167,"    4,194",360,"    1,508",    219
  2．工程技术人员和农林技术人员,"    2,906,462",331496,"    135,989","    51,494","    1,057,499","    103,504","    331,100","    109,235"
  3．科学技术管理人员和辅助人员,"    299,078","    3,374",9539,"    3,468",153235,"    11,070","    25,877","    3,436"
  4．飞机和船舶技术人员,"    60,607","    2,843",    291,    61,"    2,930",    919,"    1,584","    47,583"
  5．医疗卫生技术人员,"    4,614,698","    820,569","    102,769","    10,663","    332,214","    12,607",61003,"    36,660"
  6．经济业务人员,"    7,701,008","    1,360,471","    229,052","    71,677","    1,952,045","    30,664","    301,408","    377,855"
  7．法律工作人员,175739,    604,    688,    38,    246,    9,    40,"    1,013"
  8．教学人员,"    9,596,323","    205,649","    112,933",11032,"    257,671","    11,942","    35,189","    22,863"
  9．文艺、体育工作人员,"    511,473",8812,"    2,466",    129,"    50,227",    195,"    1,367","    1,069"
  10.文化工作人员,"    412,491","    12,114","    13,647","    2,870","    61,103","    3,007","    11,309","    11,173"
  11.宗教职业者,"    25,448","    3,41 7",    16,    1,    71,    1,    7,    10
二、国家机关、党群组织、企事业单位负责,,,,,,,,
    人,8130787,444392,"    319,825","    87,510","    2,264,862","    42,706","    300,709","    364,104"
  1．国家机关及其工作机构负责人,"    894,910","    1,788",    696,1034,1438,    136,    556,"    3,677"
  2．党群组织负责人,"    1,286,251","    50,993","    68,075","    13,863",379512,"    8,622","    64,880","    61,671"
  3．城镇街道和农村人民公社负责人,"    396,475","    3,044",    825,    100,"    1,672",    50,    310,    245
  4．企事业单位及其工作机构负责人,"    5,553,151","    388,567","    250,229","    72,513","    1,882,240","    33,898","    234,963","    298,511"
三、办事人员和有关人员,"    6,788,347","    262,628","    262,278",70533,"    1,268,871","    49,704",243034,"    747,895"
  1．行政办事人员,"    3,599,196","    127,427","    125,351","    38,209","    658,085","    26,251","    132,480","    154,112"
  2．政治、保卫工作人员,"    2,059,288","    69,582","    90,752","    17,893","    413,91 7","    1 4,375","    72,378","    101,689"
  3．邮电工作人员,"    606,627","    14,213","    19,881","    6,459","    41,205","    5,035","    9,455","    456,980"
  4．其他办事人员和有关人员,"    523,236","    51,406","    26,294","    7,972","    155,664","    4,043","    28,721","    35,114"
四、商业工作人员,"    9,415,378","    196,483","    77,667","    16,652","    1,284,106","    9,934","    71,200","    68,881"
  1．售货人员,"    7,013,707","    132,203","    21,946","    4,762","    269,122","    2,299","    9,174","    27,642"
  2．采购员和供销人员,"    1,891,822","    55,464","    51,874","    11,785","    977,437","    7,545","    61,467","    40,508"
  3．收购人员,"    413,802","    6,918","    3,302",    42,"    33,485",    75,    387,    406
  4．其他商业工作人员,"    96,047","    1,898",    545,    63,"    4,062",    15,    172,    325
五、服务性工作人员,"  11,505,724","    675,720","    621,999","    110,178","    3,357,01 4","    65,218","    406,676","    802,431"
  1．服务员,"    7,780,219",434034,"    422,510","    78,604","    2,123,029","    33,727","    259,627","    639,277"
  2．厨师和炊事员,"    3,051,556","    197,037","    194,430","    28,890","    788,395","    31,049","    142,579","    154,470"
  3．导游员,"    2,173",    43,    17,    11,    220,    6,    27,    199
  4．生活日用品修理人员,"    575,481","    39,300","    2,180",    828,431691,    294,"    3,550","    6,089"
  5．其他服务性工作人员,"    96,295","    5,306","    2,862","    1,845","    13,679",    142,    893,"    2,396"
六、农林牧渔劳动者,"  375,380,478",373881417,"    401,127","    17,093","    31 4,582","    12,204","    58,766","    214,865"
  1．农林牧渔生产负责人,"    1,720,639",1716230,    788,    39,"    1,437",    21,    315,    198
  2．农业劳动者,"  360,063,786","  359,657,835","    71,528","    5,556","    88,709","    8,953","    19,972","    10,011"
  3．林业劳动者,"    2,997,029","    2,552,452","    282,096","    1,976","    37,410",    341,"    5,999","    13,805"
  4．牧业劳动者,"    5,822,240","    5,680,561","    12,063","    1,058","    43,257",    650,"    3,387","    4,530"
  5．渔业劳动者,"    1,752,417","    1,719,637","    2,787","    1,175","    10,153",    49,    890,"    3,038"
  6．狩措业劳动者,"    3,253","    2,955",    45,    4,    74,    5,    17,    52
  7．农业机械操作人员,"    2,296,459","    1,861,003","    30,455","    2,671",128331,"    2,067","    22,817","    182,848"
  8．其他农林牧渔劳动者,"    724,655","    690,744","    1,365","    4,614","    5,211",    118,"     5,369",    383
