61.各行业人口的年龄构成,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    行业别,,,,,,,,
    行业别,    合计,,,,,,,,,,,,    小计,1 5—1 9岁,2 0-2 4岁,5—2 9岁,3 0-3 4岁,3 5—4 9岁,5 0—5 4岁,5 5岁及以上
,,    小计,1 5-1 9岁,2 0-2 4岁,2 5—2 9岁,3 0-3 4岁,3 5—5 4岁,5 5—5 9岁,6 0岁及以上,,,总计,"    227,844,338","    47,906,811","   32,956,847","    39,783,904",31093464,"    57,296,090","    9,816,331","    8,990,891"
总计,"  521,505,618","    293,661，280","    45,012,206",36427362,"  47,073,854","    37,485,433","  97,837,464","  14,512,662","    15,312,299",,,一、农、牧、林、渔业,"    177,651,381",40351012,"    23,249,062","    29,506,551","    23,968,329","    44,184,329","    8,412,763","    7,979,335"
一、农、牧、林、渔业,"  384,155,030","    206,503,649","    36,486,237","    23,811,679","  31,065,1 46","    24,959,559","  65,867,380","  11,367,415","    12,946,233",,,  1．农业,"    173,872,460","    39,740,646","    22,758,279","    28,915,775","    23,476,474","    43,104,062","    8,166,831",7710393
  1．农业,"  375,123,822","    201,251,362","    35,764,673","    23,162,500",30300363,"    24,352,984",64018835,"  11,053,404","    12，598,603",,,  2．畜牧业,2438881,"    298,694","    274,148","    367,240","    322,633","    760,968","    194,384","    220,814"
  2．畜牧业,"    4,489,956","    2,051,075","    299,393","    251,197","    282,753",231418,"    719,41 7","    123,494","    143,403",,,  3．林业,"    872,568","    218,994","    146,587","    143,397","    108,740","    203,613","    29,289","    21,948"
  3.林业,"    2,692,609","    1,820,041",237080,"    210,635","    252,591","    202,242",667027,"    116,082","    134,384",,,  4．渔业,"    467,472","    92,678","    70,048","    80,139","    60,482","    115,686","    22,259","    26,180"
  4．渔业,"    1,848,643","    1,381,171","    185,091","    187,347",229439,"    1 72,915","    462,101","    74,435","    69,843",,,二一四、工业,"    29,209,978","    5,222,125","    5,860,545","    5,936,621","    4,200,971","    6,982,956","    622,469","    384,291"
二一四、工业,"  71,570,392","    42,360,414",4786388,"    6,536,402",8184223,"    6,438,563","    14,315,614","    1,215,716","    883,508",,,  二、矿业及木材采运业,"    1,626,291","    302,265","    347,529","    323,917","    206,439","    411,650","    25,730","    8,761"
  二、矿业及木材采运业,"    8,401,845","    6,775,554","    595,586","    920,951",1303627,"    1,128,589","    2,625,272","    136,909","    64,620",,,    1．矿业,"    1,393,634","    249,363","    292,728","    276,432","    1 78,594","    364,473","    23,806","    8,238"
    1．矿业,"    7,550,143",6156509,"    523,068",836935,"    1,209,528","    1,059,868","    2,343,350","    123,638","    60,122",,,      (1)煤炭采选业,"    729,857","    129,918","    162,052","    147,709","    83,310",192088,"    11,813","    2,967"
      (1)煤炭采选业,"    4,616,751","    3,886,894","    291,025","    526,174","    772,080","    668,430","    1,520,211","    75,433","    33,541",,,      (2)石油和天然气开采业,"    129,606",20368,"    22,486","    24,968","    25,055","    35,732",    81 5,    182
      (2)石油和天然气开采业,"    396,458","    266,852","    27,553","    34,550","    57,144","    58,457","    85,538","    2,716",    894,,,      (3)金属矿业,"    245,284","    37,886","    52,302","    51,754","    31,479","    66,138","    4,485","    1,240"
      (3)金属矿业,"    1,015,450","    770,166","    61,037","    94,951",129263,"    132,577","    332,128","    14,588","    5,622",,,      (4)非金属矿业,"    288,887","    61,191","    55,888","    52,001","    38,750","    70,515","    6,693","    3,849"
      (4)非金属矿业,"    1,521,484","    1,232,597",143453,"    181,260",    251，041,"    200,404","    405,473","    30,901","    20,065",,,    2．木材采运业,"    232,657","    52,902","    54,801","    47,485","    27,845","    47,1 77","    1,924",    523
    2．木材采运业,"    851,702","    619,045","    72,518","    84,016","    94,099","    68,721","    281,922","    13,271","    4,498",,,  三、电力、煤气、自来水的生产和供应业,"    389,203","    48,094","    83,902","    94,058","    56,141","    97,205","    5,872","    3,931"
  三、电力、煤气、自来水的生产和供应业,1500343,"    1,111,140",82283,"    164,946","    224,141","    171,784","    432,958",23345,11683,,,    1．电力、蒸气和热水的生产和供应业,"    302,239","    38,373","    65,503","    72,549","    42,767","    77,225","   4,270","    1,552"
    1.电力、蒸气和热水的生产和供应业,"    1,240,962","    938,723","    67,203","    135,929","    188,637","    147,418",373399,"    17,844","    8,293",,,    2．煤气生产和供应业,"    16,794","    1,415","    3,895","    4,886",2863,"    3,452",    233,    50
    2．煤气生产和供应业,"    50,599","    33,805","    2,475","    6,364","    8,1 20","    4,655","    10,402","    1,246",    543,,,    3．自来水生产和供应业,"    70,170","    8,306",14504,"    16,623",10511,"    16,528","    1,369","    2,329"
    3．自来水生产和供应业,"    208,782","    138,612","    12,605","    22,653","    27,384","    19,711","    49,157","    4,255",    2，847,,,  四、制造业,"    27,194,484","    4,871,766","    5,429,1 14","    5,518,646","    3,938,391","    6,474,101","    590,867","    371,599"
  四、制造业,"  61,668,204","    34,473,720","    4,108,519","    5,450,505","    6,656,455","    5,1 38,190","    11,257,384","  1,055,462","    807,205",,,    1．食品、饮料和烟草制造业,"    1,718,329","    299,313","    350,650","    335,716","    230,056","    425,448","    46,719","    30,427"
    1．食品、饮料和烟草制造业,"    4,563,044","    2,844,715",318316,"    435,204","    51 9,678","    389,143","    953,665","    128,243","    1 00,466",,,      (1)食品制造业,"    1,324,559","    212,687","    263,031","    259,053","    180,366","    345,018","    38,516","    25,888"
      (1)食品制造业,"    3,569,261","    2,244,702",233304,"    327,746","    401,633","    305,586","    780,182","    109,069","    87,182",,,      (2)饮料制造业,"    294,599","    66,887","    63,972","    56,553","    38,274",59940,"    5,689","    3,284"
      (2)饮料制造业,"    792,032","    497,433","    68,021","    85,827","    98,166","    70,501","    147,846","    15,925","    11,147",,,      (3)烟草加工业,"    99,171","    19,739","    23,647","    20,110","    11,416","    20,490","    2,514","    1,255"
      (3)烟草加工业,"    201,751","    102,580","    16,991",21631,"    19,879","    13,056",25637,"    3,249","    2,137",,,    2．纺织业,"    4,285,161","    937,498","    1,032,678","    836,313","    554,163","    819,973","    67,299","    37,237"
    2．纺织业,"    6,646,580","    2,361,419","    347,677","    472,675","    437,1 78",306326,"    674,297","    77,476","    45,790",,,    3．缝纫业,"    2,174,605","    382,555","    422,326","    411,616","    294,726","    513,498","    85,790","    64,094"
    3.缝纫业,"    3,068,476","    893,871","    140,754","    141,013","    151,991","    110,299",236256,"    49,608","    63,950",,,    4．皮革、毛皮及其制品制造业,"    574,015","    112,393","    121,085","    117,888","    79,382","    119,274","    13,606","    8,387"
    4．皮革、毛皮及其制品制造业,"    1,026,637","    452,622","    81,221","    85,072","    84,601","    49,677","    108,338","    23,101","    20,612",,,    5．木材加工业,"    295,655","    52,645","    69,429","    60,492","    37,267","    66,799","    5,999","    3,024"
    5．木材加工业,"    880,550","    584,895","    89,132","    102,493","    106,272",72709,"    175,344","    21,373","    17,572",,,    6．家俱制造业,"    264,209",43826,"    49,289","    55,409","    37,345","    66,166","    7,545","    4,629"
    6．家俱制造业,"    2,306,805","    2,042,596","    513,644","    407,916","    382,061","    235,1 70",386346,"    51,735","    65,724",,,    7．制浆、造纸及纸制品业,"    687,751","    113,250","    127,281","    129,075","    93,272","    178,269","    24,504","    22,100"
    7．制浆、造纸及纸制品业,"    1,402,762","    715,011","    88,967","    121,358","    1 39,186","    98,869","    220,782","    25,714","    20,135",,,    8．文教、艺术用品制造业及印刷业,"    3,013,021","    1,006,813","    631,456","    499,046","    332,615","    455,041","    48,918","    39,132"
    8．文教、艺术用品制造业及印刷业,"    3,971,169","    958,148","    140,992","    1 70,609","    1 77,884","    119,119","    273,248","    38,600","    37,696",,,    9．化学工业,"    1,229,894","    144,045","    229,61 7","    294,910","    208,746","    322,284","    21,235","    9,057"
    9．化学工业,3508985,"    2,279,091","    190,167","    330,016","    485,951","    411,357","    788,895","    47,234","    25,471",,,    10.医药制造业,"    294,403","    33,506","    54,071","    62,689","    47,748","    85,370","    7,546","    3,473"
    10.医药制造业,"    553,796","    259,393","    27,861","    46,283","    50,61 7",37893,"    83,763","    7,937",5039,,,    11.橡胶及塑料制品制造业,"    1,101,767","    177,156","    201,723","    225,365","    172,485","    283,350","    26,458","    15,230"
    11．橡胶及塑料制品制造业,"    1,939,617","    837,850","    101,870","    144,747","    174,21 8","    120,472","    247,350","    28,924","    20,269",,,    12.石油及煤制品制造业,"    194,065","    21,584","    35,500","    43,786","    30,750","    56,036",4575,"    1,834"
    12.石油及煤制品制造业,"    510,910","    316,845","    27,282","    46,826","    66,826","    50,894","    111,850","    8,592","    4,575",,,    13.非金属矿物制品制造业,"    2,241,792","    487,355","    474,671","    429,766","    309,557","    485,929","    36,936","    17,578"
