62.各种职业人口的年龄构成,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,    女,,,,,,,
,,    男,,,,,,,,,,    职业别,,,,,,,,
    职业别,    合计,,,,,,,,,,,,  小计,1 5-1 9岁,2 0-2 4岁,  2 5—2 9岁,3 0-3 4岁,3 5—4 9岁,5 0-5 4岁,5 5岁及以上
,,  小计,1 5-1 9岁,,,,,,,,,总计,"    227,844,338","    47,906,811","    32,956,847","    39,783,904","  31,093,464","  57,296,090","    9,816,331","    8,990,891"
,,,,2 0-2 4岁,2 5—2 9岁,3 0-3 4岁,3 5—5 4岁,5 5—5 9岁,6 0岁及以上,,,一、各类专业、技术人员,"  10,125,671","    710,388","    1,718,232","    2,308,114","    1,628,088","    3,394,958","    254,21 5","    111,676"
总计,"    521,505,618","  293,661,280","    45,012,206","    36,427,362",47073854,"    37,485,433","    97,837,464","    14,512,662","    15,312,299",,,  1．科学研究人员,"    43,485",    758,"    1,865","    5,524","    3,527","    27,856","    2,703","    1,252"
一、各类专业、技术人员,"    26,457,51 8","    16,331,847","    609,666","    1,790,740","    2,925,111","    2,437,466","    7,644,650","    550,597","    373,617",,,  2．工程技术人员和农林技术人员,"    507,453","    11,646","    45,057","    94,745","    57,780","    284,434","    11,429","    2,362"
  1．科学研究人员,"    1 54,191","    110,706",    932,3217,"    9,057","    7,612","    81,853","    4,028","    4,007",,,  3．科学技术管理人员和辅助人员,"    211,713","    16,648","    49,586","    60,726","    34,285","    47,475","    2,264",    729
  2．工程技术人员和农林技术人员,"    2,906,462","    2,399,009","    35,511","    147,949","    318,201","    277,983","    1,501,858","    72,090","    45,417",,,  4．飞机和船舶技术人员,    985,    90,    144,    216,    126,359,    38,    12
  3．科学技术管理人员和辅助人员,"    299,078",87365,"    5,643","    16,184","    20,393","    12,799","    29,462","    1,680","    1,204",,,  5．医疗卫生技术人员,"    2,200,750","    129,120",343285,"    557,135","    332,561","    744,211","    62,956","    31,482"
  4．飞机和船舶技术人员,"    60,607","    59,622",    453,"    2,81 3","    7,702","    11,61 7","    33,694","    2,609",    734,,,  6．经济业务人员,"    2,997,021","    219,795","    546,283","    678,465","    511,469","    936,253","    78,1 52","    26,604"
  5．医疗卫生技术人员,"    4,61 4,698","    2,41 3,948","    85,685","    221,287","    434,728","    406,761","    1,076，038","    81,429","    108,020",,,  7．法律工作人员,"    19,608",    408,"    2,198","    5,306","    3,681","    6,645","    1,072",    298
  6．经济业务人员,"    7,701,008","    4,703,987","    190,236","    468,481","    729,1 43","    694,155","    2,288,536","    215,156","    118,280",,,  8．教学人员,"    3,749,093","    272,198","    656,723","    825,687","    634,906","    1,239,297","    81,636","    38,646"
  7．法律工作人员,"    175,739","    1 56,131","    1,21 9","    9,367","    22,621","    31,950","    87,405","    2,996",    573,,,  9．文艺、体育工作人员,"    163,803","    44,466","    36,987","    27,273","    15,024","    35,205","    2,871","    1,977"
  8．教学人员,"    9,596,323",5847230,"    238,542",843948,"    1,285,409","    922,576","    2,338,001","    148,855","    69,899",,,  10.文化工作人员,"    227,521","    15,099","    35,949","    52,875","    34,628","    72,859","    10,750","    5,361"
  9．文艺、体育工作人员,"    511,473","    347,670","    42,550","    57,590","    61,644","    42,510","    122,633","    10,924","    9,819",,,  11．宗教职业者,"    4,239",    160,    155,    162,    101,    364,    344,"    2,953"
  10．文化工作人员,"    412,491","    184,970","    6,1 95","    19,110","    35,665","    29,012","    78,805","    8,347","    7,836",,,二、国家机关、党群组织、企事业单位负责,,,,,,,,
  11.宗教职业者,"    25,448","    21,209","    2,700",    794,    548,    491,"    6,365","    2,483","    7,828",,,    人,"    844,223","    2,641","    20,521","    80,251","    97,548","    455,644","    120,009","    67,609"
二、国家机关、党群组织、企事业单位负责,,,,,,,,,,,,  1．国家机关及其工作机构负责人,"    50,942",    42,    161,    896,"    2,236","    28,415","    13,383","    5,809"
    人,"    8,130,787","    7,286,564","    4,889","    56,245","    300,571","    600,584","    5,408,139","    670,170","    245,966",,,  2．党群组织负责人,"    196,1 48","    1,435","    12,195","    41,809","    32,551","    77,065","    22,002","    9,091"
  1．国家机关及其工作机构负责人,"    894,910","    843,968",    1 47,"    2,204","    11,322","    27,151","    654,232","    104,098","    44,814",,,  3．城镇街道和农村人民公社负责人,"    1 00,325",374,"    1,392","    5,521","    6,730","    39,199","    20,623","    26,486"
  2．党群组织负责人,"    1,286,251","    1,090,1 03","    1,881","    19,073","    63,859","    85,097","    776,046","    106,138","    38,009",,,  4．企事业单位及其工作机构负责人,"    496,808",    790,"    6,773","    32,025",56031,"    310,965","    64,001","    26,223"
  3．城镇街道和农村人民公社负责人,"    396,475","    296,150",    396,2301,"    15,556","    39,225","    216,860","    14,316","    7,496",,,三、办事人员和育关人员,"    1,661,204","    109,744","    261,510","    380,936","    267,648","    548,637","    66,756","    25,973"
