63.按现行行业分类分组的工业部门的在业人口,,,
,,,
,,,
    行业别,    合计,    男,    女
一、冶金工业,"    3,677,215","    2,644,761","    1,032,454"
  1．黑色金属工业,"    2,504,685","    1,801,531","    703,154"
    (1)黑色金属矿采选,"    393,941","    301,181","    92,760"
    (2)黑色金属冶炼及加工,"    2,1 10,744","    1,500,350","    610,394"
  2．有色金属工业,"    1,172,530","    843,230","    329,300"
    (1)有色金属矿采选,"    621,509","    468,985","    152,524"
    (2)有色金属冶炼及加工,"    551,021","    374,245","    176,776"
二、电力工业,"    1,225,829","    928,496","    297,333"
  电力工业,"    1,225,829","    928,496","    297,333"
三、煤炭及炼焦工业,"    4,770,329","    3,996，207","    774,122"
  1．煤炭工业,"    4,616,751","    3,886,893","    729,858"
  2．炼焦及焦炭化学工业(包括煤气),"    153,578","    109,314","    44,264"
四、石油工业,"    804,389","    508,1 88","    296,201"
  1．石油、天然气开采,"    396,458","    266,852","    129,606"
  2．石油、天然气加工,"    407,931",241336,"    166,595"
五、化学工业,"    5,553,302","    3,119,520","    2,433,782"
  1．化学矿开采工业,"    139,647","    111,497","    28,1 50"
  2．基本化学原料工业,"    601,1 49","    385,415","    215,734"
  3．化肥农药工业,"    1,337,938","    972,273","    365,665"
    (1)化学肥料,"    1,220,430","    894,252","    326,178"
    (2)化学农药,"    117,508","    78,021","    39,487"
  4．有机化学工业,"    669,772","    40 0,940","    268,832"
    有机合成化学原料,"    669,772","    400,940","    268,832"
  5．化学药品工业,"    553,796","    259,393","    294,403"
    (1)原料药,"    69,920","    38,256","    31,664"
    (2)医用药品,"    452,654","    206,654","    246,000"
    (3)畜用药品,"    31,222",14483,"    16,739"
  6．日用化学工业,"    311,382","    152,151","    159,231"
    肥皂及天然香料,"    311,382","    152,151","    1 59,231"
  7．橡胶加工工业,"    666,747","    340,459","    326,288"
    橡胶加工工业,"    666,746","    340,458","    326,288"
  8．塑料加工工业,"    1,272,871","    497,392","    775,479"
    塑料加工工业,"    1,272,871","    497,392","    775,479"
六、机械工业,"    21,21 3,907","    12,881,260","    8,332,647"
  1．农业机械制造工业,"    1,056,200",732769,"    323,431"
  2．工业设备制造工业,"    2,952,526","    1,936,343","    1,016,183"
    (1)动力机器制造,"    584,328",380860,"    203,468"
    (2)机床及锻压设备制造,"    918,802","    592,221","    326,581"
,,,
,,,
,,,
,,,
    行业别,    合计,    男,    女
,,,
(续),,,
    (3)其它工业专用设备制造,"    1,449,396","    963,262","    486,134"
  3．交通设备制造工业,"    2,569,887","    1,671,763","    898,124"
    (1)汽车制造,"    1,357,675","    845,369","    512,306"
    (2)铁道运输设备制造,"    305,1 74","    206,895","    98,279"
    (3)船舶制造,"    558,332","    395,167",163165
    (4)飞机制造,"    266,900","    171,409","    95,491"
    (5)电车制造,"    8,067","    5,411","    2,656"
    (6)其它运输设备制造,"    73,739","    47,512","    26,227"
  4．建筑筑路机械制造工业,"    164,869","    107,210","    57,659"
  5．生产用其它机械制造工业,"    2,264,593","    1,334,952","    929,641"
    (1)地质勘探设备制造,"    31,272","    20,876","    10,396"
    (2)仪器仪表制造,"    1,024,191","    555,784","    468,407"
    (3)国民经济各部门通用设备制造,"    1,209,130","    758,292","    450,838"
  6．电子工业,"    2,250,161","    1,192,955","    1,057,206"
    (1)生产用整机生产,"    909,009","    534,208","    374,801"
    (2)文化生活用整机,"    330,965","    162,569","    168,396"
    (3)无线电器件,"    927,240","    451,926","    475,314"
    (4)无线电测量仪器,"    59,388","    31,241","    28,147"
    (5)无线电专用设备,"    23,559","    13,011","    10,548"
  7．生活用机械制造工业,"    763,369",429685,"    333,684"
    (1)日用机械,"    617,1 76","    352,809","    264,367"
    (2)医疗机械,"    90,640","    47,109","    43,531"
    (3)文化用机械,"    55,553","    29,767","    25,786"
  8．生产用金属品工业,3337107,"    2,053,698","    1,283,409"
    (1)属结构,"    543,004","    296,588","    246,416"
    (2)电线电缆,"    985,168","    481,986","    503,182"
    (3)工业用金属品,"    282,672","    150,395","    132,277"
    (4)金属丝绳及制品,"    235,020","    129,754","    105,266"
    (5)铁制小农具及匠作工具,"    1,036,216","    846,570","    189,646"
    (6)建筑用金属制品,"    255,027","    148,405","    106,622"
  9．日用金属品工业,"    1,151,105","    601,646","    549,459"
    (1)日用电气器具,"    272,381","    1 44,476","    127,905"
    (2)日用搪瓷制品,"    77,342","    42,055","    35,287"
    (3)日用五金制品,"    801,382","    415,115","    386,267"
  10．机械设备及金属品修理工业,"    4,704,090","    2,820,239","   1,883,851"
    (1)农业机械修理,"    2,219,582","    1,522,032","    697,550"
    (2)金属品修理,"    688,943","    418,477","    270,466"
    (3)生活用机械修理,"    1,795,565","    879,730","    915,835"
七、建筑材料工业,"    8,544,704","    6,103,584","    2,441,120"
  1．水泥工业,"    1,668,865","    1,170,193","    498,672"
    水泥工业,"    1,668,865","    1,170,193","    498,672"
,,,
,,,
,,,
,,,
    行业别,    合计,    男,    女
(续),,,
  2．砖瓦、石灰及其它建筑材料工业,"    4,748,775","    3,647,195","    1,101,580"
    (1)专瓦、石灰,"    3,876,526","    2,918,566","    957,960"
    (2)土砂石开采,"    872,249","    728,629","    143,620"
  3．耐火材料工业,"    208,676","    139,526","    69,150"
    耐火材料工业,"    208,676","    139,526","    69,150"
  4．玻璃工业,"    620,222",329487,"    290,735"
    玻璃工业,"    620,222","    329,487","    290,735"
  5．陶瓷工业,"    704,192","    438,419","    265,773"
    陶瓷工业,"    704,192","    438,419","    265,773"
  6．非金属矿工业,"    593,974","    378,764","    215,210"
    (1)非金属矿采选,"    259,255","    203,547","    55,708"
    (2)非金属矿加工,"    334,719","    175,217","    159,502"
八、森林工业,"    4,451,909","    3,511,760","    940,149"
  1．木材采运工业,"    851,702","    619,045","    232,657"
  2．木材加工工业,"    3,187,355","    2,627,491","    559,864"
    (1)锯材及人造板,"    453,901","    292,073","    161,828"
    (2)生产用木制品,"    426,649","    292,822",133827
    (3)生活用木制品,"    2,306,805","    2,042,596","    264,209"
  3．林产化学工业,"    412,852","    265,224","    147,628"
九、食品工业,"    4,813,377","    3,033,639","    1,779,738"
  1．粮油工业,"    1,464,743","    1,067,981","    396,762"
    (1)碾米、磨粉,"    1,192,260","    845,600","    346,660"
