64.各行业人口的文化程度,,,,,,,
,,,,,,,
,,,,,,,
    行业别,    合计,大学毕业,大学肄业,    高中,    初中,    小学,文盲、半文盲
总计,"    521,505,618","    4,230,708","    307,903","    54,976,140","  135,635,994","  1 79,302，000","    147,052,873"
一、农、牧、林、渔业,"    384,1 55，030","    122,1 52","    27,339","    20,876,974","  82,459,01 5","  142,749,469","    137,920,081"
  1．农业,"    375,123,822","    8 7,697","    24,906","    20,222,580","  80,636,924","  139,364,163","    1 34,787,552"
  2．畜牧业,"    4,489,956","    12,192",    591,"    246,969","    741,775","    1,582,1 71","    1,906,258"
  3．林业,"    2,692,609","    19,567","    1,561","    305,913","    721,197","    1,018,827","    625,544"
  4.渔业,"    1,848,643","    2,696",    281,"    101,512","    359,119","    784,308","    600,727"
二一四、工业,"    71,570,392","    1,012,139","    89,101","    1 4,609,074",28560234,"    21,651,882","    5,647,962"
  二、矿业及木材采运业,"    8,401,845","    84,704","    5,187","    1,369,153","    3,028,608","    2,953,471","    960,722"
    1．矿业,"    7,550,1 43","    77,699","    4,538","    1,198,929","    2,675,402","    2,724,947","    868,628"
      (1)煤炭采选业,"    4,61 6,751","    41,949","    2,678","    744,779","    1,675,257","    1,600,991","    551,097"
      (2)石油和天然气开采业,"    396,458","    8,681",    260,"    89,222","    1 72,052","    109,023","    1 7,220"
      (3)金属矿业,"    1,01 5,450","    20,824",    920,"    203,631","    355,902","    354,290","    79,883"
      (4)非金属矿业,"    1,521,484","    6,245",    680,"    161,297","    472,191","    660,643","    220,428"
    2．木材采运业,"    851,702","    7,005",    649,"    1 70,224","    353,206","    228,524","    92,094"
  三、电力、煤气、自来水的生产和供应业,"    1,500,343","    40,488","    3,1 72","    444,429","    634,569","    336,933","    40,752"
    1．电力、蒸气和热水的生产和供应业,"    1,240,962","    35,799","    2,644","    375,079","    514,753","    282,1 30","    30,557"
    2．煤气生产和供应业,"    50,599","    1,387",    1 59,"    14,593","    26,51 3","    6,928","    1,019"
    3．自来水生产和供应业,"    208,782","    3,302",    369,"    54,757",93303,"    47,875","    9,1 76"
  四、制造业,"    61,668,204","    886,947","    80,742","    12,795,492","  24,897,057","    18,361,478","    4,646,488"
    1．食品、饮料和烟草制造业,"    4,563,044","    25,079","    3,1 45","    904,215","    1,762,1 82","    1,462,133","    406,290"
      (1)食品制造业,"    3,569,261","    18,082","    2,334","    669,704",1344796,"    1,191,792",342553
      (2)饮料制造业,"    792,032","    5,386",    61 5,"    1 75,776","    330,887","    224,761","    54,607"
      (3)烟草加工业,"    201,751","    1,611",    196,58735,"    86,499","    45,580","    9,130"
    2．纺织业,"    6,646,580","    51,484","    6,493","    1,741，438","  2,754,945","    1,662,514","    429,706"
    3．缝纫业,"  3,068,476","    3,260","    1,262","    520,120","  1,1 74,666","    1,064,858",304310
    4．皮革、毛皮及其制品制造业,"    1,026,637","    2,641",    556,"    1 98,528","    428,090","    313,746","    83,076"
    5．木材加工业,"    880,550","    5,278",723,"    1 73,1 44","    363,041",267638,"    70,726"
    6．家俱制造业,"    2,306,805","    1,879",    646,"    321,352","    935,739","    866,113","    181,076"
    7．制浆、造纸及纸制品业,"    1,402,762","    9,444","    1,256","    272,655",539277,434332,"    145,798"
    8．文教、艺术用品制造业及印刷业,"    3,971,169","    10,585","    2,831","    636,787","    1,443,951","    1,437,548","    439,467"
    9．化学工业,"    3,508,985","    92,674","    6,569","    859,878","    1,493,398","    892,829",163637
    10．医药制造业,"    553,796","    18,377","    1,331","    1 59,072",232034,"    120,192","    22,790"
    11．橡胶及塑料制品制造业,"    1,939,61 7","    15,749","    2,304","    383,518",783802,"    594,731","    159,513"
    12．石油及煤制品制造业,"    510,910","    1 5,1 76",    753,"    120,224","    219,613","    121,270","    33,874"
    13．非金属矿物制品制造业,"    7,413,201","    31,450","    3,961","    1,109,796","  2,791,743","    2,681,811","    794,440"
    14．冶金工业,"    2,214,573","    70,631","    4,536",    501，661,939172,"    599,91 7","    98,656"
    15.金属制品制造业,"    3,919,606","    19,845","    3,618","    658,026","    1,554,606",1339485,"    344,026"
    16.一般机械(不包括电气机械)制造业,"    8,697,947","    240,919","    18,610","    2,052,531",3804354,"    2,249,620",331913
    17.电气、电子机械没备制造业,"    3,448,322","    124,549","    10,424","    950,701","    1,498,603","    741,936","    122,109"
    18.交通运输设备制造业,"    2,569,887","    88,548","    6,443","    665,1 73","    1,118,741","    600,012","    90,970"
    19.精密机械及仪器仪表制造业,"    1,229,772","    53,118","    4,155","    375,675",536033,230518,"    30,273"
    20.其它制造业及修理业,"    1,795,565","    6,261","    1,126","    190,998",523067,680275,393838
五、地质勘探和普查业,"    824,043","    53,307","    1,704","    223,790",302391,"    218,212","    24,639"
  1．地质勘探和普查业,"    824,043","    53,307","    1,704","    223,790","    302,391","    218,212","    24,639"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
    行业别,    合计,大学毕业,大学肄业,    高中,    初中,    小学,文盲、半文盲
(续),,,,,,,
六、建筑业,"    11,009,419","    186,915","    12,902","    1,956,531","    4,41 5,925","    3,682,210","    754,936"
  1．土木工程建筑业,"    9,920,987","    71,932","    8,079","    1,644,232","    4,010,822","    3,460,472","    725,450"
  2．线路、管道和设备安装业,602351,"    11,724","    1,105","    1 51,890",263817,"    1 54,11 5","    19,700"
  3．勘察设计,"    270,219","    90,504","    3,193","    90,21 5","    60,509","    23,425","    2,373"
  4．筹建机构,"    215,862","    12,755",    525,"    70,194","    80,777","    44,198","    7,413"
七、交通运输、邮电通信业,"    8,980,972","    84,945","    8,422","    1,861,351","    3,445,382",2765553,"    815,319"
  1．运输业,"    8,207,026","    71,441","    7,053","    1,640,01 2","    3,089,408","    2,591,330","    807,782"
  2．邮电通信业,"    773,946","    13,504","    1,369","    221,339","    355,974","    1 74,223","    7,537"
八、商业、饮食业、物资供销及仓储业,"    1 5,507,928","    89,046","    1 5,1 30","    3,634,966","    6,469,366","    4,209,294","    1,090,126"
  1．商业,"    12,079,932","    61,389","    11,1 75","    2,929,452","    5,1 41,329","    3,236,216","    700,371"
  2．饮食业,"    1,979,667",3130,    720,"    314,329","    683,920","    641,684","    335,884"
  3．物资供销,"    818,903","    20,1 90","    2,485","    236,460",    365，000,"    1 71,848","    22,920"
  4．仓储业,"    629,426","    4,337",    750,"    154,725","    279,11 7","    1 59,546","    30,951"
九、住宅管理、公用事业管理和居民服务业,"    2,441,405","    13,292","    2,277","    464,892","    873,01 9","    756,349","    331,576"
  1．房地产管理事业,324389,"    2,212",    568,"    77,138","    1 48,088","    78,1 56","    18,227"
  2．公用事业,"    544,823","    5,399",    664,"    105,948","    201,856","    151,999","    78,957"
  3．居民服务业,"    1,572,193","    5,681","    1,045","    281,806","    523,075","    526,194","    234,392"
十、卫生、体育和社会福利事业,"    4,101,355","    370,789","    1 4,140","    1,528,793","    1,475,140","    654,550","    57,943"
  1．卫生事业,"    3,945,368","    364,787","    13,4 74","    1,487,867","    1,418,462","    619,764","    41,014"
  2．体育事业,"    53,405","    4,823",    51 7,"    20,894","    20,535","    5,444","    1,192"
  3．社会福利事业,"    102,582","    1,1 79",    1 49,"    20,032","    36,143","    29,342","    1 5,737"
十一、教育、文化艺术事业,12382079,"    1,420,264","    90,593","    6,407,641","    3,516,424","    797,105","    150,052"
  1．教育事业,"    11,284,81 7","    1,354,160","    84,672","    6,040,240","    3,070,379","    598,520","    136,846"
  2．文化艺术事业,"    1,097,262","    66,104","    5,921","    367,401","    446,045","    198,585","    13,206"
十二、科学研究和综合技术服务,"    1,202,272","    339,642","    10,013","    361,828","    321,537","    1 57,879","    11,373"
  1．科学研究,"    988,837","    294,468","    8,423","    281,349","    258,291","    137,429","    8,877"
  2．综合技术服务事业,"    213,435","    45,1 74","    1,590","    80,479","    63,246","    20,450","    2,496"
十三、金融、保险业,"    1,022,975","    1 7,055","    2,881","    464,496","    384,823","    146,71 7","    7,003"
  1．金融业,"    1,011,653",16437,"    2,802","    459,428","    381,233","    145,1 54","    6,599"
  2．保险业,"    11,322",    618,    79,"    5,068","    3,590","    1,563",    404
十四、国家机关、政党和群众团体,"    8,018,546","    515,786",    32，756,"    2,526,220","    3,316,290","    1,424,292","    203,202"
  1．国家机关,"    6,051,618",405584,"    24,636","    1,997,51 7","    2,532,703","    986,295","    104,883"
  2．政党机关,"    419,238","    40,9 39","    2,579","    135,449","    181,387","    54,097","    4,787"
  3．群众团1本,"    339,088","    1 7,918","    1,364","    75,457","    95,971","    105,158","    43,220"
  4．企业管理机关,"    1,208,602","    51,345","    4,1 77","    31 7,797","    506,229","    278,742","    50,312"
十五、其他行业,"    289,202","    5,376",    645,"    59,584","    96,448","    88,488","    38,661"
  1．其他行业,"    289,202","    5,376",    645,"    59,584","    96,448","    88,488","    38,661"
