65.各种职业人口的文化程度,,,,,,,
,,,,,,,
,,,,,,,
    职业别,    合计,大学毕业,大学肄业,    高中,    初中,    小学,文盲、半文盲
总计,"    521,505,618","    4,230,708","    307,903","    54,976,1 40","  1 35,635,994","  1 79,302,000","    147,052，873"
一、各类专业、技术人员,"    26,457,518","    3,293,423","    159,124","    11,761,384","    8,594,896","  2,648,691",-
  1．科学研究人员,"    1 54,191","    11 7,236","    1,644","    25,521","    5,737","    4,053",-
  2．工程技术人员和农林技术人员,"    2,906,462","    1,196,361","    35,030","    1,062,891","    395,442","    216,738",-
  3．科学技术管理人员和辅助人员,"    299,078","    20,485","    2,399","    146,591","    113,1 96","    16,407",-
  4．飞机和船舶技术人员,"    60,607","    5,761",    128,"    13,370","    1 7,625","    23,723",-
  5．医疗卫生技术人员,"    4,61 4,698","    447,862","    16,341","    1,754,728","    1,670,260","    725,507",-
  6．经济业务人员,"    7,701,008","    124,091","    22,255","    2,791,308","    3,480,255","    1,283,099",-
  7．法律工作人员,"    1 75,739","    14,936",    769,"    59,240","    81,440",19354,-
  8．教学人员,"    9,596,323",1261572,"    73,040","    5,570,701","    2,481,221","    209,789",-
  9．文艺、体育工作人员,"    511,473","    26,760","    2,691","    166,434","    211,998","    103,590",-
  10.文化工作人员,"    412,491","    77,707","    4,751","    168,521","    132,483","    29,029",-
  11.宗教职业者,"    25,448",    652,    76,"    2,079","      5,239",17402,-
二、国家机关、党群组织、企事业单位负责,,,,,,,
    人,"    8,130,787","    475,592","    46,073","    1,778,468","    3,478,475","    2,192,309","    1 59,870"
  1．国家机关及其工作机构负责人,"    894,910","    76,278","    6,678","    224,911","    460,445",125348,"    1,250"
  2．党群组织负责人,"    1,286,251","    53,897","    6,387","    296,655","    614,386",302164,"    12,762"
  3．城镇街道和农村人民公社负责人,"    396,475","    6,319",    769,"    65,713","    1 72,1 77","    125,029","    26,468"
  4．企事业单位及其工作机构负责人,"    5,553,1 51","    339,098","    32,239","    1,191,189","    2,231,467","    1,639,768","    119,390"
三、办事人员和育关人员,"    6,788,347","    257,767","    25,066","    2,219,940","    2,969,659","    1,236,487","    79,428"
  1．行政办事人员,"    3,599,196","    1 74,639","    16,679","    1,211,429","    1,535,01 4","    631,482",29953
  2．政冶、保卫工作人员,"    2,059,288",    68，285,"    6,078","    687,324","    928,202","    334,689","    34,710"
  3．邮电工作人员,"    606,627","    1,955",    463,"    180,969","    293,734","    1 25,831","    3,675"
  4．其他办事人员和有关人员,"    523,236","    12,888","    1,846",    140，218,"    212,709","    144,485","    11,090"
四、商业工作人员,"    9,415,378","    21,934","    6,701","    2,191,1 77","    3,976,756",2618546,"    600,264"
  1．售货人员,"    7,01 3,707","    5,1 39","    2,527","    1,710,318","    2,907,204","    1,865,504",523015
  2．采购员和供销人员,"    1,891,822","    1 5,728","    3,839","    384,379","    870,361","    585,502",    32，013
