66.15-64岁在业人口按年龄分组的人数,,,,,,
,,,,,,
,,,,,,
,,,,    占总人口数合计的百分比(％),,
    年龄别,    合计,    男,    女,,,
,,,,    合计,    男,    女
总计,"    513,625,341","    287,077,121","    226,548,220",    100.00,    55.89,    44.11
1 5-1 9岁,92919017,"    45,012,206","    47,906,811",    18.09,    8.76,    9.33
2 0-2 4岁,"    69,384,209","    36,427,362","    32,956,847",    13.51,    7.09,    6.42
2 5—2 9岁,"    86,857,758",47073854,"    39,783,904",    16.91,    9.17,    7.75
3 0—3 4岁,"    68,578,897","    37,485,433","    31,093,464",    13.35,    7.30,    6.05
3 5—3 9岁,"    50,937,376","    28,241,390","    22,695,986",    9.92,    5.50,    4.42
4 0-4 4岁,44316971,"    25,474,208","    1 8,842,763",    8.63,    4.96,    3.67
4 5—4 9岁,"    40,1 97,094","    24,439,753","    1 5,757,341",    7.83,    4.76,    3.07
5 0—5 4岁,"    29,498,444","    1 9,682,113","    9,816,331",    5.74,    3.83,    1.91
5 5—5 9岁,"    19,903,628","    1 4,51 2,662","    5,390,966",    3.88,    2.83,    1.05
6 0—6 4岁,"    11,031,947","    8,728,140","    2,303,807",    2.15,    1.70,    0.45
