68.市镇待业人口的文化程度,,,,,,,
,,,,,,,
,,,,,,,
    地区别,    合计,大学毕业,大学肄业,    高中,    初中,    小学,文盲、半文盲
总计,"    3,401,390",    461,    762,"    1,215,232","    1,696,581","    422,768","    65,586"
北京市,"    92,843",    20,    66,"    71,243","    19,284","    2,060",    1 70
天津市,"    59,601",    8,    20,"    30,009","    24,928","    4,171",    465
河北省,"    79,085",    7,    18,"    29,286","    40,902","    7,968",    904
山西省,"    67,207",    3,    10,"    26,557","    34,374","    5,530",    733
内蒙古自治区,"    141,752",    4,    8,"    39,453","    88,826","    11,619","    1,842"
辽宁省,"    297,824",    8,    37,"    73,118","    214,674","    9,182",    805
吉林省,"    152,755",    1 7,    20,"    82,333","    60,204","    9,001","    1,180"
黑龙江省,"    232,700",    12,    28,"    74,452","    135,075","    20,503","    2,630"
上海市,"    116,979",    77,    88,"    93,253","    21,1 53","    2,236",    172
江苏省,"    107,189",    23,    39,"    32,453","    55,1 75","    1 5,730","    3,769"
浙江省,"    96,235",    28,    30,"    21,360","    56,211","    16,609","    1,997"
安徽省,"    137,469",    7,    15,"    32,131","    73,780","    24,044","    7,492"
福建省,"    110,236",    10,    16,"    27,768","    46,753","    29,652","    6,037"
江西省,"    122,1 72",    17,    19,"    33,384","    61,392","    24,776","    2,584"
山东省,"    49,497",    5,    16,    16，229,"    28,561","    4,024",    662
河南省,"    171,376",    8,    23,"    74,689","    78,274","    1 5,143","    3,239"
湖北省,"    97,671",    16,    34,"    36,976","    50,115","    9,462","    1,068"
湖南省,"    11 5,509",    14,    37,"    41,201","    57,707","    15,350","    1,200"
广东省,"    406,374",    63,    67,"    131,019","    178,114","    82,894","    14,217"
广西壮族自治区,"    132,615",    24,    30,"    45,1 73","    64,779","    20,953","    1,656"
四川省,"    276,785",    53,    83,"    92,609","    132,144","    46,597","    5,299"
贵州省,"    92,041",    10,    8,"    21,895","    52,1 51","    15,877","    2,1 00"
云南省,"    52,439",    5,    18,"    11,637","    29,112","    10,353","    1,314"
西藏自治区,-,-,-,-,-,-,-
陕西省,"    68,601",    5,    13,"    34,212","    27,852","    5,706",    813
甘肃省,"    47,064",    2,    3,"    21,476","    20,007","    4,874",    702
青海省,"    14,159",    2,    2,"    3,571","    8,831","    1,234",    519
宁夏回族自治区,"    1 2,266",-,    4,"    2,951",8275,    902,    134
新疆维吾尔自治区,"    50,946",    13,    10,"    14,794","    27,928","    6,318","    1,883"
