34.人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
总计," 1,003,913,927","    515，277,505","    488,636,422",    100.00,    51.33,    48.67,    105.45
0—4岁,"    94,704,361","    48,983,813","    45,720,548",    9.43,    4.88,    4.55,    107.14
  0,"    20,809,347","    10,787,028","    10,022,319",    2.07,    1.07,    1.00,    107.63
  1,"    17,375,778","    9,015,023","    8,360,755",    1.73,    0．90,    0.83,    107.83
  2,"    18,273,841","    9,460,846",8812995,    1.82,    0.94,    0.88,    107.35
  3,"    19,625,509","    10,131,309","    9,494,200",    1.95,    1.01,    0.95,    106.71
  4,"    18,619,886","    9,589,607","    9,030,279",    1.85,    0．96,    0．90,    106.19
5—9岁,"    1 10,735,871","    57,026,296","    53,709,575",    11.03,    5.68,    5.35,    106.18
  5,"    19,421,300","    10,005,985","    9,415,315",    1.93,    1.00,    0.94,    106.27
  6,"    20,432,542","    10,528,882","    9,903,660",    2.04,    1.05,    0.99,    106.31
  7,"    21,779,429","    11,215,966","    10,563,463",    2.17,    1.12,    1.05,    106.18
  8,"    24,032,967","    12,373,188","    11,659,779",    2.39,    1.23,    1.16,    106.12
  9,"    25,069,633","    12,902,275","    12,167,358",    2.50,    1.29,    1.21,    106.04
1 0-1 4岁,"    131,810,957","    67,837,932","    63,973,025",    13.13,    6.76,    6.37,    106.04
  1 0,"    25,222,513","    12,990,403","    12,232,1 10",    2.51,    1.29,    1.22,    106.20
  1 1,"    27,323,306","    14,071,874","    13,251,432",    2.72,    1.40,    1.32,    106.19
  1 2,"    26,487,340","    13,614,655","    12,872,685",    2.64,    1.36,    1.28,    105.76
  1 3,"    28,239,541","    14,522,190",13717351,    2.81,    1.45,    1.37,    105.87
  1 4,"    24,538,257","    12,638,810","    11,899,447",    2.44,    1.26,    1.19,    106.21
1 5—1 9岁,"    125,366,344","    63,804,581","    61,561,763",    12.49,    6.36,    6.13,    103.64
  1 5,"    22,750,897","    11,710,874",11040023,    2.27,    1.1 7,    1.10,    106.08
  1 6,"    25,686,509","    13,189,846","    12,496,663",    2.56,    1.31,    1.24,    105.55
  1 7,"    24,417,934",12507810,"    11,910,124",    2.43,    1.25,    1.19,    105.02
