35.市(不含市辖县)人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,    占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
总计,"    145,253,071","    75,287,073","    69,965,998",    100.00,51.83,    48.17,    107.61
0-4岁,"    10,848,531",5608050,"    5,240,481",    7.47,    3.86,    3.61,    107.01
  0,2644616,"    1,366,233","    1,278,383",    1.82,    0.94,    0．88,    106.87
  1,"    1,911,013","    988,594","    922,419",    1.32,    0.68,    0．64,    107.17
  2,"    2，055,021","    1,064,578","    990,443",    1.41,    0．73,    0.68,    107.49
  3,"    2，139,178",1104886,"    1,034,292",    1.47,    0．76,    0．71,    106.83
  4,"    2,098,703","    1,083,759","    1,014,944",    1.44,    0.75,    0.70,    106.78
5—9岁,"    11,612,876","    5,996,955","    5,615,921",    7.99,    4.13,    3.87,    106.78
  5,"    2,052,602","    1,059,870","    992,732",    1.41,    0.73,    0．68,    106.76
  6,"    2,163,427","    1,117,280","    1,046,147",    1.49,    0.77,    0.72,    106.80
  7,"    2,237,612","    1,156,044","    1,081,568",    1.54,    0.80,    0．74,    106.89
  8,"    2,427,617","    1,253,090","    1,174,527",    1.67,    0.86,    0.81,    106.69
  9,"    2,731,618","    1,410,671","    1,320,947",    1.88,    0.97,    0.91,    106.79
1 0-1 4岁,15321774,"    7,903，293","    7,418,481",    10.55,    5.44,    5.11,    106.54
  1 0,"    2,846,542","    1,469,826","    1,376,716",    1.96,    1.01,    0.95,    106.76
  1 1,"    3,094,931","    1,596,030","    1,498,901",    2.13,    1.10,    1.03,    106.48
  1 2,"    3,070,247","    1,583,771","    1,486,476",    2.11,    1.09,    1.02,    106.55
  1 3,"    3,387,703","    1,744,836","    1,642,867",    2.33,    1.20,    1.13,    106.21
  1 4,"    2，922,351","    1,508,830","    1,413,521",    2.01,    1.04,    0.97,    106.74
1 5-1 9岁,"    17,325,826","    8,966,895","    8,358,931",    11.93,    6.17,    5.75,    107.27
  1 5,"    2,446,000","    1,259,180","    1,186,820",    1.68,    0.87,    0.82,    106.10
  1 6,2982559,1537.365,"    1,445,194",    2.05,    1.06,    0.99,    106.38
  1 7,"    3,301,567","    1,714,980","    1,586,587",    2.27,    1.18,    1.09,    108.09
  1 8,"    4,106,478","    2,127,472","    1,979,006",    2.83,    1.46,    1.36,    107.50
