37.县(不含镇)人口年龄状况,,,,,,,
,,,,,,,
,,,,,,,
,    人口数,,,  占总人口数合计的百分比(％),,,
    年龄别,,,,,,,性比例
,,,,,,,(女=1 0 0)
,    合计,    男,    女,    合计,    男,    女,
总计,"    797,604,783","    407,256,785","    390,347,998",    100.00,    51.06,    48.94,    104.33
0—4岁,"    78,963,806","    40,837,234","    38,126,572",    9.90,    5.12,    4.78,    107.11
  0,"    1 7,050,932","    8,843,269",8207663,    2.14,    1.11,    1.03,    107.74
  1,"    14,607,751","    7,581,226","    7,026,525",    1.83,    0．95,    0．88,    107.89
  2,"    15,276,381","    7,906,434","    7,369,947",    1.92,    0.99,    0.92,    107.28
  3,"    1 6,475,455","    8,502,101","    7,973,354",    2.07,    1.07,    1.00,    106.63
  4,"    15,553,287",8004204,"    7,549,083",    1.95,    1.00,    0.95,    106.03
5—9岁,"    93,668,244",48204437,"    45,463,807",    11.74,    6.04,    5.70,    106.03
  5,"    16,400,31 7","    8,445,249","    7,955,068",    2.06,    1.06,    1.00,    106.16
  6,"    17,255,414","    8,886,604","    8,368,810",    2.16,    1.11,    1.05,    106.19
  7,"    18,477,101","    9,507,489","    8,969,612",    2.32,    1.19,    1.12,    106.00
  8,"    20,454,842","    10,524,949","    9,929,893",    2.56,    1.32,    1.24,    105.99
  9,"    21,080,570","    10,840,146","    10,240,424",    2.64,    1.36,    1.28,    105.86
1 0-1 4岁,"    109,545,730","    56,342,236","    53,203,494",    13.73,    7.06,    6.67,    105.90
  1 0,"    21,072,514","    10,845,669","    10,226,845",    2.64,    1.36,    1.28,    106.05
  1 1,"    22,814,441","    11,744,889","    11,069,552",    2.86,    1.47,    1.39,    106.10
  1 2,"    22,010,287","    11,303,524","    10,706,763",    2.76,    1.42,    1.34,    105.57
  1 3,"    23,354,156","    12,002,916","    11,351,240",    2.93,    1.50,    1.42,    105.74
  1 4,"    20,294,332","    10,445,238","    9,849,094",    2.54,    1.31,    1.23,    106.05
1 5-1 9岁,"  1 00,464,884","    50,924,954","    49,539,930",    12.60,    6.38,    6.21,    102.80
  1 5,"    19,1 30,504","    9,845,995","    9,284,509",    2.40,    1.23,    1.16,    106.05
  1 6,"    21,294,985","    10,922,827","    10,372,158",    2.67,    1.37,    1.30,    105.31
  1 7,19591044,"    10,001,833","    9,589,211",    2.46,    1.25,    1.20,    104.30
