38.市、镇、县人口年龄分组,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,  市(不含市辖县),,,    镇,,,    县(不含镇),,
    年龄别,,,,,,,,,
,    合计,    男,    女,    合计,    男,    女,    合计,    男,    女
总计,"    145,253,071","    75,287,073","    69,965,998","    61,056,073","    32,733,647","    28,322,426","    797,604,783","    407,256,785","    390,347,998"
0-3岁,"    8,749,828","    4,524,291","    4,225,537","    3,924,128","    2,036,885","    1,887,243","    63,410,519","    32,833,030","    30，577,489"
4—6岁,"    6,314,732","    3,260,909","    3,053,823","    2,949,978",1527508,"    1,422,470","    49，209,018","    25,336,057","    23,872,961"
7-1 2岁,"    16,408,567","    8,469,432","    7,939,135","    7,596,866","    3,932,263","    3,664,603","    125,909,755",64766666,"    61,143,089"
1 3—1 5岁,"    8,756,054","    4,512,846","    4,243,208",3993649,"    2,064,879","    1,928,770","    62,778,992","    32,294,1 49","    30,484,843"
1 6-1 7岁,"    6,284,126","    3,252,345","    3,031,781","    2,934,288","    1,520,651","    1,413,637","    40,886,029","    20,924,660","    19,961,369"
1 8-1 9岁,"    8,595,700","    4,455,370","    4,140,330","    3,466,953","    1,786,382","    1,680,571","    40,448,351","    20,154,299","    20,294,052"
2 0-2 4岁,"    14,078,490","    7,275,067","    6,803,423","    5,320,626","    2,772,561","    2,548,065","    54,963,904","    27,832,486","    27,131,418"
2 5—2 9岁,"    16,054,534","    8,309,634","    7,744,900","    6,304,727","    3,362,133","    2,942,594","    70,204,621","    36,074,491","    34,130,130"
3 0-3 4岁,"    11,811,724","    6,233,113","    5,578,611","    5,077,532","    2,857,125","    2,220,407","    56,068,981","    28,840,006","    27,228,975"
3 5—3 9岁,"    8,558,294","    4,549,415","    4,008,879",3899680,"    2,273,479",1626201,"    41,763,655","    21,742,784","    20,020,871"
4 0—44岁,"    8,465,311","    4,429,501","    4,035,810","    3,713,042","    2,138,875","    1,574,167","    36,259,590","    19,259,194","    17,000,396"
4 5—4 9岁,"    8,486,036","    4,507,091","    3,978,945","    3,425,517","    2,000,550","    1,424,967","    35,491,778","    18,565,476","    16,926,302"
5 0—5 4岁,"    6,877,505","    3,737,349","    3,140,156","    2,636,310","    1,568,921","    1,067,389","    31,301,686","    16,222,716","    1 5,078,970"
5 5—5 9岁,"    5,109,955","    2,707,489","    2,402,466","    1,854,258","    1,034,287","    819,971","    26,930,114","    13,752,149","    13,177,965"
6 0—64岁,"    3,899,916","    2,011,761","    1,888,155","    1,391,726","    725,682","    666,044","    22,070,562","    10,971,954",11093608
6 5—7 9岁,"    6,053,215","    2,796,342","    3,256,873","    2,263,791","    1,026,055","    1,237,736","    35,908,452","    16,281,010","    19,627,442"
8 0-9 9岁,"    748,519","    254,938","    493,581","    302,707","    105,314","    197,393","    3,995,014","    1,404,436","    2,590,578"
1 0 0岁及以上,    410,    1 01,    309,    241,    62,    1 79,    3，200,    972,"    2,228"
不详,    155,    79,    76,    54,    35,    19,    562,    250,    312
