39.百岁以上的人口数,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,    男,,,,    女,,,
    地区别,    合计,,,,,,,,
,,1 0 0-1 0 9岁,1 1 0—1 1 9岁,1 2 0—1 2 9岁,  1 3 0岁及以上,1 0 0-1 0 9岁,1 1 0-1 1 9岁,1 2 0-1 2 9岁,1 3 0岁及以上
总计,"    3,851",    991,    126,    17,    1,"    2,601",    99,    16,-
北京市,    19,    3,-,-,-,    1 6,-,-,-
天津市,    8,    2,-,-,-,    6,-,-,-
河北省,    44,    9,-,-,-,    34,    1,-,-
山西省,    6,    1,    1,-,-,    4,-,-,-
内蒙古自治区,    16,    8,    1,-,-,    6,    1,-,-
辽宁省,    51,    20,-,-,-,    31,-,-,-
吉林省,    30,    18,    1,-,-,    11,-,-,-
黑龙江省,    33,    12,-,-,-,    19,    2,-,-
上海市,    20,    3,-,-,-,    1 7,-,-,-
江苏省,    101,    14,-,-,-,    86,    1,-,-
浙江省,    54,    6,-,-,-,    48,-,-,-
安徽省,    121,    21,-,    1,-,    97,    1,    1,-
福建省,    45,    7,-,-,-,    38,-,-,-
江西省,    43,    13,-,-,-,    30,-,-,-
山东省,    128,    17,-,-,-,    109,    2,-,-
河南省,    346,    41,    1,-,-,    294,    9,    1,-
湖北省,    91,    16,    1,-,-,    72,    1,    1,-
湖南省,    89,    18,    1,-,-,    70,-,-,-
广东省,    459,    64,    1,-,-,    391,    3,-,-
广西壮族自治区,    412,    86,    3,-,-,    307,    12,    4,-
四川省,    379,    67,    4,-,-,    304,    3,    1,-
贵州省,    96,    22,-,-,-,    71,    2,    1,-
云南省,    210,    54,    6,-,-,    145,    5,-,-
西藏自治区,    61,    11,-,-,-,    47,    3,-,-
陕西省,    21,    6,-,-,-,    1 5,-,-,-
甘肃省,    31,    14,-,-,-,    16,    1,-,-
青海省,    50,    10,    2,-,-,    35,    3,-,-
宁夏回族自治区,    22,    11,-,-,-,    10,    1,-,-
新疆维吾尔自治区,    865,    41 7,    104,    16,    1,    272,    48,    7,-
