40.市、镇、县劳动年龄人口状况,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,    劳动年龄人口,,,市(不含市辖县)人口,,    镇,,  县(不含镇),
    地区别,,    男,    女,    男,    女,    男,    女,    男,    女
,    合计,1 6—5 9岁,1 6—5 4岁,1 6—5 9岁,  1 6—5 4岁,1 6—5 9岁,1 6—5 4岁,1 6—5 9岁,  16-54岁
总计,"    550,872,915","    294,139,599","    256,733,316","    49,456,376","    42,462,835","    21,314,964","    16,497,998","    223,368,259","    197,772,483"
北京市,"    6,065,314",3154612,"    2,910,702","    2,037,988","    1,842,122","    154,721","    113,409","    961,903","    955,1 71"
天津市,4958544,2585486,"    2,373,058","    1,809,460","    1,647,189","    75,981","    52,963","    700,045","    672,906"
河北省,"    30,206,223","    15,983,608","    14,222,61 5","    2,267,628","    1,772,551","    434,848","    337,212","    13,281,1 32","    12,112,852"
山西省,"    13,935,871","    7,511,916","    6,423,955","    1,497,945","    1,185,842","    446,389","    257,801","    5,567,582","    4,980,312"
内蒙古自治区,"    10,645,057","    5,691,815","    4,953,242","    1,034,446","    942,400","    739,818","    655,511","    3,91 7,551","    3,355,331"
辽宁省,"    21,542,628","    11,234,462","    10,308,166","    4,123,575","    3,834,421","    1,175,160","    967,715","    5,935,727","    5,506,030"
吉林省,"    12,821,107","    6,688,358","    6,132,749","    1,772,554",1657505,"    1,084,051","    995,310","    3,831,753","    3,479,934"
黑龙江省,"    18,362，591","    9,574,313","    8,788,278","    2,795，037","    2,626,574","    1,286,952","    1,235,683","    5,492,324","    4,926,021"
上海市,"    7,895,536","    4,136,935",3758601,"    2,360,700",2030138,"    270,606","    200,094","    1,505,629","    1,528,369"
江苏省,"    35,219,573","    18,733,561","    16,486,012","    2，443,062","    2,016,997","    1,034,258","    794,280","    15,256,241","    13,674,735"
浙江省,"    22,590,339","    12,229,083","    10,361,256","    2,328,082","    1,963,804","    1,117,153","    885,838","    8,783,848","    7,511,614"
安徽省,"    26,159,090","    14,342,543","    11,816,547","    1,684,112","    1,328,694","    763,792",573768,"    11,894,639","    9,914,085"
福建省,"    13,640,408","    7,362,994","    6,277,414","    1,084,386","    912,128","    741,511","    556,490","    5,537,097","    4,808,796"
江西省,"    16,608,961","    8,955,589","    7,653,372","    1,301,398","    1,099,547","    754,258","    546,406","    6,899,933","    6,007,419"
山东省,"    41,926,643","    22,037,010","    19,889,633","    2,855,551","    2,514,576","    1,808,069","    1,494,021","    17,373,390","    15,881,036"
河南省,"    39,274,032","    20,948,525","    18,325,507","    2,446,984","    1,998,641","    1,222,848","    905,742","    17,278,693","    15,421,124"
湖北省,"    26,424,818","    14,196,431","    12,228,387","    1,943,406","    1,617,542","    990,774","    758,117","    11,262,251","    9,852,728"
湖南省,"    29,368,834","    15,935,560","    13,433,274","    1,749,236","    1,404,711","    947,350","    679,180","    13,238,974","    11,349,383"
广东省,"    32,054,932","    17,216,402","    14,838,530","    2,413,619","    2,050,932","    1,352,591","    1,041,674","    13,450,192","    11,745,924"
广西壮族自治区,"    18,615,111",10045089,"    8,570,022","    825,907","    687,793","    666,806","    472,976","    8,552,376","    7,409,253"
四川省,"    54，038,169","    29,291,406","    24,746,763",3316969,"    2,799,105","    1,760,810","    1,142,245","    24,213,627","    20,805,413"
贵州省,"    13,926,848","    7,396,176","    6,530,672","    1,170,607","    991,479","    423,402","    350,103","    5,802,167","    5,189,090"
云南省,"    16,299,350","    8,582,796","    7,716,554","    805,725","    658,908","    640,861","    444,485","    7,136,210","    6,613,161"
西藏自治区,"    969,857","    500,196","    469,661","    37,215","    29,237","    27,340","    19,627","    435,641","    420,797"
陕西省,"    16,122,046","    8,558,680","    7,563,366","    1,406,696","    1,180,545","    568,323","    372,507","    6,583,661","    6,010,314"
甘肃省,"    10,549,635","    5,646,179","    4,903,456","    713,927","    569,409","    381,752","    269,173","    4,550,500","    4,064,874"
青海省,"    1,991,884","    1,061,798","    930,086","    224,882","    193,505","    39,834","    27,431","    797,082","    709,150"
宁夏回族自治区,"    1,953,969","    1,030,955","    923,014","    219,408","    181,553","    74,140","    54,005","    737,407","    687,456"
新疆维吾尔自治区,"    6,705,545","    3,507,121","    3,198,424","    785,871","    724,987","    330,566","    294,232","    2,390,684","    2,179,205"
