43.1981年全国镇死亡人口的年龄状况,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,    女,  合计,    男,    女
,    合计,    男,,,,
总计,"    278,778","    155,705","    123,073",    100.00,    55.85,    44.15
0,"    20,713","    11,132","    9,581",    7.43,    3.99,    3.44
1,"    2,682","    1,312","    1,370",    0.96,    0．47,    0.49
2,"    1,886",    920,    966,    0．68,    0.33,    0.35
3,"    1,252",    661,    591,    0．45,    0．24,    0.21
4,"    1,010",    567,    443,    0．36,    0．20,    0.16
5,    876,    515,    361,    0．31,    0.18,    0．13
6,    814,    474,    340,    0．29,    0.1 7,    0.12
7,    758,    493,    265,    0.27,    0．18,    0.10
8,    804,    537,    267,    0.29,    0.19,    0．10
9,    720,    483,    237,    0.26,    0.17,    0．09
1 0,    776,    497,    279,    0.28,    0．18,    0．10
1 1,    750,    474,    276,    0．27,    0．1 7,    0.10
1 2,    760,    464,    296,    0．27,    0．17,    0．1 1
1 3,    652,    390,    262,    0.23,    0.14,    0.09
1 4,    632,    363,    269,    0．23,    0.13,    0．10
1 5,    850,    516,    334,    0.30,    0.19,    0.12
1 6,    972,    545,    427,    0．35,    0.20,    0．15
1 7,"    1,235",    741,    494,    0.44,    0．27,    0.18
1 8,"    1,491",    848,    643,    0.53,    0.30,    0.23
1 9,    965,    553,    412,    0．35,    0.20,    0.15
2 0,    798,    457,    341,    0.29,    0.16,    0.12
2 1,    922,    549,    373,0.33,    0．20,    0．13
2 2,"    1,038",    606,    432,    0.37,    0.22,    0.15
2 3,"    1,256",    754,    502,    0．45,    0.27,    0．18
2 4,"    1,297",    760,    537,    0.47,    0.27,    0.19
2 5,"    1,243",    733,    510,    0.45,    0．26,    0.18
2 6,"    1,251",    719,    532,    0．45,0.26,    0.19
2 7,"    1,222",    737,    485,    0．44,    0．26,    0．17
2 8,"    1,222",    723,    499,    0.44,    0.26,    0．18
2 9,"    1,137",    672,    465,    0.41,    0.24,    0.1 7
3 0,1143,    728,    415,    0．41,    0.26,    0.15
3 1,"    1,245",    782,    463,    0．45,    0．28,    0.17
3 2,"    1,11 7",    732,    385,    0．40,    0．26,    0.14
3 3,"    1,11 1",    720,    391,    0.40,    0.26,    0.1 4
3 4,"    1,170",    740,    430,    0.42,    0．27,    0.15
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,    死亡人口数,,,占死亡人口总合计数的百分比(％),,
    年龄别,,,,,,
,    合计,    男,    女,  合计,    男,    女
(续),,,,,,
7 0,"    6,625","    3,785","    2,840",    2.38,    1.36,    1.02
7 1,"    6,581","    3,654","    2,927",    2.36,    1.31,    1.05
7 2,"    7,067","    3,875","    3,192",    2.53,    1.39,    1.14
7 3,"    6,758","    3,620","    3,138",    2.42,    1.30,    1.13
7 4,"    6,566","    3,490","    3,076",    2.36,    1.25,    1.10
7 5,"    6,766","    3,438","    3,328",    2.43,    1.23,    1.19
7 6,"    6,536","    3,331","    3,205",    2.34,    1.19,    1.15
7 7,"    6,265","    2,995","    3,270",    2.25,    1.07,    1.1 7
7 8,"    6,284","    2,977","    3,307",    2.25,    1.07,    1.19
7 9,"    5,978","    2,804","    3,174",    2．14,    1.01,    1.14
8 0,"    6,119","    2,767","    3,352",    2.19,    0．99,    1.20
8 1,"    4,981","    2,224","    2,757",    1.79,    0.80,    0.99
8 2,"    4,416","    1,881",2535,    1.58,    0.67,    0．91
8 3,"    3,923","    1,599","    2,324",    1.41,    0．57,    0．83
8 4,"    3,4 61","    1,400","    2,061",    1．24,    0．50,    0．74
8 5,"    3,090","    1,216","    1,874",    1.11,    0．44,    0．67
8 6,"    2,543",    915,"    1,628",    0.91,    0.33,    0．58
8 7,"    2,065",    727,"    1,338",    0．74,    0.26,    0.48
8 8,"    1,709",    624,"    1,085",    0.61,    0．22,    0.39
8 9,"    1,484",    505,    979,    0.53,    0.18,    0.35
9 0,"    1,198",    377,    821,    0．43,    0.14,    0.29
9 1,    875,    273,    602,    0．31,    0.10,    0．22
9 2,    601,    171,    430,    0.22,    0.06,    0.15
9 3,    414,    11 7,    297,    0.15,    0．04,    0.11
9 4,    308,    92,    216,    0．11,    0．03,    0．08
9 5,    243,    49,    194,    0．09,    0.02,    0.07
9 6,    170,    50,    120,    0.06,    0.02,    0．04
9 7,    109,    23,    86,    0.04,    0.01,    0．03
9 8,    79,    20,    59,    0．03,    0．01,    0．02
9 9,    46,    16,    30,    0．02,    0.01,    0.01
1 0 0,    44,    9,    35,    0．02,-,    0．01
1 0 1,    24,    9,    15,    0.01,-,    0.01
1 0 2,    11,    4,    7,-,-,-
1 0 3,    15,    5,    10,    0.01,-,-
1 0 4,    5,    3,    2,-,-,-
