台湾地区人口年龄状况,,,
,,,
    单位：人,,,
,,,
    年龄别,    合计,    男,    女
总计,"    1 7,968,797","    9,373,555","    8,595,242"
0—4岁,"    2,032,118","    1,049,289","    982,829"
  0,"    389,417","    201,358","    188,0 59"
  1,"    419,772","    216,853","    202,919"
  2,"    409,036","    211,523","    197,513"
  3,"    390,384","    200,9 76","    189,408"
  4,"    423,509","    21 8,579",204930
5—9岁,"    1,815,005","    932,774","    882,231"
  5,"    365,414","    187,771","    177,64 3"
  6,"    359,1 63","    1 84,6 22","    174,541"
  7,"    358,793","    184,881","    173,912"
  8,"    361,815","    185,425","    176,390"
  9,"    369,820","    190,075","    179,745"
10-14岁,"    1,924,868","    989,346","    935,52 2"
  10,"    382,773","    196,909","    185,864"
  11,"    386,323","    198,337","    187,98 6"
  12,"    387,1 35","    1 99,228",187907
  13,"    369,147","    189,934","    179,21 3"
  14,"    399,490","    204,938","    1 94,55 2"
15—19岁,"    2,044,604","    1,048,418","    996,1 8 6"
  15,"    398,777","    204,224","    1 94,5 53"
  16,"    407,567","    209,518","    198,049"
  17,"    413,911","    212,012","    201,899"
  18,"    413,615","    212,357",    201，2 5 3
  19,"    410,734","    210,307","    200,427"
20—24岁,"    1,963,1 66","    998,246",964920
  20,"    404,514","    205,686","    1 98,828"
  21,"    402,957","    203,6 53","    1 99,304"
  22,"    392,687","    1 99,5 01","    193,1 86"
  23,"    373,696","    1 90,389","    1 83,307"
  24,"    389,312","    1 99,01 7","    1 90,2 95"
25—29岁,"    1,764,729","    905,536","    859,1 93"
  25,"    380,588","    1 95,492","    1 85,096"
  26,"    358,895","    1 83,922","    174,973"
  27,"    344,587","    176,682","    1 67,905"
  28,"    340,453","    175,038","    165,415"
  29,"    340,206","    1 74,402","    1 65,804"
,,,
,,,
,,,
台湾地区人口年龄状况(续1),,,
    单位：人,,,
,,,
    年龄别,    合计,    男,    女
,,,
(续),,,
30—34岁,"    1,178,753","    608,247","    570,506"
  30,"    288,817","    1 49,11 6","    1 39,701"
  31,"    270,357","    1 39,4 60","    1 30,897"
  32,"    237,287","    1 22,61 6","    11 4,6 71"
  33,"    209,564","    107,951","    1 01,613"
  34,"    1 72,7 28","    89,1 04","    83,624"
